cohort,seed,pre.shock_minus_control.top_occ,pre.shock_minus_control.TR_occ,pre.shock_minus_control.bottom_occ,pre.shock_minus_control.body_state_mean,pre.shock_minus_control.body_u_mean,pre.shock_minus_control.obs_pe_mean,pre.shock_minus_control.q_UP_minus_DOWN_mean,pre.shock_minus_control.pred_trend_UP_minus_DOWN_mean,pre.shock_minus_control.alpha_mean,pre.shock_minus_control.g_norm_mean,pre.shock_minus_control.g_delta_norm_mean,shock.shock_minus_control.top_occ,shock.shock_minus_control.TR_occ,shock.shock_minus_control.bottom_occ,shock.shock_minus_control.body_state_mean,shock.shock_minus_control.body_u_mean,shock.shock_minus_control.obs_pe_mean,shock.shock_minus_control.q_UP_minus_DOWN_mean,shock.shock_minus_control.pred_trend_UP_minus_DOWN_mean,shock.shock_minus_control.alpha_mean,shock.shock_minus_control.g_norm_mean,shock.shock_minus_control.g_delta_norm_mean,recovery.shock_minus_control.top_occ,recovery.shock_minus_control.TR_occ,recovery.shock_minus_control.bottom_occ,recovery.shock_minus_control.body_state_mean,recovery.shock_minus_control.body_u_mean,recovery.shock_minus_control.obs_pe_mean,recovery.shock_minus_control.q_UP_minus_DOWN_mean,recovery.shock_minus_control.pred_trend_UP_minus_DOWN_mean,recovery.shock_minus_control.alpha_mean,recovery.shock_minus_control.g_norm_mean,recovery.shock_minus_control.g_delta_norm_mean,did_residue.top_occ,did_residue.TR_occ,did_residue.bottom_occ,did_residue.body_state_mean,did_residue.body_u_mean,did_residue.obs_pe_mean,did_residue.q_UP_minus_DOWN_mean,did_residue.pred_trend_UP_minus_DOWN_mean,did_residue.alpha_mean,did_residue.g_norm_mean,did_residue.g_delta_norm_mean
full,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19778133332729336,-0.8139884597191269,0.00037377383268903924,0.037713812291622156,0.018770937994122508,0.005495543032884596,-0.023383033275604426,0.024288491345942017,-0.16249999999999998,-0.16249999999999998,0.0,-0.3077326599508524,-1.3138415301163726,0.0506816526685725,0.04087151996791363,0.014599919924512511,0.14220474446192383,-0.32330332398414585,0.12781710686394945,-0.16249999999999998,-0.16249999999999998,0.0,-0.3077326599508524,-1.3138415301163726,0.0506816526685725,0.04087151996791363,0.014599919924512511,0.14220474446192383,-0.32330332398414585,0.12781710686394945
full,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19775633066892628,-0.8139884597191267,0.0002220792055595668,0.015220461785793282,0.007951680198311814,0.012830994278192523,-0.0006740212440492499,0.022540499921888113,0.38750000000000007,0.38750000000000007,0.0,-0.2450130265206098,-1.0261804790094446,0.005914986852440052,-0.003080392628908163,-0.004863994056358942,0.01571183009073139,-0.038064730167389094,0.049222787556936966,0.38750000000000007,0.38750000000000007,0.0,-0.2450130265206098,-1.0261804790094446,0.005914986852440053,-0.003080392628908163,-0.004863994056358942,0.01571183009073139,-0.038064730167389094,0.04922278755693696
full,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000007,0.20000000000000007,0.0,-0.18747145682573324,-0.8070310039733823,0.002244575461372732,0.021008106321096426,0.0101120799779892,-0.0010099716484546668,-0.013438332080840887,0.008664573216810821,0.0625,0.0625,-0.07500000000000001,-0.23440227862447502,-1.054869014495489,0.0016795972129330042,-0.03112282436341049,-0.009434167388826603,-0.00034794099628925393,-0.027876392006874084,0.0033633096201810993,0.0625,0.0625,-0.07500000000000001,-0.234402278624475,-1.0548690144954889,0.0016795972129330042,-0.03112282436341049,-0.009434167388826603,-0.00034794099628925393,-0.027876392006874084,0.003363309620181096
full,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19607693329453468,-0.8139884597191266,0.0014890065533109008,0.05894197672605517,0.03066874407231808,0.0034125912934541702,-0.05450847148895255,0.027782165072858335,0.0,0.0,0.0,-0.3001042794436216,-1.2541830026727356,0.00249171988107264,0.0680780599825084,0.03240974349901081,0.009093760140240194,-0.028335317969322205,0.007117610430577771,0.0,0.0,0.0,-0.3001042794436216,-1.2541830026727356,0.00249171988107264,0.0680780599825084,0.03240974349901081,0.009093760140240194,-0.028335317969322205,0.007117610430577771
full,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.194117321819067,-0.8139884597191268,0.0011612732778303325,0.00495793744921684,0.0016684897243976551,-0.005589243024587631,-0.023715567588805886,0.0080974847311154,0.3125,0.32499999999999996,0.0,-0.25331160295754673,-1.0517764227501851,-0.0018799872050294653,-0.07882372112944724,-0.039534424524754294,-9.258631616831242e-05,-0.024314177036285134,0.0021716949646361176,0.3125,0.32499999999999996,0.0,-0.25331160295754673,-1.0517764227501851,-0.0018799872050294653,-0.07882372112944724,-0.039534424524754294,-9.258631616831242e-05,-0.024314177036285134,0.002171694964636116
full,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18508994430303571,-0.8139884597191266,0.002549460914451629,-0.003859546035528183,-0.005583596974611291,-0.0003095671534538262,-0.05059623718261719,0.01853441377170384,0.0,0.0,0.012500000000000011,-0.2565744765102863,-1.2678085786016393,0.007364707687520421,-0.03414469305425882,-0.019161968212574723,0.00012425966560840676,-0.044428554177283974,0.0018065427604597069,0.0,0.0,0.012500000000000011,-0.2565744765102863,-1.2678085786016393,0.007364707687520421,-0.03414469305425882,-0.019161968212574723,0.00012425966560840676,-0.044428554177283974,0.0018065427604597034
full,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19745537489652637,-0.8139884597191268,-0.0010207770974375308,-0.027748467773199073,-0.012556735426187515,-0.0012545138597488369,-0.062676954269409,0.020564516447484492,0.0,0.0,0.0,-0.27348468638956547,-1.2541830026727372,-0.00031637011561542767,0.0036109998822212303,0.0022983549162745517,-0.0020955584943294497,-0.07894500195980081,0.0033605746226385257,0.0,0.0,0.0,-0.27348468638956547,-1.2541830026727372,-0.00031637011561542767,0.0036109998822212303,0.0022983549162745517,-0.0020955584943294497,-0.07894500195980081,0.003360574622638522
full,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1977772355079651,-0.813988459719127,0.0007309708162210882,0.018004862964153295,0.00928844437003136,-0.0026733759790658965,-0.023809921741485773,0.009862799197435376,0.0,0.0,0.0,-0.28154063001275065,-1.2516497190432765,0.0020102884765947245,0.02455446682870388,0.012776051508262755,0.03257683543488383,-0.00734373927116394,0.03371328220819123,0.0,0.0,0.0,-0.28154063001275065,-1.2516497190432765,0.0020102884765947245,0.02455446682870388,0.012776051508262755,0.03257683543488383,-0.00734373927116394,0.03371328220819123
full,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18497887104749683,-0.8139884597191266,0.003982021915726362,-0.00876203440129758,-0.006527300924062729,-0.0003500506281852722,-0.03040755987167376,0.01769890710711479,-0.0875,-0.0875,0.0,-0.25814457684755326,-1.269891686301229,0.017633515928173436,-0.062088915333151806,-0.032704825745895505,-0.0001413205638527877,-0.01782618165016192,0.005319458636222407,-0.0875,-0.0875,0.0,-0.25814457684755326,-1.2698916863012293,0.017633515928173436,-0.062088915333151806,-0.032704825745895505,-0.0001413205638527877,-0.01782618165016192,0.005319458636222407
full,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12104834504425527,-0.8139884597191267,0.0015001256251707673,-0.01693080589175222,-0.008091757446527487,-0.0005308173596858985,-0.019915342330932617,0.013036441709846261,0.0,0.0,0.0,-0.15391655610874294,-1.2541830026727412,0.006752396316733213,-0.04667076133191586,-0.023994297813624152,-0.00030773859471082757,0.011239531636238365,0.0035508845001459115,0.0,0.0,0.0,-0.15391655610874297,-1.254183002672741,0.006752396316733213,-0.04667076133191586,-0.023994297813624152,-0.00030773859471082757,0.011239531636238365,0.003550884500145908
full,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19737506657838821,-0.8139884597191267,0.0032374939182773232,-0.03540569841861724,-0.015225847810506829,-0.01919762566685676,-0.071869933605194,0.025546176079660657,-0.07500000000000007,-0.07500000000000007,0.0,-0.30477644577622415,-1.2785007350921802,0.014104116993257776,-0.02368008773773908,-0.00830471636727452,-0.006126087624579668,-0.1995050281286237,0.03629705841303803,-0.07500000000000007,-0.07500000000000007,0.0,-0.30477644577622415,-1.2785007350921802,0.014104116993257776,-0.02368008773773908,-0.00830471636727452,-0.006126087624579668,-0.1995050281286237,0.036297058413038034
full,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19757613092660897,-0.8139884597191267,0.0008368532347958531,0.050442677363753324,0.02646338772028685,-0.001992470026016234,-0.025125157833099543,0.013380298716947438,-0.0625,-0.0625,0.0,-0.3116937071084976,-1.3460218654234068,0.0012245646707015117,0.07363450359553099,0.038965166360139844,0.008528348896652459,-0.003966701030730935,0.0026190147153101855,-0.062499999999999944,-0.062499999999999944,0.0,-0.3116937071084976,-1.3460218654234068,0.0012245646707015117,0.07363450359553099,0.038965166360139844,0.008528348896652459,-0.003966701030730935,0.002619014715310189
full,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19609272480010992,-0.8139884597191267,0.003437238687183709,0.00836629793047905,0.0028548400849103955,-0.0017330653965473147,-0.04936985969543484,0.02208961793221533,0.0,0.0,0.0,-0.2940167121589184,-1.254183002672736,0.0043513483426067985,0.009644726663827902,0.0032496705651283223,-0.000913762301206586,-0.03018356263637534,0.002929381199646742,0.0,0.0,0.0,-0.2940167121589184,-1.2541830026727359,0.0043513483426067985,0.009644726663827902,0.0032496705651283223,-0.000913762301206586,-0.03018356263637534,0.0029293811996467384
