cohort,seed,condition,outdir,pre.top_occ,pre.TR_occ,pre.bottom_occ,pre.body_state_mean,pre.body_u_mean,pre.obs_pe_mean,pre.q_UP_minus_DOWN_mean,pre.pred_trend_UP_minus_DOWN_mean,pre.alpha_mean,pre.g_norm_mean,pre.g_delta_norm_mean,shock.top_occ,shock.TR_occ,shock.bottom_occ,shock.body_state_mean,shock.body_u_mean,shock.obs_pe_mean,shock.q_UP_minus_DOWN_mean,shock.pred_trend_UP_minus_DOWN_mean,shock.alpha_mean,shock.g_norm_mean,shock.g_delta_norm_mean,recovery.top_occ,recovery.TR_occ,recovery.bottom_occ,recovery.body_state_mean,recovery.body_u_mean,recovery.obs_pe_mean,recovery.q_UP_minus_DOWN_mean,recovery.pred_trend_UP_minus_DOWN_mean,recovery.alpha_mean,recovery.g_norm_mean,recovery.g_delta_norm_mean,residue.top_occ,residue.TR_occ,residue.bottom_occ,residue.body_state_mean,residue.body_u_mean,residue.obs_pe_mean,residue.q_UP_minus_DOWN_mean,residue.pred_trend_UP_minus_DOWN_mean,residue.alpha_mean,residue.g_norm_mean,residue.g_delta_norm_mean
full,0,control,outputs/p3_v3_assay/full/s0/control,0.25,0.25,0.0,0.501348802447319,0.005419416777135044,0.015219602326396853,0.24213000362118084,0.1217714350670576,0.09477388126154741,2.7292008732755977,0.06678495107529064,1.0,1.0,0.0,0.5686847001314164,0.2769543192122737,0.008711944636888801,0.15895701497793197,0.08941742219030857,0.12625457383692265,3.349002957344055,0.016517874458804725,0.6,0.6,0.0,0.6627201393246651,0.6786376621843012,0.009793018715572543,0.16083410093560815,0.08925786362960934,0.09589019753038883,3.3592153668403624,0.009259132348233834,0.35,0.35,0.0,0.16137133687734606,0.6732182454071661,-0.00542658361082431,-0.08129590268557269,-0.03251357143744826,0.0011163162688414136,0.6300144935647647,-0.05752581872705681
full,0,body_shock,outputs/p3_v3_assay/full/s0/body_shock,0.25,0.25,0.0,0.501348802447319,0.005419416777135044,0.015219602326396853,0.24213000362118084,0.1217714350670576,0.09477388126154741,2.7292008732755977,0.06678495107529064,1.0,1.0,0.0,0.37259197533130645,-0.5370341405068529,0.011673947714734822,0.19104617089033127,0.10693541020154954,0.13815862983465194,3.346335506439209,0.05100483363494277,0.275,0.275,0.0,0.32830134518444537,-0.7222379372277761,0.01708430146245519,0.18959908746182919,0.10312884282320738,0.15763206677511335,3.3643746376037598,0.02544730482622981,0.025000000000000022,0.025000000000000022,0.0,-0.17304745726287368,-0.7276573540049112,0.0018646991360583356,-0.052530916159351654,-0.01864259224385023,0.06285818551356594,0.6351737643281621,-0.04133764624906083
full,1,control,outputs/p3_v3_assay/full/s1/control,0.5666666666666667,0.5666666666666667,0.0,0.5282961800694466,0.11435420558722138,0.0182098030190294,0.09633774384856224,0.046505893518527346,0.07036327297488848,2.176884422947963,0.07884388550495108,1.0,1.0,0.0,0.6497564017772675,0.6192888029794716,0.013025058526545763,0.11118792742490768,0.053650154173374175,0.161988528072834,3.1136036992073057,0.0811716929078102,1.0,0.7625,0.0,0.7768628932535648,1.2651473231392738,0.023206064486294052,0.10099308267235756,0.048483851552009585,0.2581254530698061,3.0680910676717756,0.13202045294456183,0.43333333333333335,0.1958333333333333,0.0,0.24856671318411827,1.1507931175520525,0.004996261467264652,0.004655338823795319,0.0019779580334822397,0.18776218009491763,0.8912066447238125,0.053176567439610745
full,1,body_shock,outputs/p3_v3_assay/full/s1/body_shock,0.5666666666666667,0.5666666666666667,0.0,0.5282961800694466,0.11435420558722138,0.0182098030190294,0.09633774384856224,0.046505893518527346,0.07036327297488848,2.176884422947963,0.07884388550495108,1.0,1.0,0.0,0.4528199091553688,-0.19469965673965528,0.01233669624198228,0.09486261308193207,0.045669540762901306,0.060815238207578656,3.109747815132141,0.036671212408691645,1.0,0.85,0.0,0.5030512016266584,0.012307009109388124,0.020036099714343437,0.11209903471171856,0.05318770250305534,0.22978097759187222,3.155025324225426,0.13899758039042354,0.43333333333333335,0.2833333333333333,0.0,-0.02524497844278817,-0.10204719647783325,0.001826296695314037,0.01576129086315632,0.006681808984527991,0.15941770461698374,0.9781409012774627,0.06015369488547245
full,2,body_shock,outputs/p3_v3_assay/full/s2/body_shock,0.4166666666666667,0.4166666666666667,0.0,0.5063624242941539,0.025639953074062583,0.010614327744891246,0.15551653678218524,0.07609758190810681,0.035587054366866745,2.030444758137067,0.05988957512502869,1.0,1.0,0.0,0.4134323880076408,-0.3596080501696798,0.0067403956549242135,0.23688664361834527,0.12366662807762623,0.03043302372097969,2.9804060101509093,0.036830483842641114,1.0,1.0,0.0,0.4797039031982422,-0.08560355484419216,0.007292864739429206,0.18024856708943843,0.09725054772570729,0.03061155416071415,3.1670843064785004,0.02429201485356316,0.5833333333333333,0.5833333333333333,0.0,-0.026658521095911714,-0.11124350791825474,-0.00332146300546204,0.024732030307253183,0.021152965817600483,-0.004975500206152596,1.1366395483414333,-0.03559756027146553
full,2,control,outputs/p3_v3_assay/full/s2/control,0.4166666666666667,0.4166666666666667,0.0,0.5063624242941539,0.025639953074062583,0.010614327744891246,0.15551653678218524,0.07609758190810681,0.035587054366866745,2.030444758137067,0.05988957512502869,1.0,1.0,0.0,0.6114224672317505,0.454380409549447,0.006362755940062925,0.21582831293344498,0.11752572059631347,0.031012683361768722,3.007411766052246,0.0164109711535275,0.9875,0.9875,0.0,0.7543293006718159,1.1410988104114452,0.006450780763407238,0.15211734231561422,0.08452578517608345,0.030719897337257863,3.2518354058265686,0.01064375223359093,0.5708333333333333,0.5708333333333333,0.0,0.24796687637766202,1.1154588573373827,-0.0041635469814840075,-0.003399194466571026,0.008428203267976636,-0.004867157029608882,1.2213906476895016,-0.04924582289143776
full,3,body_shock,outputs/p3_v3_assay/full/s3/body_shock,0.0,0.0,0.35,0.4330243368943532,-0.2703280985248058,0.01799378008581698,0.26806744883457817,0.1352243887881438,0.05939882136881351,2.630962437391281,0.08523538634181023,0.0,0.0,0.0,0.23281871974468232,-1.24005185919244,0.010220308240968734,0.25666013211011884,0.13204784952104093,0.05192348845303059,3.1783939480781553,0.0640172147192061,0.4875,0.4875,0.0,0.19646176733076573,-1.4486422544680448,0.013941185476141982,0.12328071556985379,0.0601817196700722,0.06591511834412814,3.175324520468712,0.03841776936315,0.4875,0.4875,-0.35,-0.23656256956358748,-1.178314155943239,-0.004052594609674998,-0.14478673326472438,-0.0750426691180716,0.0065162969753146255,0.5443620830774307,-0.04681761697866023
full,3,control,outputs/p3_v3_assay/full/s3/control,0.0,0.0,0.35,0.4330243368943532,-0.2703280985248058,0.01799378008581698,0.26806744883457817,0.1352243887881438,0.05939882136881351,2.630962437391281,0.08523538634181023,0.0,0.0,0.0,0.39926219135522845,-0.4086554455079356,0.009126251889392733,0.23688098043203354,0.12954891473054886,0.05093713998794556,3.2458388805389404,0.01911004139110446,0.1625,0.1625,0.075,0.3921916291117668,-0.4392632963978279,0.013000198602094315,0.25110948029905555,0.12987285293638706,0.054889139626175164,3.2294713348150252,0.02320714993402362,0.1625,0.1625,-0.27499999999999997,-0.04083270778258641,-0.16893519787302208,-0.004993581483722665,-0.016957968535522616,-0.005351535851756739,-0.004509681742638348,0.598508897423744,-0.06202823640778661
full,4,control,outputs/p3_v3_assay/full/s4/control,0.6,0.6,0.0,0.5450860207279523,0.18290478275781893,0.010205354869443302,0.16921290780107182,0.08039696539441744,0.036576798061529796,2.0220887367924054,0.060715442554404336,1.0,1.0,0.0,0.6734595626592637,0.7253815752349905,0.006113886961247772,0.2203897438943386,0.11594276390969753,0.03358571901917458,2.9916874051094053,0.025336656253784895,1.0,1.0,0.0,0.7959816984832286,1.383221609331668,0.006474562826042529,0.15414499212056398,0.08393911994062364,0.03342192824929953,3.174409511685371,0.018295879871584476,0.4,0.4,0.0,0.2508956777552763,1.200316826573849,-0.0037307920434007727,-0.015067915680507832,0.003542154546206197,-0.003154869812230267,1.1523207748929658,-0.042419562682819864
full,4,body_shock,outputs/p3_v3_assay/full/s4/body_shock,0.6,0.6,0.0,0.5450860207279523,0.18290478275781893,0.010205354869443302,0.16921290780107182,0.08039696539441744,0.036576798061529796,2.0220887367924054,0.060715442554404336,1.0,1.0,0.0,0.47846938371658326,-0.08860688448413664,0.006989457499003038,0.25994813069701195,0.1306656774133444,0.03226595297455788,2.9783912301063538,0.03349528405815363,0.9625,0.9625,0.0,0.5179680280387402,0.07430794895107458,0.007841958355857059,0.21483445568010212,0.1126710788346827,0.03308281004428863,3.151009255647659,0.019235978310462087,0.36250000000000004,0.36250000000000004,0.0,-0.02711799268921211,-0.10859683380674436,-0.0023633965135862432,0.045621547879030305,0.03227411344026526,-0.0034939880172411633,1.1289205188552538,-0.04147946424394225
full,5,control,outputs/p3_v3_assay/full/s5/control,0.6,0.6,0.0,0.5547484800219535,0.2225648341086184,0.015350629102128248,0.15616430876155693,0.08360109602411588,0.14810550026595592,2.6197214228411516,0.11154062940428654,1.0,1.0,0.0,0.6871267169713974,0.7882840965475071,0.008150263977586291,0.09030369967222214,0.04996962118893862,0.17466778084635734,3.661005735397339,0.0323042331263423,1.0,0.975,0.0,0.8011859059333801,1.4127594415153975,0.01579131597536616,0.10513477325439453,0.057504946691915394,0.12228057077154517,3.601279306411743,0.03504365775734186,0.4,0.375,0.0,0.2464374259114266,1.190194607406779,0.0004406868732379117,-0.051029535507162396,-0.02609614933220048,-0.02582492949441076,0.9815578835705914,-0.07649697164694468
full,5,body_shock,outputs/p3_v3_assay/full/s5/body_shock,0.6,0.6,0.0,0.5547484800219535,0.2225648341086184,0.015350629102128248,0.15616430876155693,0.08360109602411588,0.14810550026595592,2.6197214228411516,0.11154062940428654,1.0,1.0,0.0,0.4937302440404892,-0.025704363171619803,0.010038344433996826,0.13212719187140465,0.07217488214373588,0.16964392736554146,3.6437721848487854,0.05092567428946495,1.0,0.975,0.0,0.5381438322365284,0.1585764388426587,0.017396027222275734,0.1418917927891016,0.07680544252507389,0.18570446521043776,3.66774777173996,0.043395379767753185,0.4,0.375,0.0,-0.016604647785425142,-0.0639883952659597,0.002045398120147486,-0.014272515972455324,-0.006795653499041987,0.03759896494448184,1.0480263488988082,-0.06814524963653334
