cohort,seed,g_mode,valence_name,n,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,body_state,body_u
full,19,actual,bottom,200,0.11362828362733125,0.08324413327500224,0.2316735339909792,1.5414989590644836,0.0,0.0,0.0,0.3744857008010149,-0.5443034386838602
full,19,actual,mid,200,0.11884739633649588,0.13124855641275646,0.22590379051864148,1.542239802479744,0.0,0.0,0.0,0.5163583219796419,0.08579392845493407
full,19,actual,top,200,0.062457646634429695,0.04899857561104,0.11099023524671793,1.589012042284012,0.0,0.0,0.0,0.7225137905776501,1.0636894214849348
full,19,mean,bottom,200,0.11021054312586784,0.08324413327500224,0.22474032454192638,1.545374664068222,0.005301183499395848,0.010586847066879273,0.00018406441497518245,0.3744857008010149,-0.5443034386838602
full,19,mean,mid,200,0.11861459903419018,0.13124855641275646,0.2256086429208517,1.5423072594404221,0.0024683549627661705,0.0057241059839725494,0.0001147323859993321,0.5163583219796419,0.08579392845493407
full,19,mean,top,200,0.062344751637429,0.04899857561104,0.11065998774021864,1.5890367329120636,0.0029348089173436166,0.005547546669840813,6.947918538116938e-05,0.7225137905776501,1.0636894214849348
full,19,random,bottom,200,0.1099692990258336,0.08324413327500224,0.22414098985493183,1.54563649058342,0.006095858439803124,0.012242441624403,0.0002930760445383385,0.3744857008010149,-0.5443034386838602
full,19,random,mid,200,0.11822575464844703,0.13124855641275646,0.2248585156351328,1.5426774644851684,0.0034817250445485113,0.008100477755069732,0.00022024884165830372,0.5163583219796419,0.08579392845493407
full,19,random,top,200,0.062154348697513344,0.04899857561104,0.11035984423011541,1.5890220600366591,0.004716500863432884,0.008903211504220963,0.00019240461426306866,0.7225137905776501,1.0636894214849348
full,19,shuffled,bottom,200,0.11139552548527717,0.08324413327500224,0.2268862748891115,1.5440543568134308,0.0060028288140892986,0.011882239282131194,0.0002828991175601914,0.3744857008010149,-0.5443034386838602
full,19,shuffled,mid,200,0.11748280983418226,0.13124855641275646,0.2231211855635047,1.5434572792053223,0.004105084240436554,0.009499761871993542,0.0003004624754089491,0.5163583219796419,0.08579392845493407
full,19,shuffled,top,200,0.06125565033406019,0.04899857561104,0.10859345622360707,1.58954755961895,0.004516598712652922,0.008592479042708873,0.00018874273916026142,0.7225137905776501,1.0636894214849348
full,19,zero,bottom,200,0.08747633468359708,0.08324413327500224,0.17593455493450164,1.5700113898515702,0.02615194894373417,0.055738979056477546,0.004072070735273883,0.3744857008010149,-0.5443034386838602
full,19,zero,mid,200,0.12108560632914304,0.13124855641275646,0.23904232241213322,1.5364284855127335,0.012317476943135262,0.027267371714115144,0.0019258898418047466,0.5163583219796419,0.08579392845493407
full,19,zero,top,200,0.0862169305793941,0.04899857561104,0.1552913187816739,1.5741540265083314,0.023759283944964408,0.04430108353495598,0.002932965483341832,0.7225137905776501,1.0636894214849348
