valence_name,zone3,n,body_state_mean,body_u_mean,body_delta_mean,body_u_delta_mean,body_drive_mean,body_pe_mean,body_loss_mean,body_loss_tendency_mean,tendency_target_mean,tendency_pred_mean,obs_pe_mean,alpha_mean,g_norm_mean
bottom,BL,2,0.4724544882774353,-0.11029561666538308,-0.004192337393760681,-0.016829065863892934,0.5275455117225647,1.5549887848465005e-06,0.0014899018569849432,0.002974237548187375,-0.08330807278508803,-0.028773711994290352,0.12370880600064993,0.030072100460529327,3.329398512840271
bottom,BM,28,0.46178150389875683,-0.15373439294836708,-0.004261578832353864,-0.017206382708044334,0.5382184961012432,0.0004054546950596562,0.001358082549683916,0.001880160369962271,-0.07582095848349121,-0.03961986569421632,0.06075663199382169,0.031060012855700085,3.312440208026341
bottom,BR,217,0.3069921430492181,-0.9427340387848253,-0.0032630596430070938,-0.01620789853076747,0.6930078569507818,7.390703314295948e-05,0.00030880281233000844,0.0004584199463320598,-0.07110200688613144,-0.0686693385689764,0.010050653960675962,0.030247736430387893,3.241634122786983
mid,ML,74,0.4593312321482478,-0.1638567199431017,-8.586774001250396e-05,-0.0003631360392645712,0.5406687678517522,0.00038664228281853744,0.0005461688219101406,0.0003027022801380074,0.0018813647971186026,0.005230948291215542,0.1227339576879466,0.03015044069773442,3.339472490387994
mid,MM,1084,0.49880898669636997,-0.00340237680960932,-3.9516092446457417e-05,-0.00016019597403714553,0.50119101330363,0.0009449106419113715,0.001150382914311251,0.00035344089993209077,0.0022210015087900476,0.006113207472464228,0.0545990161358884,0.030608746260954445,3.280816037936404
mid,MR,1384,0.5234294489209104,0.10328533020619586,3.7775956352666625e-05,0.00011271141929456688,0.4765705510790896,0.0002767515437265759,0.0004292059108405888,0.00028108553993172567,0.003920536482273067,0.004688949135183949,0.012610656052793852,0.030889862055508043,3.2733297329073006
top,TL,39,0.5823820722408783,0.34040843275851496,0.003957992944961939,0.016616477835026826,0.4176179277591216,7.550350106956289e-05,0.00012402251316136523,8.244652491993471e-05,0.08036949433674914,0.07765938188785161,0.11607341105357194,0.030406701259123974,3.36386146912208
top,TM,915,0.6306829611134659,0.5796090322706051,0.0032921819087586117,0.01469717670265158,0.36931703888653405,0.0001897885216397147,0.00025935389893314226,0.00011492559530307009,0.06967604135421747,0.06748749424291195,0.04984236606422181,0.030361554954872756,3.303830982687695
top,TR,12177,0.7604707628476304,1.2636067761820573,0.0022773108033404773,0.012710781336640211,0.23952923715236965,4.525396335017348e-05,8.715669362496893e-05,7.558683854089094e-05,0.05996004320453425,0.05968233681703548,0.009334305479923024,0.031126341934327256,3.3013247847214426
