valence_name,zone3,n,body_state_mean,body_u_mean,body_delta_mean,body_u_delta_mean,body_drive_mean,body_pe_mean,body_loss_mean,body_loss_tendency_mean,tendency_target_mean,tendency_pred_mean,obs_pe_mean,alpha_mean,g_norm_mean
bottom,BL,5,0.4642383575439453,-0.14339709292101638,-0.004980665445327759,-0.020065841471639884,0.5357616424560547,0.0003097762564948425,0.0016350298305042089,0.002643231744877994,-0.10123084684045366,-0.05309972986578941,0.09904478341341019,0.030117857456207275,3.331307601928711
bottom,BM,117,0.42091723919933677,-0.32442957868136485,-0.004030335917432084,-0.016774484153374212,0.5790827608006632,0.0003032441058300767,0.0006631387423064171,0.0006952592927448747,-0.07035711848379941,-0.058936648787214205,0.049780882994493104,0.032517836198338076,3.306659555842734
bottom,BR,26,0.38560929665198695,-0.4708325303000977,-0.003388051803295429,-0.01440731410364171,0.614390703348013,0.0003368534835208091,0.0004768118016307618,0.0002561861554998866,-0.050574250338682285,-0.046989537990437105,0.0224175623868807,0.03338550375058101,3.299638326351459
mid,ML,95,0.49140964777846086,-0.03441746408924681,0.00023411481004012257,0.0009387499278274521,0.5085903522215391,0.0005206099486309468,0.0008589177152699497,0.0006301247844358739,0.0042776342623438565,0.005253551096508377,0.1057327133848479,0.030352679365559628,3.303148701316432
mid,MM,1334,0.496302355823667,-0.011192301786353952,-8.768786018577473e-05,-0.0003761033569083002,0.503697644176333,0.0005955669769464271,0.0008708779215060898,0.0005014698051063664,0.0009488784773382819,0.006399811177083041,0.05589696194353825,0.031251918189395135,3.3086773373376483
mid,MR,1446,0.5206141043789324,0.09826933938822864,0.0004065144358828849,0.0016386540473160055,0.4793858956210676,0.00020920363412652382,0.00038081343507570905,0.00031942440090961476,0.011424676933380642,0.01220045557611443,0.013959956550948132,0.03127080157790771,3.313043045140236
top,TL,115,0.5850378559983295,0.37705590662031274,0.0035427290460337763,0.015379046668731251,0.41496214400167053,0.00016827452654183153,0.0002731263521636522,0.00016501522171641068,0.0702977820424134,0.06855541044117316,0.11496429124280162,0.03085040488968725,3.293817258917767
top,TM,1514,0.652046509096928,0.7044177748133427,0.0030238080371166316,0.014018309779672642,0.34795349090307204,0.00011744708828237261,0.0002167838008018744,0.00017238724875879747,0.06511142156177822,0.06326681708109957,0.0545756335166016,0.030711590018384208,3.3171521581148378
top,TR,11268,0.7568406794123672,1.2308048817345116,0.00227435326476786,0.012592794716508387,0.24315932058763284,5.627743197656659e-05,0.00011901123604709737,0.00011353025686616172,0.058720439359988844,0.05835873849865513,0.009633895286363874,0.0315263805197493,3.3293341201884465
