cohort,seed,g_mode,valence_name,n,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,body_state,body_u
no_conative,27,actual,bottom,200,0.07030696082860231,0.06175684784539044,0.14588083811104297,1.5804984933137893,0.0,0.0,0.0,0.24236757116392255,-1.299754596660553
no_conative,27,actual,mid,200,0.1175197783112526,0.1328151025250554,0.23911614790558816,1.536467937231064,0.0,0.0,0.0,0.4653145380318165,-0.15313951884825472
no_conative,27,actual,top,200,0.0822607197612524,0.052279081903398035,0.15015515320003034,1.5776800954341887,0.0,0.0,0.0,0.7299629309773445,1.0835537274258393
no_conative,27,mean,bottom,200,0.07055011006072164,0.06175684784539044,0.14639652006328105,1.5801742607355118,0.0017373589240014553,0.003801049292087555,3.294191007739755e-05,0.24236757116392255,-1.299754596660553
no_conative,27,mean,mid,200,0.11699731312692166,0.1328151025250554,0.23801638871431352,1.5370624727010727,0.000795276015996933,0.0017326501011848449,9.123836624667092e-06,0.4653145380318165,-0.15313951884825472
no_conative,27,mean,top,200,0.08158299420028925,0.052279081903398035,0.14895113781094552,1.5781478255987167,0.0012913555651903152,0.0024613954871892927,1.2394658427048456e-05,0.7299629309773445,1.0835537274258393
no_conative,27,random,bottom,200,0.07045165941119194,0.06175684784539044,0.14619783967733382,1.5802393585443497,0.0019513088464736938,0.004206443503499031,3.8100307002935095e-05,0.24236757116392255,-1.299754596660553
no_conative,27,random,mid,200,0.11682383578270673,0.1328151025250554,0.23771639704704284,1.5372316932678223,0.0010145694389939307,0.0022342438995838166,1.573731209646212e-05,0.4653145380318165,-0.15313951884825472
no_conative,27,random,top,200,0.08156740985810756,0.052279081903398035,0.148955025523901,1.5781520587205886,0.0015743904188275338,0.0029386501759290696,1.9491465183136823e-05,0.7299629309773445,1.0835537274258393
no_conative,27,shuffled,bottom,200,0.07033199865370988,0.06175684784539044,0.14597787134349346,1.5802858537435531,0.002368280775845051,0.005106680244207382,6.039338300467989e-05,0.24236757116392255,-1.299754596660553
no_conative,27,shuffled,mid,200,0.11679975379258395,0.1328151025250554,0.23765716597437858,1.53727135181427,0.001144915111362934,0.002445574998855591,2.1453425401887215e-05,0.4653145380318165,-0.15313951884825472
no_conative,27,shuffled,top,200,0.08139625510200858,0.052279081903398035,0.14863707587122918,1.5782627111673355,0.002025450523942709,0.0037250859290361405,3.0203295707451617e-05,0.7299629309773445,1.0835537274258393
no_conative,27,zero,bottom,200,0.07161433367058635,0.06175684784539044,0.14928220704197884,1.5790500408411026,0.0017015611939132213,0.0039050299674272537,6.25275335733022e-05,0.24236757116392255,-1.299754596660553
no_conative,27,zero,mid,200,0.11692954502999782,0.1328151025250554,0.23760602302849293,1.537344564795494,0.0008953908830881119,0.002362529560923576,2.1240813516669732e-05,0.4653145380318165,-0.15313951884825472
no_conative,27,zero,top,200,0.08007824467495084,0.052279081903398035,0.14607192851603032,1.579269163608551,0.0022433472238481047,0.004148311316967011,4.494454486120958e-05,0.7299629309773445,1.0835537274258393
