episode,t,x,y,zone3,valence_name,body_state,body_u,logged_action,pred_UP,pred_DOWN,pred_STAY,pred_UP_minus_DOWN,true_UP,true_DOWN,true_STAY,true_UP_minus_DOWN,pred_trend_UP,pred_trend_DOWN,pred_trend_STAY,pred_trend_UP_minus_DOWN,true_trend_UP,true_trend_DOWN,true_trend_STAY,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
135,32,3,10,BL,bottom,0.437874436378479,-0.24979306387954453,STAY,0.40236419439315796,0.387616902589798,0.3886226415634155,0.014747291803359985,0.4348136584504331,0.4329994854701692,0.4340306815803871,0.0018141729802639284,0.01763818971812725,-0.08777149021625519,-0.03388271480798721,0.10540968179702759,-0.008400033175678612,-0.11419330093124658,-0.0773802123424095,0.10579326775556797,0.026038222014904022,0.02642180770635605
162,76,4,10,BL,bottom,0.2416282594203949,-1.1437732284962339,STAY,0.18823042511940002,0.1746482253074646,0.17787986993789673,0.013582199811935425,0.24016991558793685,0.2388246892482258,0.23958885697327467,0.001345226339711042,0.0516265444457531,-0.06008555740118027,-0.003194596152752638,0.11171209812164307,0.01372709058289634,-0.09206617717267185,-0.0552530885838356,0.10579326775556819,0.037899453192949295,0.031980618834495544
162,82,4,11,BL,bottom,0.22806601226329803,-1.2192638921096668,LEFT,0.18324026465415955,0.1706169694662094,0.17321743071079254,0.012623295187950134,0.22599803346166394,0.22503674391287676,0.2256136046761127,0.0009612895487871864,0.045960716903209686,-0.06220722571015358,-0.008123899810016155,0.10816794633865356,-0.009735788335137663,-0.09507969520202475,-0.06922059168720818,0.08534390686688709,0.055696506053209305,0.03287247195839882
112,108,3,11,BL,bottom,0.3464353382587433,-0.6347453419552754,UP,0.2781551480293274,0.26410484313964844,0.26600366830825806,0.014050304889678955,0.34311300261738636,0.3418735927693326,0.3426175423735371,0.001239409848053763,0.033209629356861115,-0.07561802864074707,-0.020174678415060043,0.10882765799760818,-0.02420335127485307,-0.1095472581417406,-0.0836881546269238,0.08534390686688753,0.05741298198699951,0.03392922878265381
162,88,3,11,BL,bottom,0.21313463151454926,-1.3061330986567956,RIGHT,0.17566527426242828,0.16302424669265747,0.16585202515125275,0.012641027569770813,0.21123736530593284,0.21032179997310335,0.21087120424450834,0.0009155653328294933,0.04820365086197853,-0.060493532568216324,-0.006109894253313541,0.10869718343019485,-0.0075856671577827495,-0.09292957402467028,-0.06707047050985326,0.08534390686688753,0.055789317935705185,0.03243603929877281
162,91,4,11,BL,bottom,0.20594199001789093,-1.3495619510363808,DOWN,0.17191489040851593,0.15911933779716492,0.1621093899011612,0.012795552611351013,0.20412742093001282,0.2032347319121783,0.20377040039886013,0.0008926890178345137,0.05072268843650818,-0.05890682339668274,-0.003809642046689987,0.10962951183319092,-0.006510748910901976,-0.0918546557777895,-0.06599555226297271,0.08534390686688753,0.05723343789577484,0.032947830855846405
162,86,3,11,BL,bottom,0.21754500269889832,-1.28003069065254,UP,0.1782366931438446,0.16539034247398376,0.16829559206962585,0.01284635066986084,0.21559715448085243,0.21466783539028172,0.2152254982369357,0.0009293190905707016,0.04879295453429222,-0.06041909009218216,-0.005628588609397411,0.10921204090118408,-0.008231734302409643,-0.09357564116929695,-0.06771653765448016,0.08534390686688731,0.05702468752861023,0.03315655142068863
162,96,4,13,BL,bottom,0.1924637109041214,-1.4340803943058271,RIGHT,0.1681147664785385,0.15683995187282562,0.1589324027299881,0.01127481460571289,0.1899562707424277,0.18954771127942546,0.18986533524184424,0.00040855946300225043,0.04012305289506912,-0.06302869319915771,-0.012635021470487118,0.10315174609422684,-0.04813418076850806,-0.09341769681289613,-0.08318910582360939,0.04528351604438807,0.08825723826885223,0.030389003455638885
112,67,2,10,BL,bottom,0.3570489287376404,-0.5881957542312789,RIGHT,0.2928890287876129,0.27815911173820496,0.2803054451942444,0.014729917049407959,0.35458427576668045,0.35289583538218977,0.3538553184268667,0.0016884403844906748,0.03373587876558304,-0.07658711075782776,-0.020015228539705276,0.1103229895234108,-2.4144642561174656e-05,-0.10581741239812925,-0.069004323809292,0.10579326775556808,0.03376002237200737,0.029230304062366486
135,30,4,11,BL,bottom,0.4461400806903839,-0.21627875932914917,UP,0.41726022958755493,0.40445640683174133,0.40409523248672485,0.012803822755813599,0.4419928896992104,0.4406358944530836,0.44145060119679813,0.001356995246126813,0.007150978781282902,-0.09184204041957855,-0.0416228324174881,0.09899301826953888,-0.03456092097167765,-0.1199048278385649,-0.09404572432374833,0.08534390686688725,0.041711900383234024,0.028062790632247925
