cohort,seed,sample_id,g_mode,episode,t,x,y,zone3,valence_name,body_state,body_u,true_trend_UP_minus_DOWN,pred_trend_UP,pred_trend_DOWN,pred_trend_STAY,pred_trend_UP_minus_DOWN,pred_body_UP_minus_DOWN,q_UP,q_DOWN,q_LEFT,q_RIGHT,q_STAY,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,g_norm_mode,g_norm_actual
no_body_in_g,20,0,actual,177,199,14,2,TR,top,0.6939540505409241,0.8186706342018544,0.06446211040019989,0.07717236876487732,0.028306543827056885,0.0768352523446083,0.048865824937820435,0.0021969079971313477,0.2238742560148239,0.13658323884010315,0.20799769461154938,0.2086513340473175,0.22289349138736725,0.08729101717472076,1.595134973526001,0.0,0.0,0.0,3.452700614929199,3.452700614929199
no_body_in_g,20,0,zero,177,199,14,2,TR,top,0.6939540505409241,0.8186706342018544,0.06446211040019989,0.0765630230307579,-0.01311737485229969,0.062332652509212494,0.08968039602041245,0.0063002705574035645,0.2624817192554474,0.1053856834769249,0.20369477570056915,0.20214158296585083,0.22629624605178833,0.1570960283279419,1.5717626810073853,0.04081457108259201,0.06980501115322113,0.007383858785033226,0.0,3.452700614929199
no_body_in_g,20,0,mean,177,199,14,2,TR,top,0.6939540505409241,0.8186706342018544,0.06446211040019989,0.07322774082422256,0.014459321275353432,0.07000413537025452,0.05876842141151428,0.003498852252960205,0.232127383351326,0.12784966826438904,0.20779673755168915,0.20785391330718994,0.2243722677230835,0.10427771508693695,1.5903127193450928,0.009902596473693848,0.016986697912216187,0.00044678710401058197,3.4347848892211914,3.452700614929199
no_body_in_g,20,0,shuffled,177,199,14,2,TR,top,0.6939540505409241,0.8186706342018544,0.06446211040019989,0.07447230070829391,0.02101854979991913,0.07281652092933655,0.053453750908374786,0.0027245283126831055,0.2276211977005005,0.13246706128120422,0.2080211639404297,0.20827223360538483,0.22361832857131958,0.09515413641929626,1.5929838418960571,0.004587925970554352,0.0078631192445755,9.588146349415183e-05,3.428612470626831,3.452700614929199
no_body_in_g,20,0,random,177,199,14,2,TR,top,0.6939540505409241,0.8186706342018544,0.06446211040019989,0.07664226740598679,0.029326830059289932,0.07663567364215851,0.047315437346696854,0.0022426247596740723,0.2227546125650406,0.1380077451467514,0.2079002857208252,0.20872269570827484,0.2226146161556244,0.08474686741828918,1.5958251953125,0.001550387591123581,0.0025441497564315796,1.0479299817234278e-05,3.4717366695404053,3.452700614929199
no_body_in_g,20,1,actual,165,51,14,0,TR,top,0.6724632978439331,0.7193473646500818,0.029043715447187424,0.07507643848657608,0.02945050597190857,0.07577317208051682,0.04562593251466751,0.001197218894958496,0.2211044430732727,0.1396840661764145,0.20791509747505188,0.20858150720596313,0.22271493077278137,0.08142037689685822,1.596603274345398,0.0,0.0,0.0,3.4735023975372314,3.4735023975372314
no_body_in_g,20,1,zero,165,51,14,0,TR,top,0.6724632978439331,0.7193473646500818,0.029043715447187424,0.08139947056770325,0.011790771037340164,0.07537689059972763,0.06960870325565338,0.00335770845413208,0.24143047630786896,0.11935478448867798,0.20666734874248505,0.20660722255706787,0.2259402573108673,0.12207569181919098,1.5845518112182617,0.02398277074098587,0.040655314922332764,0.00255758548155427,0.0,3.4735023975372314
no_body_in_g,20,1,mean,165,51,14,0,TR,top,0.6724632978439331,0.7193473646500818,0.029043715447187424,0.07568826526403427,0.03187909349799156,0.07688958197832108,0.04380917176604271,0.0008527040481567383,0.21965064108371735,0.14143137633800507,0.20785997807979584,0.2086876481771469,0.22237041592597961,0.07821926474571228,1.5973951816558838,0.0018167607486248016,0.003201112151145935,1.5949626686051488e-05,3.4347848892211914,3.4735023975372314
no_body_in_g,20,1,shuffled,165,51,14,0,TR,top,0.6724632978439331,0.7193473646500818,0.029043715447187424,0.07862604409456253,0.04026446118950844,0.08129236847162247,0.03836158290505409,-0.0003516077995300293,0.2153036892414093,0.14683546125888824,0.20767930150032043,0.20888306200504303,0.22129850089550018,0.06846822798252106,1.5996394157409668,0.007264349609613419,0.012952148914337158,0.00025942176580429077,3.4352896213531494,3.4735023975372314
no_body_in_g,20,1,random,165,51,14,0,TR,top,0.6724632978439331,0.7193473646500818,0.029043715447187424,0.07527761161327362,0.025443360209465027,0.07491450756788254,0.049834251403808594,0.001727759838104248,0.22440023720264435,0.13574381172657013,0.20793049037456512,0.20842938125133514,0.22349603474140167,0.08865642547607422,1.5946980714797974,0.004208318889141083,0.007236048579216003,8.249562233686447e-05,3.4630885124206543,3.4735023975372314
