cohort,seed,g_mode,valence_name,n,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,body_state,body_u
no_body_in_g,13,actual,bottom,193,0.11060185765200946,0.09179820137706446,0.2270900471222833,1.543302484744571,0.0,0.0,0.0,0.4123181381837074,-0.3702350419896125
no_body_in_g,13,actual,mid,201,0.1275945255783067,0.1309011387661915,0.24622305471505693,1.5303618065753386,0.0,0.0,0.0,0.5055616394945638,0.02810587773806447
no_body_in_g,13,actual,top,206,0.055229838431170845,0.05306606189103671,0.09780257589464049,1.589970143095961,0.0,0.0,0.0,0.7326950610262676,1.1011132694065202
no_body_in_g,13,mean,bottom,193,0.10860072906307607,0.09179820137706446,0.22321117541950602,1.5454621308825793,0.005054535102967771,0.010237726677267045,0.00019433184155588954,0.4123181381837074,-0.3702350419896125
no_body_in_g,13,mean,mid,201,0.12821160935199083,0.1309011387661915,0.2476290270908555,1.5295907840206848,0.00229534618000486,0.004952666993757978,7.517293798979896e-05,0.5055616394945638,0.02810587773806447
no_body_in_g,13,mean,top,206,0.05493892110811854,0.05306606189103671,0.09723678448246521,1.5900278762706275,0.0034719754769964124,0.006416752970623739,9.457217237406474e-05,0.7326950610262676,1.1011132694065202
no_body_in_g,13,random,bottom,193,0.1079433776168008,0.09179820137706446,0.22183029245527297,1.5461260086514172,0.005877154555963111,0.011892004720287619,0.0003147232733361005,0.4123181381837074,-0.3702350419896125
no_body_in_g,13,random,mid,201,0.1282822142044703,0.1309011387661915,0.24783534664123213,1.5294982728673452,0.0031472198034993453,0.007061930808854934,0.00015971143807631173,0.5055616394945638,0.02810587773806447
no_body_in_g,13,random,top,206,0.05514286914207403,0.05306606189103671,0.09762200340628624,1.5898386199497483,0.005234396320234224,0.00967584977161537,0.00021855343854519904,0.7326950610262676,1.1011132694065202
no_body_in_g,13,shuffled,bottom,193,0.10883240760762457,0.09179820137706446,0.22349344796158488,1.5452914812404257,0.005696112318977791,0.011422030434707285,0.0002847396123380759,0.4123181381837074,-0.3702350419896125
no_body_in_g,13,shuffled,mid,201,0.1274951249731714,0.1309011387661915,0.24581829988541296,1.5305443581063949,0.0029779679294842393,0.006286949067566525,0.00013885804154013576,0.5055616394945638,0.02810587773806447
no_body_in_g,13,shuffled,top,206,0.054295524846292235,0.05306606189103671,0.09609377995422742,1.5901819392315393,0.004984475310566356,0.009242764809756603,0.0001884946304926416,0.7326950610262676,1.1011132694065202
no_body_in_g,13,zero,bottom,193,0.09663963920094189,0.09179820137706446,0.19879866024681941,1.5580743631550684,0.013962218451067574,0.028301836218240964,0.0013055266585343377,0.4123181381837074,-0.3702350419896125
no_body_in_g,13,zero,mid,201,0.12724985986651471,0.1309011387661915,0.24978242095430098,1.5291799982981895,0.006347124478710231,0.01351292720481531,0.0005121248402034479,0.5055616394945638,0.02810587773806447
no_body_in_g,13,zero,top,206,0.06741915614280886,0.05306606189103671,0.12062546379357866,1.5838687512481098,0.012189317711638016,0.02282288789893817,0.000868871976158472,0.7326950610262676,1.1011132694065202
