valence_name,zone3,n,body_state_mean,body_u_mean,body_delta_mean,body_u_delta_mean,body_drive_mean,body_pe_mean,body_loss_mean,body_loss_tendency_mean,tendency_target_mean,tendency_pred_mean,obs_pe_mean,alpha_mean,g_norm_mean
bottom,BL,442,0.3264195331418676,-0.7737832533553942,-0.003322012216796702,-0.01621022962674499,0.6735804668581324,8.123235500319046e-05,0.00027040717304977304,0.0003542104016289558,-0.07330581428222492,-0.07041187969571595,0.14441655196536046,0.031981138655772574,3.5278364765158607
bottom,BM,204,0.3611336679873513,-0.6053151643050612,-0.003957099628214743,-0.017654060892669025,0.6388663320126486,0.0005081361701074434,0.0008824728155220737,0.0007152590030492142,-0.07780989063965725,-0.06825698146085236,0.0573478519880012,0.03505649676948201,3.551726057248957
bottom,BR,643,0.20660329398642618,-1.5323877722516317,-0.0024218184013110856,-0.015411073491751241,0.7933967060135738,5.961019789271171e-05,0.00023753808838844983,0.0003496214067826036,-0.0688662289717648,-0.0663077641846279,0.012042484087141703,0.0369407365078318,3.5532773716453447
mid,ML,1459,0.5073600703821025,0.048209957926471994,-0.00046855647364571295,-0.0021494055832792965,0.4926399296178975,0.0002116970229130308,0.0004296355651365455,0.00038757674696054105,-0.009746047204718675,-0.01037470987251742,0.140807702558433,0.03197459299998221,3.532982244648453
mid,MM,1487,0.4894755315123265,-0.040830723456811234,6.964739609983196e-05,0.00022214023537166382,0.5105244684876735,0.0011020214453848094,0.0014183015753500056,0.00046267848841593303,0.0043219504557271094,0.006606315629006875,0.06620916528921642,0.038061777546891606,3.5440744224938276
mid,MR,1060,0.473205408070869,-0.13920064116131492,-0.0003692837045440134,-0.0017061865719427537,0.5267945919291309,0.00010496872742496224,0.00025785921650174474,0.00029069165210137576,-0.00870695870983492,-0.00955585555068024,0.01376365643952323,0.03325860617717482,3.5763098386098755
top,TL,6859,0.7751991075878676,1.3553495605548853,0.0021262109509917314,0.012392808556947892,0.2248008924121324,8.871765091783578e-05,0.00016174283169134417,0.0001300235483827582,0.05788564768146006,0.05769337890912752,0.13821449875016917,0.03376936156181574,3.5611184464718963
top,TM,2110,0.6852469732693587,0.8845230957152502,0.0029728217853754054,0.014245362358363713,0.31475302673064137,0.00035315840586403504,0.000442491413277467,0.00013141944489515508,0.06799264709917655,0.06607007017641624,0.06428194242337569,0.03517704908669842,3.5640255412784234
top,TR,1656,0.7393198435505232,1.1508686619049573,0.0022650011747643566,0.012112745369789443,0.2606801564494769,3.9478690417112835e-05,0.00011249258415481845,0.00012138597918120266,0.05747782577361019,0.05641030078272421,0.012485336297343736,0.037375093824657556,3.5827628911117424
