valence_name,zone3,action_name,n,body_delta_mean,body_u_delta_mean,body_state_mean,body_next_mean,tendency_target_mean,tendency_pred_mean
bottom,BL,DOWN,54,-0.0029876876484464716,-0.017656561059728623,0.220759651037278,0.21777196338883154,-0.09289209070492956,-0.09727672880722417
bottom,BL,LEFT,43,-0.0026167606891587722,-0.015438912043923557,0.21190587535153987,0.2092891146623811,-0.07642646470576195,-0.07086686746672143
bottom,BL,RIGHT,25,-0.0029397037625312804,-0.01643955782409244,0.23031409531831742,0.22737439155578612,-0.0813799108542646,-0.07615500748157501
bottom,BL,STAY,28,-0.002560118479388101,-0.014815884424438515,0.22422392825995172,0.22166380978056363,-0.07334232262140891,-0.06945394498429128
bottom,BL,UP,42,-0.002344129163594473,-0.013649055823605498,0.23002722646508897,0.2276830973014945,-0.02787282210323268,-0.034638667246326804
bottom,BM,DOWN,27,-0.004645066128836738,-0.020668198579234135,0.3677634298801422,0.36311836375130546,-0.11070676823407716,-0.11560788447106327
bottom,BM,LEFT,19,-0.004350644977469193,-0.018961103624492427,0.3835069615589945,0.3791563165815253,-0.09386219137830457,-0.08196528530434559
bottom,BM,RIGHT,36,-0.004010838766892751,-0.018310695000141652,0.35391398270924884,0.3499031439423561,-0.09064250649171106,-0.07632044578591983
bottom,BM,STAY,25,-0.0041976445913314816,-0.018782503221699463,0.35990394115448,0.3557062965631485,-0.09297807484589232,-0.08077086329460144
bottom,BM,UP,28,-0.003450532044683184,-0.015855683551109532,0.35425411217979025,0.35080358013510704,-0.03615695461608438,-0.029930798661163344
bottom,BR,DOWN,43,-0.004438087690708249,-0.020743546342699256,0.39154447684454363,0.3871063891538354,-0.11192027168183084,-0.11638217696616816
bottom,BR,LEFT,44,-0.0036361148072914643,-0.017617407913491118,0.36499756743962114,0.36136145263232966,-0.08721056252389031,-0.07951654464175756
bottom,BR,RIGHT,64,-0.003589907893911004,-0.01761938828203737,0.33907789131626487,0.33548798342235386,-0.08722036584204991,-0.0778522951877676
bottom,BR,STAY,71,-0.003675907535452238,-0.017515295792481615,0.3947797034617881,0.3911037959263358,-0.0867050820606193,-0.077529181136002
bottom,BR,UP,79,-0.0030832322715203973,-0.01444523111067829,0.36710727158226547,0.36402403931074506,-0.025376159314446037,-0.03242455128155931
mid,ML,DOWN,24,-0.0020134498675664267,-0.008636576102612903,0.4179428045948346,0.4159293547272682,-0.07932096344473857,-0.06961716276903947
mid,ML,LEFT,23,-0.0005029219648112421,-0.0022587943231439974,0.42186672402464825,0.42136380205983703,-0.011181595187808837,-0.0038981518667677174
mid,ML,RIGHT,33,-0.0010486859263795795,-0.004505031072335244,0.42490496960553253,0.42385628367915296,-0.022301027252998772,-0.018833454839433685
mid,ML,STAY,17,-0.000585848794263952,-0.0023803461431137324,0.44512014879899864,0.4445343000047347,-0.011783307008720118,-0.015324353349997717
mid,ML,UP,24,0.0006992903848489126,0.002833839358257428,0.46709316968917847,0.46779246007402736,0.05414511131388532,0.04176365401751051
mid,MM,DOWN,206,-0.0015900793295462155,-0.006372765879256101,0.4954424613309138,0.4938523820013676,-0.07446594124667574,-0.05624707199144855
mid,MM,LEFT,174,-0.0005817250616248997,-0.0023391926610582723,0.4880108329756507,0.48742910791402577,-0.011579587009870294,-0.002305906921646547
mid,MM,RIGHT,347,-0.00032456944930106833,-0.001292172322832351,0.4945060876157854,0.4941815181664843,-0.0063965752343007505,0.003414922790073116
mid,MM,STAY,288,-8.943645904461543e-05,-0.000349689005292482,0.49478395459138685,0.4946945181323422,-0.0017310477801120371,0.009817823711071268
mid,MM,UP,326,0.000977144285213728,0.0039354939046968435,0.4906233811488181,0.4916005254340318,0.05749687480849253,0.04965183190912854
