valence_name,zone3,n,body_state,body_u,pred_UP_minus_DOWN,true_UP_minus_DOWN,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
bottom,BL,6,0.15841695417960486,-1.670609963259178,0.011251689245303472,0.00046037409261557677,0.07394653682907422,0.058069244482233384,0.048854331175486244,0.03297704023619493
bottom,BM,66,0.2559905096211217,-1.1338024012931618,0.016158807571187164,0.000823207908506944,0.0782527280124751,0.07268016372842298,0.04507183802850319,0.0394292286399639
bottom,BR,200,0.2536814396828413,-1.1762582288707601,0.015232483297586441,0.000861481709001129,0.07367433555424213,0.07447212667031372,0.04258991860318929,0.04074423849582672
mid,MM,200,0.49225138276815417,-0.03451772553373908,0.02902249626815319,0.002678031794059383,0.0864500593021512,0.13471861135149857,0.0068695461610332135,0.051490680929273364
mid,MR,200,0.5009216181561351,0.00531748461878545,0.02879601523280144,0.0024805039966438154,0.08850086625665426,0.13210259390185852,0.008064148109406232,0.047435796121135354
top,TM,51,0.5195723585053986,0.07841517592449788,0.01597113702811447,0.0015853684133439842,0.06062915928515734,0.09409736650089853,0.008183026868923037,0.025489357373147618
top,TR,200,0.7217339406907558,1.0529847774303043,0.006486522406339646,0.0006255452542409335,0.04185463113710284,0.055114341256715944,0.007838256619870664,0.01720841638278216
