cohort,seed,sample_id,g_mode,episode,t,x,y,zone3,valence_name,body_state,body_u,true_trend_UP_minus_DOWN,pred_trend_UP,pred_trend_DOWN,pred_trend_STAY,pred_trend_UP_minus_DOWN,pred_body_UP_minus_DOWN,q_UP,q_DOWN,q_LEFT,q_RIGHT,q_STAY,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,g_norm_mode,g_norm_actual
full,17,0,actual,170,154,12,0,TR,top,0.870642364025116,1.9066506116888837,0.029043717309832573,0.04632895439863205,0.016820009797811508,0.04803070053458214,0.02950894460082054,0.00030303001403808594,0.21240337193012238,0.15800710022449493,0.20623236894607544,0.20752951502799988,0.2158275693655014,0.05439627170562744,1.6034603118896484,0.0,0.0,0.0,3.4982495307922363,3.4982495307922363
full,17,0,zero,170,154,12,0,TR,top,0.870642364025116,1.9066506116888837,0.029043717309832573,0.04178734868764877,0.008433427661657333,0.041181497275829315,0.03335392102599144,0.000784754753112793,0.21696186065673828,0.15512330830097198,0.20651167631149292,0.20625242590904236,0.21515080332756042,0.061838552355766296,1.6025164127349854,0.0038449764251708984,0.007442280650138855,7.989292498677969e-05,0.0,3.4982495307922363
full,17,0,mean,170,154,12,0,TR,top,0.870642364025116,1.9066506116888837,0.029043717309832573,0.049199506640434265,0.01968643255531788,0.0511692650616169,0.029513074085116386,-0.00033986568450927734,0.21197614073753357,0.15793640911579132,0.2061481475830078,0.2079341560602188,0.21600523591041565,0.05403973162174225,1.603442668914795,4.129484295845032e-06,0.00035654008388519287,7.279159035533667e-07,3.5086820125579834,3.4982495307922363
full,17,0,shuffled,170,154,12,0,TR,top,0.870642364025116,1.9066506116888837,0.029043717309832573,0.04720199853181839,0.018185976892709732,0.049043379724025726,0.029016021639108658,-8.499622344970703e-05,0.21194681525230408,0.1586003303527832,0.206047922372818,0.20771424472332,0.21569067239761353,0.053346484899520874,1.6036350727081299,0.0004929229617118835,0.0010497868061065674,1.734675606712699e-06,3.516845941543579,3.4982495307922363
full,17,0,random,170,154,12,0,TR,top,0.870642364025116,1.9066506116888837,0.029043717309832573,0.045853838324546814,0.015492841601371765,0.046929579228162766,0.03036099672317505,0.00044906139373779297,0.2135096788406372,0.15742507576942444,0.20615887641906738,0.2073642909526825,0.21554210782051086,0.05608460307121277,1.6032824516296387,0.0008520521223545074,0.0016883313655853271,4.0710438042879105e-06,3.550109386444092,3.4982495307922363
full,17,1,actual,155,194,14,1,TR,top,0.7970409393310547,1.3679016123522405,0.04528351128101349,0.05333961546421051,0.016509421169757843,0.053808607161045074,0.03683019429445267,0.0009493827819824219,0.21740935742855072,0.1500706970691681,0.2069205939769745,0.20768380165100098,0.21791553497314453,0.06733866035938263,1.6008301973342896,0.0,0.0,0.0,3.5288426876068115,3.5288426876068115
full,17,1,zero,155,194,14,1,TR,top,0.7970409393310547,1.3679016123522405,0.04528351128101349,0.0456756055355072,0.005120806396007538,0.04343866556882858,0.040554799139499664,0.0020360350608825684,0.2224808633327484,0.14755533635616302,0.20740830898284912,0.20583437383174896,0.21672114729881287,0.07492552697658539,1.599748134613037,0.003724604845046997,0.007586866617202759,9.169382974505424e-05,0.0,3.5288426876068115
full,17,1,mean,155,194,14,1,TR,top,0.7970409393310547,1.3679016123522405,0.04528351128101349,0.05450832471251488,0.018241122364997864,0.05530133470892906,0.036267202347517014,0.0005695819854736328,0.21670836210250854,0.15057425200939178,0.20689581334590912,0.20786696672439575,0.21795466542243958,0.06613411009311676,1.6010220050811768,0.0005629919469356537,0.0012045502662658691,2.027809387072921e-06,3.5086820125579834,3.5288426876068115
full,17,1,shuffled,155,194,14,1,TR,top,0.7970409393310547,1.3679016123522405,0.04528351128101349,0.05235668271780014,0.015835285186767578,0.05277616158127785,0.03652139753103256,0.0009998083114624023,0.21734188497066498,0.15046916902065277,0.20685388147830963,0.20760084688663483,0.21773424744606018,0.06687271595001221,1.6009706258773804,0.000308796763420105,0.00046594440937042236,5.827605491504073e-07,3.514016628265381,3.5288426876068115
full,17,1,random,155,194,14,1,TR,top,0.7970409393310547,1.3679016123522405,0.04528351128101349,0.05992976576089859,0.023704594001173973,0.06138092279434204,0.03622516989707947,-0.0004735589027404785,0.21569736301898956,0.15032634139060974,0.2069852501153946,0.20852603018283844,0.2184649407863617,0.06537102162837982,1.6009560823440552,0.0006050243973731995,0.0019676387310028076,9.441340807825327e-06,3.5741500854492188,3.5288426876068115
