valence_name,zone3,action_name,n,body_delta_mean,body_u_delta_mean,body_state_mean,body_next_mean,tendency_target_mean,tendency_pred_mean
bottom,BL,DOWN,2,-0.0013743974268436432,-0.012538453753711987,0.12691862136125565,0.125544223934412,-0.0748317159546843,-0.07555578649044037
bottom,BL,LEFT,7,-0.0010712604437555587,-0.011758751081987142,0.10386753295149122,0.10279627250773567,-0.058208750201736645,-0.06175698127065386
bottom,BL,RIGHT,11,-0.001246264712377028,-0.012353995377278578,0.11442399634556337,0.11317773163318634,-0.06115535790284731,-0.05988643555478616
bottom,BL,STAY,4,-0.0010210275650024414,-0.010216059032705893,0.11588207073509693,0.11486104317009449,-0.050572039848000405,-0.05768301896750927
bottom,BM,DOWN,39,-0.002682919781177472,-0.017164169519747825,0.20561293283334145,0.202930013052164,-0.089853574257395,-0.10070438921833649
bottom,BM,LEFT,130,-0.0021770206208412465,-0.015396522383434481,0.17825416329388435,0.1760771426730431,-0.07621662531539286,-0.07173026451984277
bottom,BM,RIGHT,165,-0.0021972733690883172,-0.015106296307468875,0.18387210551987995,0.18167483215079164,-0.074779933864054,-0.07100510059319662
bottom,BM,STAY,40,-0.0018464092165231705,-0.01399424170461661,0.15908153308555484,0.15723512386903166,-0.06927498626062377,-0.06662510060705244
bottom,BM,UP,44,-0.0018444972282106226,-0.01196323900244577,0.2019470242614096,0.20010252703319897,-0.01867520614752249,-0.02791331600482491
bottom,BR,DOWN,237,-0.003028683568732145,-0.01745563609501151,0.2325940865567465,0.22956540298801434,-0.0933524055222952,-0.107973051646465
bottom,BR,LEFT,536,-0.002533876629018072,-0.015410383077601033,0.21500097984559277,0.21246710321657472,-0.07628523920803656,-0.07214813355231352
bottom,BR,RIGHT,1158,-0.0029270228365233524,-0.015764317351602875,0.26050780668841844,0.2575807838518951,-0.07803730212692649,-0.07389037678298091
bottom,BR,STAY,248,-0.0027328967417199765,-0.014898516457247607,0.254216960225735,0.25148406348401503,-0.07375137179022877,-0.06982737586593195
bottom,BR,UP,217,-0.0023296340132638606,-0.01296779449703547,0.24951400789797032,0.24718437388470646,-0.02182117100065567,-0.023038356288117335
mid,ML,DOWN,1,-0.0007597953081130981,-0.0075894972685564,0.11322549730539322,0.11246570199728012,-0.06139067790660535,-0.047917529940605164
mid,ML,LEFT,4,-0.0007735826075077057,-0.0056056472106956745,0.16559447720646858,0.16482089459896088,-0.027749351604720307,-0.028890309389680624
mid,ML,RIGHT,9,-0.0007567844457096524,-0.005475619082604016,0.16327659040689468,0.16251980596118504,-0.027105679944820923,-0.019547336424390476
mid,ML,STAY,1,-0.0006591677665710449,-0.004712216034348904,0.1684965044260025,0.16783733665943146,-0.02332664448184607,-0.00794130563735962
mid,MM,DOWN,52,-0.0020104671040406595,-0.008891543500263643,0.4047517144622711,0.40274124735823047,-0.07993113810127668,-0.06478913991640393
mid,MM,LEFT,106,-0.0005922356163555721,-0.0031003546616029105,0.30723297884160616,0.3066407432252506,-0.01534752872781584,-0.015551261269961888
mid,MM,RIGHT,385,-0.0006216788833791559,-0.002547852965501441,0.43598134469289285,0.4353596658095137,-0.012612507551657817,-0.006413614291504219
mid,MM,STAY,74,-0.00010725543708414645,-0.00031310953508703837,0.39207460630584406,0.39196735086875995,-0.0015499702805668787,-0.00034896028857376123
mid,MM,UP,38,0.0007483582747609992,0.003460677394371332,0.3916617322124933,0.3924100904872543,0.059594587945050057,0.04963647706532165
mid,MR,DOWN,490,-0.0017723339096624023,-0.007611631937093216,0.4387152238463869,0.4369428899367245,-0.07674603397978288,-0.06539598965675247
mid,MR,LEFT,793,-0.0006940511124582038,-0.0031064685773521043,0.40436780991086746,0.4036737587984092,-0.015377794135435939,-0.01584033553886684
mid,MR,RIGHT,5571,-0.00042713120956862556,-0.0018193281272972277,0.46327426354496937,0.46284713233540076,-0.009006127926210104,-0.008822914663307051
mid,MR,STAY,649,-0.0004230381114457164,-0.0018760707060812406,0.444796099983305,0.44437306187185927,-0.009287017841407015,-0.009297837037593126
mid,MR,UP,516,0.0007551827345245568,0.0031928464373376744,0.44537188880896383,0.4461270715434884,0.0561653603999476,0.04583003708024242
top,TM,DOWN,1,0.0014365911483764648,0.005930032145942121,0.5872860550880432,0.5887226462364197,-0.023849954745699953,-0.05476861447095871
top,TM,LEFT,2,0.002686798572540283,0.010902113652578295,0.5485063195228577,0.551193118095398,0.05396818130166852,0.026165688410401344
top,TM,RIGHT,6,0.0033013572295506797,0.014132695497713912,0.44417735437552136,0.447478711605072,0.06996036706345653,0.05587919428944588
top,TR,DOWN,156,0.0023286352172876014,0.010777558908821918,0.6276278640024173,0.6299564992197049,0.012945682791964699,0.007619306716757516
top,TR,LEFT,170,0.0032788816620321834,0.014378951753009133,0.5814693237928783,0.5847482054549105,0.07117939693747546,0.06391605222049881
top,TR,RIGHT,3549,0.0024588547539932688,0.012314590717101599,0.7007937726503561,0.7032526274043495,0.06096029500840961,0.058447607479848875
top,TR,STAY,253,0.003039919399461256,0.014290327402296516,0.6466121663571346,0.6496520857565959,0.07074068430069515,0.0648230153095463
top,TR,UP,256,0.0032020793296396732,0.014863444683456406,0.6491974892560393,0.6523995685856789,0.0797121875349126,0.09981896514364053
