cohort,seed,phase,shock_minus_control.body_state,shock_minus_control.body_u,shock_minus_control.obs_pe,shock_minus_control.alpha,shock_minus_control.g_norm,shock_minus_control.g_delta_norm,shock_minus_control.pred_trend_UP_minus_DOWN,shock_minus_control.q_UP_minus_DOWN,shock_minus_control.metric_eig_entropy,shock_minus_control.metric_cond,shock_minus_control.metric_top1_mass,shock_minus_control.metric_trace,shock_minus_control.M_g_eig_0,shock_minus_control.M_g_eig_1,shock_minus_control.M_g_eig_2,shock_minus_control.M_g_eig_3,shock_minus_control.M_g_eig_4,shock_minus_control.M_g_eig_5,shock_minus_control.M_g_eig_6,shock_minus_control.M_g_eig_7,shock_minus_control.M_g_eig_8,shock_minus_control.M_g_eig_9,shock_minus_control.M_g_eig_10,shock_minus_control.M_g_eig_11,shock_minus_control.M_g_eig_12,shock_minus_control.M_g_eig_13,shock_minus_control.M_g_eig_14,shock_minus_control.M_g_eig_15,shock_minus_control.M_g_eig_16,shock_minus_control.M_g_eig_17,shock_minus_control.M_g_eig_18,shock_minus_control.M_g_eig_19,shock_minus_control.PC1,shock_minus_control.PC2,shock_minus_control.PC3,shock_minus_control.g_0,shock_minus_control.g_1,shock_minus_control.g_2,shock_minus_control.g_3,shock_minus_control.g_4,shock_minus_control.g_5,shock_minus_control.g_6,shock_minus_control.g_7,shock_minus_control.g_8,shock_minus_control.g_9,shock_minus_control.g_10,shock_minus_control.g_11,shock_control_PC_centroid_dist,shock_control_g_centroid_dist,shock_control_metric_spectral_l2
full,0,pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,0,recovery,-0.33441879414021974,-1.4008755994120774,0.007291282746882646,0.06174186924472452,0.005159270763397394,0.016188172477995977,0.013870979193598032,0.02876498652622103,-0.029985153095121397,2.733046845461475,0.02547562700046356,0.9437722188420583,0.002207816485315567,-0.02175990827381613,-0.009740211069583893,0.01840489618480201,0.01043342277407644,-0.01110081747174263,-0.008357658609747909,0.009541356563568137,0.019129649549722627,0.01380997896194458,0.04213593825697903,0.0478698290884495,0.031079734116792657,0.04723321944475167,0.05537673979997637,0.03639025539159768,0.04453682079911225,0.07007394209504136,0.1936150439083576,0.3528921708464622,-0.47752027391293306,-0.01671550667718691,0.35500977699391595,0.29620552568230774,0.0778687640762655,0.25408850035164504,-0.04359070444479585,-0.2316609829722438,-0.27533521056175214,-0.04452985599637027,-0.15615962799056432,-0.19067753870040177,-0.2956563800573351,0.4283206704072654,0.12602177746593946,0.5952620951502184,0.7995111656578993,0.42711811639124453
full,0,shock,-0.19609272480010992,-0.8139884597191267,0.002962003077846021,0.011904055997729285,-0.0026674509048461026,0.034486959176138046,0.017517988011240965,0.0320891559123993,0.002373932274443824,0.21625078803892883,0.0035904914624213524,0.1954961739480492,0.003832371532917017,0.007958769053220738,0.019812348484993025,0.016959059238433882,0.02201049178838732,0.009423017501831055,0.017193381488323223,0.011801169812679313,0.006575027108192466,0.008035549521446195,0.013425236940383889,0.0030085563659667525,0.0036356389522552712,0.003846395015716597,0.006436008214950495,0.005113106966018632,-0.010566362738609225,-0.007724100351333529,0.0030226051807403786,0.05169790387153628,-0.05163431459310103,-0.004327228683239426,0.17667151912443202,0.17393416502163747,-0.044677380472421646,0.0957601683214307,-0.05677862465381622,-0.1516674772137776,-0.038702750205993564,-0.017460805177688554,-0.01614176034927367,-0.05539369410835207,-0.014727413654327393,0.07463363111019139,0.054919484257698103,0.1841131527656591,0.2856239372119297,0.07079611700478196
full,1,pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,1,recovery,-0.27381169162690644,-1.2528403140298856,-0.0031699647719506154,-0.028344475477933895,0.08693425655365017,0.006977127445861708,0.004703850951045752,0.011105952039361003,-0.18937674012219885,28.241893624095038,0.05362204121188918,6.222051145881416,0.003517138119786975,-0.04281048933044074,-0.04119645301252606,-0.03277980536222458,-0.0600532287731767,-0.062157332710921775,-0.01683125905692573,-0.019357446953654267,-0.010941219329833995,-0.00048609115183351204,0.03786790594458578,0.030102349817752838,0.11113554090261457,0.22110679522156718,0.21344449967145918,0.3429170429706573,0.46970716640353216,0.632020004838705,1.6248242244124413,2.822021803259849,-0.5109635029478453,0.00025195066309513514,-0.08723926671204257,0.04720619485015051,0.1474352136254311,0.2257027370622382,-0.5686743021011353,0.09437996484339228,-0.5918409333564341,-0.034676928582484834,0.1691250398755073,-0.11571709683630617,-0.17520115189254282,0.19547890659887343,0.43019066385459154,0.5183574582084493,1.0269609006203253,3.385783465823076
full,1,shock,-0.19693649262189866,-0.8139884597191269,-0.0006883622845634818,-0.10117328986525535,-0.003855884075164795,-0.04450048049911856,-0.007980613410472868,-0.016325314342975614,0.0012608557453677172,-0.8740767354367058,-0.0006257949998140777,0.04458526596426893,0.006486188620328903,0.000996646285057079,-0.0018754437565803306,0.004495698213577259,0.006516689062118497,7.0914626121521e-05,-0.0032098427414894437,0.00019463598728181042,0.0005920201539992842,-0.00745055079460144,0.0029856711626052856,0.003039643168449402,0.0005497813224791814,0.0029916673898697788,-0.000755274295806907,0.010769239068031289,0.018368238210678123,-0.026254469156265392,0.02841694355010982,-0.0023431301116940695,-0.027921066698378016,0.057654678441229956,-0.08737574340993715,-0.016112291812896695,0.004040861129760653,-0.07115370631217965,-0.12283644676208483,0.040620963275432576,-0.06402468085289004,0.0020723402500153476,0.07005045115947728,-0.008189071714878038,0.11941241025924687,0.010267630219459534,0.02158419638872147,0.10834282831907276,0.21444310709899148,0.046466355385134946
full,2,pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,2,recovery,-0.27462539747357373,-1.2267023652556377,0.0008420839760219677,-0.000108343176543714,-0.08475109934806824,0.013648262619972228,0.012724762549623847,0.02813122477382421,-0.055899119301823674,3.453599511210335,0.009041132395185197,1.2571216472424567,-0.0019601788371801376,-0.015301027242094284,-0.015497597306966787,0.00030055679380891487,-0.018201708607375577,-0.016431181505322467,-0.02196456044912337,0.004657300189137459,0.052610051631927446,0.035644101351499535,0.03637259304523466,0.029826492071151733,0.04282111227512353,0.03652491793036461,0.04970362707972531,0.06858418583869941,0.10311774685978892,0.11408166736364367,0.45499832630157466,0.3172352224588395,-0.004943077378311345,0.03070930462186916,-0.25801611263585356,0.13041279211174697,-0.13991816163616022,-0.16548906010284556,-0.03190166280837729,0.1523925666697323,-0.0771324217319489,-0.17171335332095622,0.08178496360778809,-0.03660097559913991,0.1134931352455169,-0.0004016854800283909,0.162387231644243,0.25988422380753357,0.4134322093888401,0.591173469256731
full,2,shock,-0.19799007922410972,-0.8139884597191267,0.00037763971486128815,-0.0005796596407890327,-0.02700575590133658,0.020419512689113614,0.0061409074813127545,0.02105833068490029,-0.009548566727905161,0.3640507198556566,-0.006342649598500755,0.18353962302207982,-0.005002906545996666,-0.01797685362398624,-0.0033493787050247192,-0.011106270551681535,-0.013525785505771604,-0.010084815323352814,-0.017168410122394562,-0.007017275691032443,0.0025957271456718556,0.015773122012615215,0.016322468221187547,0.010753306746482894,0.0018165111541748047,0.0078114181756973045,0.013301810622215249,0.04373936355113983,0.042154917120933555,0.045949673652648904,0.10583509206771846,-0.037282091379165605,-0.007892683821876578,-0.015421899310969378,-0.14946145529219668,0.038113224779954186,-0.07141149267554284,-0.11596233854070306,-0.04771724380552768,0.09392858892679223,-0.059160333871841386,-0.037059608101844776,0.009117650985717596,-0.02279682978987696,0.04632298238575458,-0.00305011123418808,0.19401663690805437,0.15046214159824756,0.2763562234879092,0.14276839694690407
full,3,pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,3,recovery,-0.19572986178100107,-1.0093789580702173,0.0009409868740476671,0.011025978717952974,-0.0541468143463133,0.015210619429126382,-0.06969113326631486,-0.12782876472920177,-0.6707751137185574,195.41008149302456,0.2816595394932799,32.5645526830107,0.0055804013274610015,0.0051665405742824105,0.0324691377580166,0.06417305786162614,0.17288367301225663,0.1458107028156519,0.20584120601415634,0.2551591988652944,0.2652757335454226,0.3289221245795488,0.36899106949567795,0.6509719036519528,0.6841342389583588,0.7890261873602867,0.8950535349547862,1.4305403716862202,1.4717684745788575,1.77114347666502,2.268551917374134,20.753089731931688,0.7662511527826481,-0.5474051183719695,-1.1593313418183473,-1.2271557772764936,-1.2167294576996937,1.250632301515725,-0.4089194856584073,1.248997517907992,0.46270943582057955,0.28475009207613766,0.04619273096323018,-0.8088004963472486,1.0913154905603735,-0.8951777218375354,0.3996712706983089,1.4936004662837035,3.0628675127201115,21.11825319149269
