cohort,seed,condition,phase,body_state,body_u,obs_pe,alpha,g_norm,g_delta_norm,pred_trend_UP_minus_DOWN,q_UP_minus_DOWN,metric_eig_entropy,metric_cond,metric_top1_mass,metric_trace,M_g_eig_0,M_g_eig_1,M_g_eig_2,M_g_eig_3,M_g_eig_4,M_g_eig_5,M_g_eig_6,M_g_eig_7,M_g_eig_8,M_g_eig_9,M_g_eig_10,M_g_eig_11,M_g_eig_12,M_g_eig_13,M_g_eig_14,M_g_eig_15,M_g_eig_16,M_g_eig_17,M_g_eig_18,M_g_eig_19,PC1,PC2,PC3,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
full,0,body_shock,pre,0.501348802447319,0.005419416777135043,0.015219602326396853,0.09477388126154741,2.7292008732755977,0.06678495107529064,0.1217714350670576,0.24213000362118084,2.9192599833293587,7.228386772200837,0.08796860428292035,9.825169091671706,0.11971823573112488,0.20052207534511884,0.27012367943922677,0.293323448797067,0.3291431412100792,0.3851575841506322,0.43415076086918514,0.4546473080913226,0.47829601864020027,0.49901739160219827,0.5125420033931732,0.5335884471734365,0.5509445210297902,0.5650526354710261,0.590095317363739,0.6196188300848007,0.6758276075124741,0.7009758949279785,0.7479225277900696,0.8645016630490621,0.5577225768711267,2.025944007846008,-0.7772970554412182,-0.3266518894582987,-0.11318545846734196,-0.20388887338340284,0.19338639305594066,0.11134719016651312,-1.4589525441328683,0.46196038712902615,0.42802579142153263,0.07412814164999873,1.9813485550383727,-0.6556477064887682,-0.46734490857149164
full,0,body_shock,recovery,0.32830134518444537,-0.7222379372277761,0.01708430146245519,0.15763206677511335,3.3643746376037598,0.02544730482622981,0.10312884282320738,0.18959908746182919,2.9081585860096766,9.313348727306954,0.10673989976186612,10.840510727185755,0.12449845196679235,0.2407033946365118,0.2987778138369322,0.3557232230901718,0.3856002055108547,0.4075375609099865,0.4221243590116501,0.45751658715307714,0.5004087172448635,0.5111776556819677,0.5478937216103077,0.5812656722962857,0.6030376762151718,0.6244324304163456,0.6457482859492302,0.6649773240089416,0.6871552638709545,0.7398054517805577,0.8846352659165859,1.1574916660785675,-0.33264648611547487,2.597162434439316,-0.21826009097254745,0.41962591502815483,-0.03745729218062479,0.14343631046358496,0.3084044705145061,-0.286397223547101,-2.5007936686277388,0.6146050505340099,0.06598492637858726,-0.2753394927829504,1.9595641285181045,0.08771917456761003,-0.5431747596710921
full,0,body_shock,shock,0.37259197533130645,-0.5370341405068529,0.011673947714734822,0.13815862983465194,3.346335506439209,0.05100483363494277,0.10693541020154954,0.19104617089033127,2.93909742618912,6.283101671746216,0.0802238561951937,9.97551065199077,0.1273679580539465,0.2638793855905533,0.2999524861574173,0.33518184870481493,0.39409343600273133,0.42273894846439364,0.4406168058514595,0.4631053596735001,0.49729244858026506,0.5080134630203247,0.5149332046508789,0.5312775671482086,0.5659030109643937,0.5742750108242035,0.5823509961366653,0.6166602373123169,0.6535313457250596,0.6677993267774582,0.7153645485639573,0.8011732637882233,0.3186809153898342,2.5293059225082692,-0.5629873903373828,0.1448576676659286,-0.22387799844145775,-0.09733760263770819,0.1894693747162819,-0.09047664443496614,-2.045418107509613,0.6377000689506531,0.35023241490125656,-0.09384308308362961,2.3767423391342164,-0.458598992228508,-0.6377340853214264
full,0,control,pre,0.501348802447319,0.005419416777135043,0.015219602326396853,0.09477388126154741,2.7292008732755977,0.06678495107529064,0.1217714350670576,0.24213000362118084,2.9192599833293587,7.228386772200837,0.08796860428292035,9.825169091671706,0.11971823573112488,0.20052207534511884,0.27012367943922677,0.293323448797067,0.3291431412100792,0.3851575841506322,0.43415076086918514,0.4546473080913226,0.47829601864020027,0.49901739160219827,0.5125420033931732,0.5335884471734365,0.5509445210297902,0.5650526354710261,0.590095317363739,0.6196188300848007,0.6758276075124741,0.7009758949279785,0.7479225277900696,0.8645016630490621,0.5577225768711267,2.025944007846008,-0.7772970554412182,-0.3266518894582987,-0.11318545846734196,-0.20388887338340284,0.19338639305594066,0.11134719016651312,-1.4589525441328683,0.46196038712902615,0.42802579142153263,0.07412814164999873,1.9813485550383727,-0.6556477064887682,-0.46734490857149164
full,0,control,recovery,0.6627201393246651,0.6786376621843012,0.009793018715572543,0.09589019753038883,3.3592153668403624,0.009259132348233834,0.08925786362960934,0.16083410093560815,2.938143739104798,6.580301881845479,0.08126427276140256,9.896738508343697,0.12229063548147678,0.26246330291032793,0.3085180249065161,0.3373183269053698,0.3751667827367783,0.4186383783817291,0.430482017621398,0.447975230589509,0.48127906769514084,0.49736767672002313,0.5057577833533287,0.5333958432078362,0.5719579420983791,0.5771992109715939,0.5903715461492538,0.6285870686173439,0.6426184430718422,0.6697315096855163,0.6910202220082283,0.8045994952321053,0.14487378779745821,2.613877941116503,-0.5732698679664634,0.12342038934584706,-0.1153260562568903,-0.1106521898880601,0.35199517495930194,-0.05473624057485722,-2.2254584580659866,0.6591349065303802,0.2221445543691516,-0.08466195408254862,2.2552205085754395,-0.3406014958396554,-0.6691965371370315
full,0,control,shock,0.5686847001314164,0.2769543192122737,0.008711944636888801,0.12625457383692265,3.349002957344055,0.016517874458804725,0.08941742219030857,0.15895701497793197,2.936723493914676,6.066850883707287,0.07663336473277235,9.780014478042721,0.12353558652102947,0.25592061653733256,0.2801401376724243,0.31822278946638105,0.372082944214344,0.4133159309625626,0.4234234243631363,0.45130418986082077,0.4907174214720726,0.4999779134988785,0.501507967710495,0.5282690107822419,0.5622673720121384,0.5704286158084869,0.5759149879217148,0.6115471303462983,0.6640977084636688,0.6755234271287918,0.7123419433832169,0.749475359916687,0.3703152299829352,2.5336331511915087,-0.7396589094618148,-0.02907649735570885,-0.1792006179690361,-0.19309777095913888,0.24624799937009811,0.06119083277881145,-2.0067153573036194,0.6551608741283417,0.36637417525053023,-0.03844938897527754,2.391469752788544,-0.5332326233386994,-0.6926535695791245
full,1,body_shock,pre,0.5282961800694466,0.11435420558722138,0.0182098030190294,0.07036327297488848,2.176884422947963,0.07884388550495108,0.046505893518527346,0.09633774384856224,2.7641414402703792,17.206800490620285,0.18210338266282408,13.790088672066728,0.15045544517536957,0.23150711531440418,0.2812051124870777,0.32451638728380205,0.36671664863824843,0.39515577057997386,0.420534951488177,0.4527790735165278,0.5036127050717671,0.5375300874312718,0.5784288843472799,0.6019850601752599,0.6216933935880661,0.6771335442860921,0.7198801308870315,0.7794595966736476,0.8517030090093612,1.1699256330728531,1.609242057800293,2.516624065240224,0.566260869531165,1.1111294001934826,-0.6303098718370215,0.472945410075287,0.8165754885179922,-0.73972392603755,0.738435183900098,-0.041959238199827574,-0.938669593942662,-0.3902143748632322,-0.5726412347517907,0.22097356989979744,0.9714513551443815,-0.501062358636409,-0.11594499548276266
full,1,body_shock,recovery,0.5030512016266584,0.012307009109388114,0.020036099714343437,0.22978097759187222,3.155025324225426,0.13899758039042354,0.05318770250305534,0.11209903471171856,2.4872139103457336,56.12647379027014,0.254678173369505,21.715543550159783,0.11686752904206514,0.17120989905670286,0.21176321543753146,0.2541798520833254,0.29444387946277856,0.3170957976952195,0.37490179724991324,0.4183752965182066,0.4707858730107546,0.5323541574180126,0.6009274177253247,0.6443171001970768,0.7830789841711521,0.947780653834343,1.021719854325056,1.2722649171948432,1.4971368670463563,1.9899547055363656,3.848753955960274,5.9476317971944805,0.11242563652474617,0.7789206839541893,0.4466725854718622,-0.1461562611046247,1.095010306686163,0.7862003893591464,1.5350187107920648,-0.6590648137032986,-1.0788514092564583,-0.32267079017183276,-0.8376202844083309,0.10877386915963143,-0.7655123976059258,-0.24295659780036657,0.2975403659045696
full,1,body_shock,shock,0.4528199091553688,-0.1946996567396553,0.01233669624198228,0.060815238207578656,3.109747815132141,0.036671212408691645,0.045669540762901306,0.09486261308193207,2.727320009742649,18.503963288490358,0.18133545717462501,15.29177800565958,0.14987976402044295,0.2234845131635666,0.28912000358104706,0.3041291356086731,0.3785640254616737,0.41397885233163834,0.4381671383976936,0.4559112533926964,0.5382859170436859,0.5741284877061844,0.6029612272977829,0.6274243235588074,0.6379985183477401,0.7261041730642319,0.7398900598287582,0.8501107156276703,0.982514014840126,1.6167633354663848,1.9690632939338684,2.773299252986908,1.034483050833426,1.4659484814822952,-0.6316709745655136,0.37022326290607455,1.3682688891887664,-0.9306582838296891,1.2957210421562195,-0.36189521849155426,-0.9673743039369583,-0.7192121714353561,-0.9244973480701446,0.5229513749480248,1.3252262473106384,-0.7735973417758941,-0.1996653586626053
full,1,control,pre,0.5282961800694466,0.11435420558722138,0.0182098030190294,0.07036327297488848,2.176884422947963,0.07884388550495108,0.046505893518527346,0.09633774384856224,2.7641414402703792,17.206800490620285,0.18210338266282408,13.790088672066728,0.15045544517536957,0.23150711531440418,0.2812051124870777,0.32451638728380205,0.36671664863824843,0.39515577057997386,0.420534951488177,0.4527790735165278,0.5036127050717671,0.5375300874312718,0.5784288843472799,0.6019850601752599,0.6216933935880661,0.6771335442860921,0.7198801308870315,0.7794595966736476,0.8517030090093612,1.1699256330728531,1.609242057800293,2.516624065240224,0.566260869531165,1.1111294001934826,-0.6303098718370215,0.472945410075287,0.8165754885179922,-0.73972392603755,0.738435183900098,-0.041959238199827574,-0.938669593942662,-0.3902143748632322,-0.5726412347517907,0.22097356989979744,0.9714513551443815,-0.501062358636409,-0.11594499548276266
