cohort,seed,did_residue.body_state,did_residue.body_u,did_residue.obs_pe,did_residue.alpha,did_residue.g_norm,did_residue.g_delta_norm,did_residue.pred_trend_UP_minus_DOWN,did_residue.q_UP_minus_DOWN,did_residue.metric_eig_entropy,did_residue.metric_cond,did_residue.metric_top1_mass,did_residue.metric_trace,did_residue.M_g_eig_0,did_residue.M_g_eig_1,did_residue.M_g_eig_2,did_residue.M_g_eig_3,did_residue.M_g_eig_4,did_residue.M_g_eig_5,did_residue.M_g_eig_6,did_residue.M_g_eig_7,did_residue.M_g_eig_8,did_residue.M_g_eig_9,did_residue.M_g_eig_10,did_residue.M_g_eig_11,did_residue.M_g_eig_12,did_residue.M_g_eig_13,did_residue.M_g_eig_14,did_residue.M_g_eig_15,did_residue.M_g_eig_16,did_residue.M_g_eig_17,did_residue.M_g_eig_18,did_residue.M_g_eig_19,did_residue.PC1,did_residue.PC2,did_residue.PC3,did_residue.g_0,did_residue.g_1,did_residue.g_2,did_residue.g_3,did_residue.g_4,did_residue.g_5,did_residue.g_6,did_residue.g_7,did_residue.g_8,did_residue.g_9,did_residue.g_10,did_residue.g_11,did_residue_PC_vector_dist,did_residue_g_vector_dist,did_residue_metric_spectral_l2
full,0,-0.33441879414021974,-1.4008755994120774,0.007291282746882646,0.06174186924472452,0.005159270763397394,0.016188172477995977,0.013870979193598032,0.02876498652622103,-0.029985153095121397,2.733046845461475,0.02547562700046356,0.9437722188420583,0.002207816485315567,-0.02175990827381613,-0.009740211069583893,0.01840489618480201,0.01043342277407644,-0.01110081747174263,-0.008357658609747909,0.009541356563568137,0.019129649549722627,0.01380997896194458,0.04213593825697903,0.0478698290884495,0.031079734116792657,0.04723321944475167,0.05537673979997637,0.03639025539159768,0.04453682079911225,0.07007394209504136,0.1936150439083576,0.3528921708464622,-0.47752027391293306,-0.01671550667718691,0.355009776993916,0.29620552568230774,0.0778687640762655,0.25408850035164504,-0.04359070444479585,-0.2316609829722438,-0.27533521056175214,-0.04452985599637027,-0.15615962799056432,-0.1906775387004018,-0.2956563800573351,0.4283206704072654,0.12602177746593946,0.5952620951502184,0.7995111656578993,0.42711811639124453
full,1,-0.27381169162690644,-1.2528403140298858,-0.0031699647719506154,-0.028344475477933895,0.08693425655365017,0.006977127445861708,0.004703850951045752,0.011105952039361003,-0.18937674012219885,28.24189362409504,0.05362204121188918,6.222051145881416,0.003517138119786975,-0.04281048933044074,-0.04119645301252606,-0.03277980536222458,-0.0600532287731767,-0.062157332710921775,-0.01683125905692573,-0.019357446953654267,-0.010941219329833995,-0.00048609115183351204,0.03786790594458578,0.030102349817752838,0.11113554090261457,0.22110679522156718,0.21344449967145918,0.3429170429706573,0.46970716640353216,0.632020004838705,1.6248242244124413,2.822021803259849,-0.5109635029478452,0.00025195066309513514,-0.08723926671204252,0.04720619485015043,0.1474352136254311,0.2257027370622382,-0.5686743021011353,0.09437996484339228,-0.5918409333564341,-0.034676928582484834,0.1691250398755073,-0.11571709683630617,-0.1752011518925427,0.1954789065988734,0.43019066385459154,0.5183574582084491,1.0269609006203253,3.385783465823076
full,2,-0.27462539747357373,-1.2267023652556377,0.0008420839760219677,-0.000108343176543714,-0.08475109934806824,0.013648262619972228,0.012724762549623847,0.02813122477382421,-0.055899119301823674,3.453599511210335,0.009041132395185197,1.2571216472424567,-0.0019601788371801376,-0.015301027242094284,-0.015497597306966787,0.00030055679380891487,-0.018201708607375577,-0.016431181505322467,-0.02196456044912337,0.004657300189137459,0.052610051631927446,0.035644101351499535,0.03637259304523466,0.029826492071151733,0.04282111227512353,0.03652491793036461,0.04970362707972531,0.06858418583869941,0.10311774685978892,0.11408166736364367,0.45499832630157466,0.3172352224588395,-0.004943077378311345,0.03070930462186916,-0.25801611263585356,0.130412792111747,-0.13991816163616022,-0.16548906010284553,-0.03190166280837729,0.15239256666973233,-0.0771324217319489,-0.17171335332095622,0.08178496360778809,-0.03660097559913991,0.11349313524551691,-0.0004016854800283909,0.162387231644243,0.25988422380753357,0.4134322093888401,0.591173469256731
full,3,-0.19572986178100107,-1.0093789580702173,0.0009409868740476671,0.011025978717952974,-0.0541468143463133,0.015210619429126382,-0.06969113326631486,-0.12782876472920177,-0.6707751137185574,195.41008149302456,0.28165953949327993,32.5645526830107,0.0055804013274610015,0.0051665405742824105,0.0324691377580166,0.06417305786162614,0.17288367301225663,0.1458107028156519,0.20584120601415634,0.2551591988652944,0.2652757335454226,0.3289221245795488,0.36899106949567795,0.6509719036519528,0.6841342389583588,0.7890261873602867,0.8950535349547862,1.4305403716862202,1.4717684745788575,1.77114347666502,2.2685519173741335,20.753089731931688,0.7662511527826481,-0.5474051183719695,-1.1593313418183473,-1.2271557772764936,-1.2167294576996937,1.250632301515725,-0.4089194856584073,1.2489975179079922,0.46270943582057955,0.28475009207613766,0.04619273096323018,-0.8088004963472485,1.0913154905603735,-0.8951777218375356,0.3996712706983089,1.4936004662837035,3.0628675127201115,21.11825319149269
full,4,-0.27801367044448844,-1.3089136603805935,0.0013673955298145295,-0.0003391182050108965,-0.02340025603771201,0.0009400984388776151,0.028731958894059065,0.06068946355953814,-0.053080218683454916,4.29639346497861,0.015813617944871156,1.0765439977869384,-0.00047923456877470294,-0.00741006173193455,-0.006613610684871679,-0.012725531682372115,-0.026176591217517864,-0.01846202276647091,-0.012115209177136377,-0.01254928410053252,-0.0018719084560870902,-0.009854461625218414,0.00774900019168856,0.0307356275618077,0.014207049459218912,0.02608601376414299,0.0607425302267075,0.08975915387272837,0.16526004374027248,0.17488893344998369,0.19584331437945357,0.41953024715185183,-0.0740833871864584,0.007788699812649069,0.1543297019503695,0.009209000598639244,0.009141104482114304,-0.13119982853531836,-0.012338318023830647,-0.07765481043606995,0.10157428691163656,0.2712354484945536,0.04360684290295469,-0.1403838449739851,-0.08853891640901557,0.1337471902370453,-0.0895571470260621,0.17136705927884785,0.40349396813870886,0.5362671117969259
full,5,-0.26304207369685173,-1.2541830026727387,0.0016047112469095744,0.0634238944388926,0.06646846532821682,0.00835172201041133,0.019300495833158494,0.03675701953470707,-0.04830076460486277,2.535283919493093,0.023768569494257458,1.3926112543791547,0.003993006609380262,0.04228287208825349,0.006623499840497982,0.011068406328558877,0.008274502307176579,0.021257121488451935,0.011850495636463121,0.013384819030761719,0.0244632326066494,0.019206685945391655,0.016569452732801415,0.019947491586208344,0.02356836199760437,0.034759617596864745,0.05018523037433631,0.07854683771729465,0.05949506685137751,0.10259954705834384,0.24576466381549844,0.5987703427672386,-0.22227027832092805,0.4281071310850828,-0.2678854911676328,-0.0802738995756953,-0.14170653263572605,0.05028123855590827,-0.26255345621611925,0.15207427367568016,-0.4192438527941702,-0.10332436114549637,0.45590933151543145,0.058944336324930124,0.33619484305381775,0.06525112017989165,-0.19087099274620414,0.5517630185948375,0.8201214833745989,0.6692490320137618
full,6,-0.26195435300469405,-1.254578053685415,0.0016182937964913432,0.0017696691676974269,0.0027874797582625455,0.001581573480507359,0.01687019770033657,0.029535560309886938,-0.0044026501757796765,0.39356856659528816,0.001250116332222384,0.1195824028924104,-0.0027533048763871137,-0.00618402287364006,0.006825949996709824,-0.0023167524486780167,-0.0037019316107034794,-0.006720648333430279,0.0032566688954829837,-0.0015596754848957173,0.010641726851463307,0.004233132302761011,0.0003716185688972251,0.0026763588190078513,0.0033183261752128823,0.005004350841045446,0.009455011039972372,0.004043866693973497,0.02646541297435756,0.002409115433692932,0.03845129534602165,0.025665904581546828,0.01994788190236356,-0.01411529720847804,-0.019311560173195852,-0.09959919843822712,-0.0020610868930819315,0.0340495737385936,0.08042251053557267,-0.007630807410896525,0.05996010945236775,-0.09281575040949974,0.02269602504093199,0.021493801102042187,-0.059429201856255526,0.0013773906975984573,0.015030913054943085,0.03114636357582175,0.1858934054151639,0.057388396129007695
full,7,-0.2663772314786911,-1.254510370183875,5.087121098767966e-05,-0.0021066995337605463,-0.05929566323757163,0.0034635320247616633,0.04052842329256237,0.07353633092716334,-0.013190673482083692,1.684712075857024,0.011873736257633175,0.004459598939865472,-0.012118765618652105,-0.024424443580210203,0.009617684781551394,0.001937528699636426,-0.012082030624151197,-0.016701117157936096,-0.01263422369956968,-0.0180943813174963,-0.01976730637252333,-0.01858484335243704,-0.015396987646818072,-0.015392318367958069,0.0004888467490672399,-0.006374990940093972,-0.0039288312196731345,-0.002672805637121134,0.002251509577035904,0.010250137001275972,0.03600944355130187,0.12207749411463731,-0.04101374230743282,0.22048718227460207,-0.02299009654357681,0.10865649841725827,-0.019062047847546615,0.012764452397823367,-0.07903783600777387,-0.017468871921300866,-0.15257042795419684,-0.040413067466579376,0.4304584100842475,0.0157465860247612,-0.04528843695297838,-0.029615549743175595,-0.10091860005923081,0.22544460327214993,0.492392836063321,0.13905008667699312
full,8,-0.2328010592609644,-0.9724115724845044,0.004925576067762449,0.01080059874802828,-0.053679972887039185,0.01875600775820204,-0.044652028148993855,-0.09089110204949977,0.03733522601269934,6.323027038057376,-0.03204980344824637,1.2521850694902241,-0.006358719896525145,-0.018732436746358855,-0.017731398157775385,-0.04334781002253296,-0.028260274976491917,-0.004497525095939592,-0.014356828480958927,0.0004908014088869095,-0.003861781954765331,0.03645248562097547,0.027084064483642534,0.02731986045837409,0.013534027338027999,-0.1047807537019253,0.21047669574618333,0.21264327839016928,0.32457355931401266,0.25688778012990965,0.42213037610054016,-0.037480330467223766,-0.4752179554237641,-0.40515437169730084,0.21885073564035307,0.2121334425944951,0.03010445460677147,-0.053121283650398254,0.02728397548198702,-0.027694259583949776,-0.13016971163451674,0.008672393113374699,-0.9118077165912837,0.14326336568919942,-0.17637072838842868,0.48079485818743706,0.39345390833914284,0.6617233670899804,1.1559643201480128,0.6767950630872073
full,9,-0.3303953336551786,-1.4202841704065619,0.003407597696059382,0.007338765822350976,-0.04037687778472909,0.004567859356757242,-0.015015347395092249,-0.013611967395991104,0.026144797753884674,-0.8127783266733974,0.002350428164358223,0.35587438754737377,0.023012075386941444,0.03129447083920239,0.024629362858831882,0.0496424345299602,0.058717703819274936,0.06198078654706479,0.042655302956700336,0.03951929025352002,0.048811325058341015,0.020251840353012085,-0.012492621690034955,0.015486585348844506,0.021993405371904418,-0.013061048090457827,-0.005351620167493798,0.008686578273773171,-0.03885191753506656,-0.014834918826818422,-0.06720494106411934,0.06099029332399364,0.06676270506566787,-0.32990515742736437,-0.0968616433122802,-0.08366699954494827,-0.15855108783580357,0.10690023154020345,-0.15259974598884585,0.17418539711507036,0.2361577418341767,-0.09560558376833794,-0.2764017466455698,0.13665660135447977,0.18220747858285913,-0.04889892684295774,0.00020332653075458285,0.3502525512112864,0.5410804740258982,0.17077282630003676
