valence_name,zone3,n,body_state_mean,body_u_mean,body_delta_mean,body_u_delta_mean,body_drive_mean,body_pe_mean,body_loss_mean,body_loss_tendency_mean,tendency_target_mean,tendency_pred_mean,obs_pe_mean,alpha_mean,g_norm_mean
bottom,BL,5,0.4563899576663971,-0.17493735991554965,-0.003958088159561157,-0.015970972694822283,0.5436100423336029,6.1408146510189e-05,0.0002139131880539935,0.00025511967917282166,-0.05126381783833682,-0.041098421812057494,0.10542699992656708,0.030030053853988648,3.337418222427368
bottom,BM,29,0.49183767828448066,-0.017038972271227953,-0.003885984420776367,-0.016263201217937475,0.5081623217155193,0.00031315868313711313,0.0006230517510316688,0.0005671572119459207,-0.05440998333732475,-0.04202404046623871,0.06599611332961197,0.03003419781553334,3.317566863421736
bottom,BR,213,0.42707335704089333,-0.31320815679925,-0.0041586365638204585,-0.017765869638993768,0.5729266429591067,9.984645605011416e-05,0.0003432572833633099,0.00047375018956182,-0.07824248286832809,-0.07455470131386614,0.010009858323842671,0.03003108389500721,3.423609806338386
mid,ML,103,0.5122651237885929,0.07749871785577449,-0.0007214265540965553,-0.00311619874909232,0.4877348762114071,0.0004844141841489285,0.0007895187608950949,0.0005684337044312909,-0.011465544633398592,-0.0119805592428712,0.11434752884709719,0.030111939872352823,3.3669559353763616
mid,MM,1533,0.49848825732866925,-0.003356368505516882,-4.654586198511889e-06,-7.712413990199323e-05,0.5015117426713308,0.0005716560706861984,0.0009099251525483362,0.0006301524233571927,0.002341208737654098,0.01085010534352869,0.05696843357468771,0.030100449219841778,3.370105967674081
mid,MR,1817,0.5762492414680758,0.3617035257079647,-2.493479288601915e-05,-0.0005587734222501067,0.4237507585319242,0.00018935483777668944,0.00041109226005869696,0.00042742761086322234,-0.0007538889531255729,-0.0010274636733971524,0.013585613102444032,0.030027916438643856,3.3510724197853774
top,TL,134,0.7000368815749439,0.9226602022129902,0.0025708059321588547,0.012562782951354197,0.29996311842505613,6.347944609446464e-05,0.00019093603727262588,0.00024195358980845204,0.05747808939562928,0.05799433511139741,0.11789346256974473,0.030038298844401515,3.381042704653384
top,TM,1180,0.6155885241673155,0.5205513627933296,0.003258239364219924,0.014547751535157005,0.3844114758326846,0.000162014254670896,0.0002964646225974567,0.00024061310106053346,0.06781667908739764,0.06378484065091963,0.05265608046113087,0.030065082796549392,3.382440452858553
top,TR,10906,0.7505168214716343,1.1919884570583987,0.0022894784155054614,0.012454201983847677,0.24948317852836563,5.7316628068773826e-05,0.0001339814046726108,0.0001426749407288944,0.057658584172048825,0.05739823150553196,0.0095761937738259,0.03002731049392019,3.377706150625597
