cohort,seed,sample_id,g_mode,episode,t,x,y,zone3,valence_name,body_state,body_u,true_trend_UP_minus_DOWN,pred_trend_UP,pred_trend_DOWN,pred_trend_STAY,pred_trend_UP_minus_DOWN,pred_body_UP_minus_DOWN,q_UP,q_DOWN,q_LEFT,q_RIGHT,q_STAY,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,g_norm_mode,g_norm_actual
no_conative,23,0,actual,149,197,14,0,TR,top,0.8077880144119263,1.4357006581740441,0.029043715447187424,0.04311348497867584,0.024353452026844025,0.04797842353582382,0.018760032951831818,0.0011048316955566406,0.20593079924583435,0.17023463547229767,0.20474223792552948,0.20259113609790802,0.2165011763572693,0.03569616377353668,1.6062818765640259,0.0,0.0,0.0,3.4870595932006836,3.4870595932006836
no_conative,23,0,zero,149,197,14,0,TR,top,0.8077880144119263,1.4357006581740441,0.029043715447187424,0.04331927001476288,0.0033348090946674347,0.03968081623315811,0.039984460920095444,0.004805326461791992,0.22420911490917206,0.14852020144462585,0.20560142397880554,0.2057986855506897,0.21587055921554565,0.0756889134645462,1.5999729633331299,0.021224427968263626,0.03999274969100952,0.002309185918420553,0.0,3.4870595932006836
no_conative,23,0,mean,149,197,14,0,TR,top,0.8077880144119263,1.4357006581740441,0.029043715447187424,0.05312267690896988,0.03450743108987808,0.059542328119277954,0.018615245819091797,9.5367431640625e-06,0.20460736751556396,0.16985012590885162,0.20476765930652618,0.2021658718585968,0.2186090052127838,0.03475724160671234,1.6060808897018433,0.00014478713274002075,0.0009389221668243408,1.5273690223693848e-05,3.502666711807251,3.4870595932006836
no_conative,23,0,shuffled,149,197,14,0,TR,top,0.8077880144119263,1.4357006581740441,0.029043715447187424,0.04795164614915848,0.03215004876255989,0.05465427786111832,0.015801597386598587,-0.00012350082397460938,0.20280946791172028,0.17321953177452087,0.20441965758800507,0.20219092071056366,0.21736042201519012,0.029589936137199402,1.6067464351654053,0.0029584355652332306,0.00610622763633728,5.2070245146751404e-05,3.5146703720092773,3.4870595932006836
no_conative,23,0,random,149,197,14,0,TR,top,0.8077880144119263,1.4357006581740441,0.029043715447187424,0.06042948365211487,0.04000850021839142,0.0671214610338211,0.02042098343372345,-0.0003567934036254883,0.20537973940372467,0.16759368777275085,0.20472635328769684,0.2021944671869278,0.22010575234889984,0.037786051630973816,1.60554039478302,0.001660950481891632,0.002089887857437134,5.142786540091038e-05,3.5523359775543213,3.4870595932006836
no_conative,23,1,actual,179,166,12,0,TR,top,0.901052713394165,2.208976517654507,0.029043717309832573,0.040760740637779236,0.015687912702560425,0.04251816123723984,0.02507282793521881,0.002167820930480957,0.21183015406131744,0.16396236419677734,0.20535394549369812,0.2033485472202301,0.21550504863262177,0.0478677898645401,1.6049482822418213,0.0,0.0,0.0,3.5599122047424316,3.5599122047424316
no_conative,23,1,zero,179,166,12,0,TR,top,0.901052713394165,2.208976517654507,0.029043717309832573,0.03568677976727486,-0.005141403526067734,0.030042801052331924,0.04082818329334259,0.004732191562652588,0.226337268948555,0.14869748055934906,0.2053901106119156,0.20601414144039154,0.21356098353862762,0.07763978838920593,1.5999360084533691,0.01575535535812378,0.029771998524665833,0.0012594466097652912,0.0,3.5599122047424316
no_conative,23,1,mean,179,166,12,0,TR,top,0.901052713394165,2.208976517654507,0.029043717309832573,0.045089952647686005,0.025848940014839172,0.049953944981098175,0.019241012632846832,0.0007199645042419434,0.20610858500003815,0.16972729563713074,0.20484519004821777,0.20261429250240326,0.21670463681221008,0.03638128936290741,1.6061750650405884,0.005831815302371979,0.01148650050163269,0.00018308451399207115,3.502666711807251,3.5599122047424316
no_conative,23,1,shuffled,179,166,12,0,TR,top,0.901052713394165,2.208976517654507,0.029043717309832573,0.04053743928670883,0.022816237062215805,0.04519625008106232,0.017721202224493027,0.0009050369262695312,0.2054380625486374,0.17168648540973663,0.20469169318675995,0.2026771456003189,0.21550661325454712,0.03375157713890076,1.6065998077392578,0.007351625710725784,0.014116212725639343,0.0002771137224044651,3.505171060562134,3.5599122047424316
no_conative,23,1,random,179,166,12,0,TR,top,0.901052713394165,2.208976517654507,0.029043717309832573,0.0463457927107811,0.028060302138328552,0.051881954073905945,0.018285490572452545,0.0004037022590637207,0.20506274700164795,0.17062219977378845,0.2047615647315979,0.20240460336208344,0.21714890003204346,0.0344405472278595,1.6063168048858643,0.006787337362766266,0.013427242636680603,0.0002515168162062764,3.502201795578003,3.5599122047424316
no_conative,23,2,actual,169,162,14,0,TR,top,0.8378401398658752,1.6422444943905496,0.029043717309832573,0.051597706973552704,0.026122383773326874,0.05487869679927826,0.02547532320022583,0.001404404640197754,0.21079778671264648,0.1628182977437973,0.2053261697292328,0.20319810509681702,0.2178596705198288,0.04797948896884918,1.604588270187378,0.0,0.0,0.0,3.568195343017578,3.568195343017578
no_conative,23,2,zero,169,162,14,0,TR,top,0.8378401398658752,1.6422444943905496,0.029043717309832573,0.03977590054273605,-0.002269888296723366,0.03458864241838455,0.04204578697681427,0.00518190860748291,0.22670364379882812,0.14697034657001495,0.2055373638868332,0.20594273507595062,0.2148459404706955,0.07973329722881317,1.5992783308029175,0.01657046377658844,0.03175380825996399,0.00143634551204741,0.0,3.568195343017578
no_conative,23,2,mean,169,162,14,0,TR,top,0.8378401398658752,1.6422444943905496,0.029043717309832573,0.049704067409038544,0.029770825058221817,0.055141083896160126,0.019933242350816727,0.0005761384963989258,0.20607870817184448,0.16859260201454163,0.20490866899490356,0.20246177911758423,0.21795830130577087,0.037486106157302856,1.605882167816162,0.005542080849409103,0.010493382811546326,0.0001554322661831975,3.502666711807251,3.568195343017578
no_conative,23,2,shuffled,169,162,14,0,TR,top,0.8378401398658752,1.6422444943905496,0.029043717309832573,0.04247976094484329,0.023473426699638367,0.047007493674755096,0.019006334245204926,0.0009687542915344238,0.20624053478240967,0.17012909054756165,0.2048145979642868,0.20273073017597198,0.21608495712280273,0.03611144423484802,1.6062843799591064,0.0064689889550209045,0.01186804473400116,0.000217934837564826,3.507160186767578,3.568195343017578
