cohort,seed,history,y_zone,body_level,pred_trend_UP_minus_DOWN,body_pred_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,metric_eig_entropy,metric_cond,metric_top1_mass,metric_trace,g_norm
full,0,body_shock,B,high,0.14299422005812326,0.01193159818649292,0.2954662839571635,1.4985840320587158,2.911869525909424,9.079440752665201,0.1044984981417656,10.730784098307291,3.350934902826945
full,0,body_shock,B,low,0.10934564967950185,0.0069548288981119795,0.23901207745075226,1.5344595909118652,2.9134602546691895,8.940438270568848,0.10302423934141795,10.64064852396647,3.3442275524139404
full,0,body_shock,B,mid,0.12174024184544881,0.009983658790588379,0.2663964529832204,1.5171564817428589,2.9127403100331626,9.002887725830078,0.10375311225652695,10.687586784362793,3.3480377197265625
full,0,body_shock,M,high,0.11537820100784302,0.007628798484802246,0.20682534078756967,1.5511386394500732,2.9114062786102295,9.117498397827148,0.10493659973144531,10.741497993469238,3.351057449976603
full,0,body_shock,M,low,0.13499743988116583,0.008965725700060526,0.2679654657840729,1.5166141986846924,2.9139761130015054,8.895026524861654,0.10259233911832173,10.615962982177734,3.342388153076172
full,0,body_shock,M,mid,0.14385002354780832,0.011834383010864258,0.2742364803949992,1.5130018790562947,2.912625312805176,9.014599482218424,0.10387121140956879,10.683900833129883,3.347472826639811
full,0,body_shock,T,high,0.04492238909006119,0.00014919042587280273,0.08178647359212239,1.5980594555536907,2.911198298136393,9.13373597462972,0.10512935866912206,10.740376790364584,3.3512680530548096
full,0,body_shock,T,low,0.09149522334337234,0.008645261327425638,0.16455868383248648,1.570780595143636,2.9134132067362466,8.946466763814291,0.10316088298956554,10.629748980204264,3.343416929244995
full,0,body_shock,T,mid,0.058246838549772896,0.004789074261983235,0.10587115585803986,1.591237982114156,2.9126354853312173,9.01694424947103,0.10391995807488759,10.676872889200846,3.3472726345062256
full,0,control,B,high,0.12993099043766657,0.012184043725331625,0.280298391977946,1.508234937985738,2.939276138941447,6.517718315124512,0.08056409160296123,9.8808962504069,3.356752792994181
full,0,control,B,low,0.08802467336257298,0.004862576723098755,0.19060694177945456,1.5611430803934734,2.938936630884806,6.451749801635742,0.07961651682853699,9.836749712626139,3.3555009365081787
full,0,control,B,mid,0.09889601916074753,0.008408804734547934,0.2163088470697403,1.5478287140528362,2.939173857371012,6.478708902994792,0.0800611029068629,9.859072049458822,3.3565630118052163
full,0,control,M,high,0.1310011943181356,0.009527504444122314,0.24445288876692453,1.531872272491455,2.9391206900278726,6.544403076171875,0.08092000335454941,9.885441780090332,3.356853167215983
full,0,control,M,low,0.13552626967430115,0.008396178483963013,0.27971946199735004,1.5092825492223103,2.9388457934061685,6.437013149261475,0.07942211627960205,9.825833320617676,3.3548902670542398
full,0,control,M,mid,0.1479757378498713,0.012038310368855795,0.29907867312431335,1.4959866205851238,2.939053217569987,6.493319988250732,0.08022471765677135,9.858340899149576,3.356410026550293
full,0,control,T,high,0.05954433480898539,0.003053128719329834,0.10789901514848073,1.5908798376719158,2.938955783843994,6.5655442873636884,0.08118249227603276,9.88715934753418,3.3570872942606607
full,0,control,T,low,0.11582121749718984,0.00910380482673645,0.20839816331863403,1.550726056098938,2.938711484273275,6.4731729825337725,0.07989223549763362,9.83380381266276,3.3553311030069985
full,0,control,T,mid,0.07867288341124852,0.006062606970469157,0.13998069862524667,1.579511324564616,2.938911040623983,6.512742678324382,0.08045011510451634,9.85934066772461,3.3565379778544107
full,1,body_shock,B,high,0.018150577942530315,0.00371628999710083,0.03783772885799408,1.6075398524602253,2.462186892827352,49.50481923421224,0.2609488566716512,19.58452033996582,2.820486386617025
full,1,body_shock,B,low,0.00786687433719635,0.008112172285715738,0.018967856963475544,1.6083180109659831,2.481416702270508,46.868910471598305,0.2540270189444224,19.148579279581707,2.8143537839253745
full,1,body_shock,B,mid,0.009750862916310629,0.006168762842814128,0.021985212961832683,1.6085244417190552,2.462016741434733,49.58268737792969,0.2604019343852997,19.653839747111004,2.822744131088257
full,1,body_shock,M,high,0.028899202744166057,0.003407716751098633,0.05963868896166483,1.6048223574956257,2.458142360051473,50.05828348795573,0.2626666525999705,19.662472407023113,2.824801206588745
full,1,body_shock,M,low,0.011505767703056335,0.008109529813130697,0.026002779603004456,1.6079927285512288,2.484187682469686,46.48553721110026,0.25374337037404376,19.04179509480794,2.818327267964681
full,1,body_shock,M,mid,0.01760229965051015,0.006054043769836426,0.037537142634391785,1.6074810425440471,2.4674007097880044,48.76261901855469,0.25936272740364075,19.447837829589844,2.8273134231567383
full,1,body_shock,T,high,0.05206521352132162,0.00334248940149943,0.10789791742960612,1.59428071975708,2.4541804790496826,50.602579752604164,0.2645360430081685,19.728442509969074,2.8291271527608237
full,1,body_shock,T,low,0.02390703558921814,0.008061269919077555,0.050720006227493286,1.6059768597284954,2.471621116002401,48.1730588277181,0.2578855057557424,19.358174006144207,2.819204330444336
full,1,body_shock,T,mid,0.03803702692190806,0.00596455732981364,0.0795477827390035,1.6013472080230713,2.4598962465922036,49.84037653605143,0.26199089487393695,19.643630981445312,2.8278021017710366
full,1,control,B,high,0.01243083675702413,0.005001227060953776,0.02688806752363841,1.6083803574244182,2.6789700190226235,27.803368886311848,0.19638159374396005,15.473841667175293,2.9093054135640464
full,1,control,B,low,0.007538060347239177,0.006290435791015625,0.01734931270281474,1.608203411102295,2.68586794535319,27.17937978108724,0.19240830838680267,15.530694643656412,2.8969646294911704
full,1,control,B,mid,0.006950130065282186,0.007536749045054118,0.017033060391743977,1.6085594097773235,2.6762762864430747,28.014842351277668,0.19615737100442251,15.586698532104492,2.909106890360514
full,1,control,M,high,0.020536035299301147,0.00458065668741862,0.043015167117118835,1.607017993927002,2.6777294476826987,27.905413309733074,0.19704494873682657,15.475522677103678,2.9090123971303306
full,1,control,M,low,0.010177860657374064,0.0050925612449646,0.021808902422587078,1.6080035765965779,2.689315398534139,26.865951538085938,0.1915831615527471,15.48059050242106,2.891084671020508
full,1,control,M,mid,0.011864081025123596,0.0073989033699035645,0.026562561591466267,1.6081463098526,2.681355635325114,27.57895851135254,0.1949750930070877,15.506617546081543,2.9055234591166177
full,1,control,T,high,0.04121974607308706,0.004440128803253174,0.08567298452059428,1.5999650955200195,2.6768569946289062,27.96695899963379,0.1976489375034968,15.469075202941895,2.9077000617980957
full,1,control,T,low,0.017472078402837116,0.005457202593485515,0.03622079888979594,1.6072175900141399,2.6833066940307617,27.370547612508137,0.19367430110772452,15.546506881713867,2.886224110921224
full,1,control,T,mid,0.025255049268404644,0.007298409938812256,0.05338180561860403,1.6057127316792805,2.677938461303711,27.836708704630535,0.19603367646535239,15.55266539255778,2.8996291955312095
full,2,body_shock,B,high,0.09215541183948517,0.015168706576029459,0.19336524605751038,1.5623172124226887,2.786039431889852,16.748376210530598,0.15528210997581482,11.017622629801432,3.1407293478647866
full,2,body_shock,B,low,0.04759614169597626,-0.0022723724444707236,0.09379137555758159,1.5983796119689941,2.786230723063151,16.7416566212972,0.15527441600958505,11.014555295308432,3.1405744552612305
full,2,body_shock,B,mid,0.05752776190638542,-0.000885307788848877,0.11406795680522919,1.5930907328923543,2.7863527139027915,16.734221776326496,0.1552548756202062,11.011683464050293,3.1403505007425943
full,2,body_shock,M,high,0.1302538961172104,0.020987013975779217,0.26069215933481854,1.523481051127116,2.7863656679789224,16.730748494466145,0.15524369478225708,11.010275840759277,3.1405797004699707
full,2,body_shock,M,low,0.1003123124440511,0.005144764979680379,0.20721380412578583,1.5550177892049153,2.7865657806396484,16.725018819173176,0.15524392823378244,11.007345199584961,3.140400012334188
full,2,body_shock,M,mid,0.10279471675554912,0.008147219816843668,0.21265743176142374,1.5521519978841145,2.7863577206929526,16.734389623006184,0.15525856614112854,11.011532147725424,3.1404364903767905
full,2,body_shock,T,high,0.08025105545918147,0.00929806629816691,0.14330072700977325,1.578014334042867,2.786564509073893,16.72055180867513,0.15522296726703644,11.005913734436035,3.1405938466389975
full,2,body_shock,T,low,0.1138706107934316,0.009380310773849487,0.2170091172059377,1.5491377115249634,2.786695639292399,16.71739896138509,0.15522674222787222,11.004214604695639,3.140483538309733
full,2,body_shock,T,mid,0.10839619487524033,0.014227290948232016,0.19823319713274637,1.555198073387146,2.786677598953247,16.716955184936523,0.15522062281767526,11.004306157430014,3.140507936477661
full,2,control,B,high,0.08962886532147725,0.016828636328379314,0.1891199598709742,1.5643486976623535,2.8173982302347818,15.110224723815918,0.1538106550772985,10.300745964050293,3.2506397565205893
full,2,control,B,low,0.047123084465662636,-0.003403623898824056,0.09174209336439769,1.5988298257191975,2.8174872398376465,15.106627146402994,0.15379067758719125,10.299933751424154,3.250563700993856
full,2,control,B,mid,0.056470323354005814,0.00038617849349975586,0.11199024319648743,1.5936511357625325,2.8175319035847983,15.104252497355143,0.15380807220935822,10.298911094665527,3.2504852612813315
full,2,control,M,high,0.12764763832092285,0.019405663013458252,0.25606198112169903,1.52655033270518,2.8174873987833657,15.106212615966797,0.15383891264597574,10.298846880594889,3.2506407101949057
full,2,control,M,low,0.10226722558339436,0.005340367555618286,0.2112397402524948,1.5528431336085002,2.8175865014394126,15.102544466654459,0.15381289025147757,10.298094749450684,3.250532786051432
