cohort,seed,probe_id,x,y,x_zone,y_zone,body_level,body_state,shock_minus_control.pred_trend_UP_minus_DOWN,shock_minus_control.body_pred_UP_minus_DOWN,shock_minus_control.q_UP_minus_DOWN,shock_minus_control.q_entropy,shock_minus_control.metric_eig_entropy,shock_minus_control.metric_cond,shock_minus_control.metric_top1_mass,shock_minus_control.metric_trace,shock_minus_control.g_norm,shock_minus_control.metric_eig_0,shock_minus_control.metric_eig_1,shock_minus_control.metric_eig_2,shock_minus_control.metric_eig_3,shock_minus_control.metric_eig_4,shock_minus_control.metric_eig_5,shock_minus_control.metric_eig_6,shock_minus_control.metric_eig_7,shock_minus_control.metric_eig_8,shock_minus_control.metric_eig_9,shock_minus_control.metric_eig_10,shock_minus_control.metric_eig_11,shock_minus_control.metric_eig_12,shock_minus_control.metric_eig_13,shock_minus_control.metric_eig_14,shock_minus_control.metric_eig_15,shock_minus_control.metric_eig_16,shock_minus_control.metric_eig_17,shock_minus_control.metric_eig_18,shock_minus_control.metric_eig_19,s_distance_shock_control,g_distance_shock_control
full,0,10,7,2,M,T,mid,0.5,-0.0218568816781044,-0.0015819966793060303,-0.03642137348651886,0.013410091400146484,-0.025821924209594727,2.4783411026000977,0.02322296053171158,0.8005666732788086,-0.009992122650146484,0.001157119870185852,-0.021588802337646484,-0.006238609552383423,0.017087876796722412,0.008825868368148804,-0.013359397649765015,-0.010332942008972168,0.011371344327926636,0.017406553030014038,0.009078651666641235,0.03635293245315552,0.041562557220458984,0.0277748703956604,0.03985565900802612,0.04085707664489746,0.028950095176696777,0.046042680740356445,0.03937804698944092,0.17468249797821045,0.311703085899353,0.26711150435673997,0.7264221725832121
full,0,11,7,2,M,T,high,0.8,-0.015355303883552551,-0.002955794334411621,-0.0272911936044693,0.007524967193603516,-0.02729630470275879,2.5350451469421387,0.023621752858161926,0.8339805603027344,-0.006138801574707031,0.0012310221791267395,-0.021302536129951477,-0.012358933687210083,0.0181313157081604,0.01003459095954895,-0.015207469463348389,-0.012805283069610596,0.010304868221282959,0.019031822681427002,0.00992661714553833,0.037258267402648926,0.042782604694366455,0.027529418468475342,0.04370522499084473,0.04535633325576782,0.03136724233627319,0.04764890670776367,0.05254638195037842,0.17785286903381348,0.3209465742111206,0.26228251251115403,0.7352003773415544
full,0,12,7,7,M,M,low,0.25,0.0059389472007751465,0.000822797417640686,-0.0011802911758422852,0.0021344423294067383,-0.02426457405090332,2.4259543418884277,0.022894248366355896,0.7724685668945312,-0.013273477554321289,0.0011309832334518433,-0.021669894456863403,0.0020106732845306396,0.016035467386245728,0.007016420364379883,-0.01123511791229248,-0.007934391498565674,0.012691974639892578,0.014026641845703125,0.009202927350997925,0.03555172681808472,0.04132169485092163,0.02847081422805786,0.0364726185798645,0.037147581577301025,0.026119530200958252,0.04288947582244873,0.028414487838745117,0.1712234616279602,0.3035825490951538,0.2709270092913544,0.7299990506662192
full,0,13,7,7,M,M,mid,0.5,0.002763882279396057,0.00015556812286376953,-0.012262582778930664,0.009922623634338379,-0.02582263946533203,2.486255168914795,0.023331113159656525,0.8043851852416992,-0.009654045104980469,0.0011803284287452698,-0.021593168377876282,-0.005038440227508545,0.016781389713287354,0.0086650550365448,-0.013386964797973633,-0.0103854238986969,0.011259406805038452,0.016814082860946655,0.009456783533096313,0.036387860774993896,0.04236084222793579,0.028128981590270996,0.04013645648956299,0.04137784242630005,0.028715193271636963,0.045218467712402344,0.039593398571014404,0.17568254470825195,0.3130287528038025,0.25508491086499213,0.7348019866257828
full,0,14,7,7,M,M,high,0.8,-0.01200731098651886,-0.0017254948616027832,-0.035354867577552795,0.01974332332611084,-0.027518272399902344,2.5537567138671875,0.02377038449048996,0.8396568298339844,-0.005987644195556641,0.0012232959270477295,-0.021552935242652893,-0.011787086725234985,0.01750662922859192,0.010204225778579712,-0.015511631965637207,-0.01310032606124878,0.010291457176208496,0.01849585771560669,0.010284572839736938,0.03759247064590454,0.04332256317138672,0.027866363525390625,0.04392564296722412,0.04559427499771118,0.03161734342575073,0.04769110679626465,0.05338871479034424,0.1795828938484192,0.32302165031433105,0.26268129712770943,0.7418879209412066
full,0,15,7,12,M,B,low,0.25,0.02105671912431717,0.0018943697214126587,0.04670242965221405,-0.027850985527038574,-0.025020599365234375,2.464381217956543,0.023178547620773315,0.7877273559570312,-0.012034416198730469,0.0011167898774147034,-0.021808341145515442,-0.0004711151123046875,0.015869438648223877,0.007775157690048218,-0.012410998344421387,-0.009035736322402954,0.01179233193397522,0.015207082033157349,0.009360730648040771,0.03585299849510193,0.04205721616744995,0.02830183506011963,0.03820735216140747,0.03923618793487549,0.027276694774627686,0.04337334632873535,0.03278827667236328,0.17452353239059448,0.3087154030799866,0.24857680429324194,0.7370435865216565
full,0,16,7,12,M,B,mid,0.5,0.023041576147079468,0.0012740790843963623,0.05054368078708649,-0.03161275386810303,-0.026239871978759766,2.5112452507019043,0.023509681224822998,0.8127756118774414,-0.009349822998046875,0.0011659115552902222,-0.02196606993675232,-0.005424559116363525,0.016235440969467163,0.009251803159713745,-0.013923496007919312,-0.01092219352722168,0.011131078004837036,0.01663103699684143,0.00988951325416565,0.03699690103530884,0.04266774654388428,0.028420567512512207,0.04043179750442505,0.0413823127746582,0.02944082021713257,0.0459708571434021,0.04181176424026489,0.17768961191177368,0.3158950209617615,0.24551281190429877,0.7409112863635308
full,0,17,7,12,M,B,high,0.8,0.013578176498413086,-0.00027740001678466797,0.015675485134124756,-0.010205864906311035,-0.026836633682250977,2.523850440979004,0.023581601679325104,0.8282060623168945,-0.0061838626861572266,0.0012241601943969727,-0.021255522966384888,-0.007813096046447754,0.016783207654953003,0.008404970169067383,-0.015391886234283447,-0.012188136577606201,0.010321319103240967,0.017745375633239746,0.0103091299533844,0.0362282395362854,0.044213294982910156,0.02799808979034424,0.043518781661987305,0.04557317495346069,0.030156254768371582,0.045468926429748535,0.0482829213142395,0.17948395013809204,0.31914418935775757,0.29639341208353,0.741703861070546
full,0,18,12,2,R,T,low,0.25,-0.024783842265605927,-0.0004921704530715942,-0.042681142687797546,0.018144607543945312,-0.026117324829101562,2.5175352096557617,0.02361302822828293,0.8153781890869141,-0.011219263076782227,0.001224704086780548,-0.02181185781955719,-0.00640106201171875,0.017720729112625122,0.008868426084518433,-0.01221233606338501,-0.009204447269439697,0.011129766702651978,0.018258631229400635,0.00901755690574646,0.037083566188812256,0.042498648166656494,0.02793729305267334,0.040819644927978516,0.04182237386703491,0.029465556144714355,0.04556232690811157,0.04024010896682739,0.17629843950271606,0.3170582056045532,0.2693415188016235,0.7417017092157655
full,0,19,12,2,R,T,mid,0.5,-0.01838323473930359,-0.001198410987854004,-0.03085637092590332,0.00967705249786377,-0.027458906173706055,2.572099208831787,0.024012647569179535,0.8483667373657227,-0.00843358039855957,0.001344442367553711,-0.02169206738471985,-0.011068761348724365,0.01815292239189148,0.009899020195007324,-0.013729512691497803,-0.010663002729415894,0.01047411561012268,0.01950851082801819,0.010086536407470703,0.03827953338623047,0.04372203350067139,0.028013646602630615,0.044070541858673096,0.04537421464920044,0.03180694580078125,0.04750347137451172,0.050344645977020264,0.18102437257766724,0.325914204120636,0.26614747628458246,0.7504926948618107
