valence_name,zone3,action_name,n,body_delta_mean,body_u_delta_mean,body_state_mean,body_next_mean,tendency_target_mean,tendency_pred_mean
bottom,BL,RIGHT,1,-0.004120230674743652,-0.016720270656681913,0.4422452747821808,0.43812504410743713,-0.0827695093785206,-0.05152778699994087
bottom,BL,STAY,1,-0.0038167238235473633,-0.015553485956881496,0.43403390049934387,0.4302171766757965,-0.07699363414684474,-0.05952483415603638
bottom,BL,UP,1,-0.0030097663402557373,-0.012288992910642005,0.4302171766757965,0.42720741033554077,-0.00762848680937972,-0.043990038335323334
bottom,BM,DOWN,7,-0.004959872790745327,-0.020194719697859364,0.43972758310181753,0.4347677103110722,-0.11506328807051931,-0.1072086478982653
bottom,BM,LEFT,5,-0.004092156887054443,-0.016672858150336485,0.44010205268859864,0.4360098958015442,-0.0825348056485874,-0.06537053063511848
bottom,BM,RIGHT,17,-0.004440132309408749,-0.01818042529915202,0.43103571849710803,0.42659558618769927,-0.08999763898572426,-0.061611060710514295
bottom,BM,STAY,10,-0.004223594069480896,-0.01738247510608366,0.41845954656600953,0.4142359524965286,-0.08604758654070774,-0.05528170168399811
bottom,BM,UP,15,-0.0034764329592386883,-0.014232801724373906,0.43326048254966737,0.42978404959042865,-0.01960361582499851,-0.03122323180238406
bottom,BR,DOWN,12,-0.004372997830311458,-0.019244832631884052,0.36264633387327194,0.35827333604296047,-0.1081350306139479,-0.12072215415537357
bottom,BR,LEFT,15,-0.0033815542856852213,-0.01522525453336764,0.3387712637583415,0.33538970947265623,-0.07536880674753481,-0.06375890448689461
bottom,BR,RIGHT,32,-0.003383167088031769,-0.015383221727115814,0.33768188022077084,0.33429871313273907,-0.07615078374975597,-0.0677414471283555
bottom,BR,STAY,26,-0.003600874772438636,-0.015561089929721331,0.3726507367996069,0.3690498620271683,-0.07703127570864753,-0.05946856092375059
bottom,BR,UP,38,-0.002945950548899801,-0.012823754971903042,0.3687230125069618,0.36577706195806203,-0.013090725484246496,-0.03018692018170106
mid,ML,DOWN,12,-0.0015415027737617493,-0.006618351127700346,0.5454104120532671,0.5438689092795054,-0.07671150195037017,-0.05132656668623289
mid,ML,LEFT,12,3.429253896077474e-05,-0.00013979082542171466,0.5528565719723701,0.552890864511331,-0.0006919994462619189,0.0053330291993916035
mid,ML,RIGHT,22,-0.0003800121220675382,-0.0018019824057964188,0.5650061897256158,0.5646261776035483,-0.008920262279180956,-0.0035674769262021237
mid,ML,STAY,10,5.85407018661499e-05,-0.00017224147608591346,0.582722544670105,0.5827810853719712,-0.0008526382594509975,-0.003920092433691025
mid,ML,UP,19,0.0014357300181137888,0.0056988656915180095,0.5536188342069325,0.5550545642250463,0.060871679606316315,0.03806463197657937
mid,MM,DOWN,168,-0.001570703373068855,-0.006571425910313388,0.5204386166518643,0.5188679132787954,-0.07618107519623576,-0.046142792872463666
mid,MM,LEFT,172,-0.0004244526458341022,-0.0018020800272250737,0.5113741573552752,0.5109497047094411,-0.008920745529597204,0.006108000614615374
mid,MM,RIGHT,329,-0.000350470872635537,-0.0014965976319929928,0.5071307994130897,0.5067803285404542,-0.00740853149333517,0.008609592495627679
mid,MM,STAY,243,-7.819172776775595e-05,-0.0003636116388011631,0.5043799094702481,0.5043017177424803,-0.0017999682879454363,0.013595644346296542
mid,MM,UP,302,0.0009618687708646257,0.0038241987205577086,0.5088029580795213,0.5097648268503858,0.05672836996707294,0.037994910463296026
mid,MR,DOWN,248,-0.0013342356129038718,-0.005775974807808625,0.48219880714051183,0.480864571527608,-0.07165808320500201,-0.05487398993253948
mid,MR,LEFT,252,-7.984982359976995e-05,-0.00048248107277959365,0.5171616420386329,0.5170817922150331,-0.00238840162927808,0.0037327718935788626
mid,MR,RIGHT,516,-5.928484737411026e-05,-0.00034386217400035027,0.4982255621300649,0.4981662772826908,-0.0017022035121462842,0.003116346830718739
mid,MR,STAY,405,0.00022594936100053199,0.000886184198865483,0.4974977061336423,0.49772365549464287,0.004386832777122601,0.011319497250664381
mid,MR,UP,429,0.0010800755871481552,0.004538614740140332,0.500953396196132,0.5020334717832801,0.058660757005010646,0.04020721066552095
top,TL,DOWN,25,0.001974306106567383,0.01024669805953776,0.7146629619598389,0.7166372680664063,0.015033128349988618,0.014485185742378235
top,TL,LEFT,25,0.0019811725616455077,0.011542560552223686,0.7634963369369507,0.7654775094985962,0.05713855316675904,0.055713455677032474
top,TL,RIGHT,59,0.0025336777759810626,0.012794771947494916,0.7078154647754411,0.7103491425514221,0.06333731184435096,0.06251971587791282
top,TL,STAY,56,0.002293274870940617,0.012913299506208181,0.7570798003247806,0.7593730751957212,0.06392405281786571,0.06282434512728027
top,TL,UP,44,0.0026847733692689376,0.013709718173228495,0.7197642136703838,0.7224489870396528,0.07182556835313442,0.07469262800772082
top,TM,DOWN,164,0.0026457273378604797,0.011842197168853149,0.6304895459878735,0.633135273325734,0.020748514203301514,0.017598327147070228
top,TM,LEFT,187,0.003198779681149651,0.014139076289156513,0.6209723337448855,0.6241711134260352,0.0699919535723113,0.06709047650948247
top,TM,RIGHT,304,0.003099530739219565,0.013939988181270931,0.6341751358030658,0.6372746665422854,0.06900641779055632,0.06575669495903544
top,TM,STAY,241,0.0033878505971916485,0.015046814209338429,0.6252331611279135,0.6286210117251052,0.07448548264492293,0.07164613117320903
top,TM,UP,253,0.0034152791198534455,0.015379004640257274,0.6394800004280603,0.6428952795479137,0.08133821553130145,0.08443539582281244
top,TR,DOWN,1528,0.0019235569028018032,0.01048522902530147,0.7515394725880697,0.7534630294908716,0.018946390267952664,0.015909780867041836
top,TR,LEFT,1422,0.002289166975289625,0.012329062350774241,0.7452382622849925,0.747527429260282,0.061031933203961886,0.05919374683911162
top,TR,RIGHT,3177,0.0022558524411993653,0.012293685194749862,0.749997236592086,0.7522530890332854,0.06085680745944081,0.05911427103850708
top,TR,STAY,2390,0.0023786465680250063,0.013154261930592976,0.7538507728147706,0.7562294193827956,0.06511687690872558,0.0627306882697294
top,TR,UP,2726,0.0024815754512610543,0.013355709539575626,0.7454817734784444,0.7479633489297054,0.06899426820187528,0.07337871110661233
