valence_name,zone3,action_name,n,body_delta_mean,body_u_delta_mean,body_state_mean,body_next_mean,tendency_target_mean,tendency_pred_mean
bottom,BL,RIGHT,1,-0.0014745593070983887,-0.012111149676116595,0.14262156188488007,0.14114700257778168,-0.059953211122297345,-0.06661263108253479
bottom,BM,DOWN,18,-0.002130590793159273,-0.016121286239275348,0.15819200542238024,0.15606141462922096,-0.0845291603745646,-0.10113545962505871
bottom,BM,LEFT,42,-0.0021979700596559616,-0.015544891257006685,0.1706400393020539,0.16844206924239793,-0.0769510882391559,-0.07620939430558965
bottom,BM,RIGHT,66,-0.002056285513169838,-0.014510399405555685,0.1691187427125194,0.16706245719934953,-0.07183009559742146,-0.06531354655144793
bottom,BM,STAY,17,-0.0016701896401012644,-0.014085437328520477,0.1374998118947534,0.13582962225465214,-0.06972642734091354,-0.07262027789564694
bottom,BM,UP,22,-0.001746004278009588,-0.012223917723037476,0.17498281598091125,0.17323681170290167,-0.021091350950646987,-0.024143651212480934
bottom,BR,DOWN,500,-0.002807340271770954,-0.01724793340071958,0.21253315917402507,0.2097258189022541,-0.09021640942351698,-0.10045367362350226
bottom,BR,LEFT,530,-0.0027011152145997534,-0.016050771977661173,0.2237074843063107,0.22100636909171095,-0.07945532396071643,-0.07526555809912816
bottom,BR,RIGHT,1257,-0.0029025309813240736,-0.016460952629849666,0.24222709680110951,0.23932456581978545,-0.081485820478106,-0.07666625423755499
bottom,BR,STAY,230,-0.002690401284591011,-0.015419106697155146,0.2378035370098508,0.23511313572525977,-0.07632842330028757,-0.0729583140624606
bottom,BR,UP,326,-0.0023505106408354694,-0.013734049277356225,0.23472532763665804,0.23237481699582258,-0.029251618672553988,-0.02627981484987619
mid,MM,DOWN,23,-0.0019505684790403946,-0.007803117149447462,0.4982941591221353,0.4963435906430949,-0.08071033081791736,-0.06315632204970588
mid,MM,LEFT,18,-0.0009723405043284098,-0.003890997044189439,0.4962445977661345,0.49527225726180607,-0.019261405688557495,-0.027489773359977536
mid,MM,RIGHT,267,-0.0008048204781857323,-0.0032377245167283034,0.49520268405644635,0.4943978635782606,-0.01602754376738004,-0.007058615656744005
mid,MM,STAY,28,-0.00023545324802398682,-0.0009464736661103694,0.49651568702289034,0.49628023377486635,-0.004685280674708361,-0.005498485839260476
mid,MM,UP,25,0.0008235526084899902,0.003295479300054538,0.4988027286529541,0.4996262812614441,0.05604197653637632,0.046754639372229574
mid,MR,DOWN,545,-0.0017762039506107295,-0.007481898307772761,0.4759940928002016,0.4742178888495909,-0.07735775939954452,-0.0653134414669844
mid,MR,LEFT,459,-0.00048395893932168,-0.0020321859928408206,0.4724791211792327,0.471995162239911,-0.010059827442214135,-0.010879023921775402
mid,MR,RIGHT,5284,-0.00014639475765686698,-0.000610615707426911,0.4981651589412589,0.498018764183602,-0.0030227000244368854,-0.002740354010346011
mid,MR,STAY,393,-0.0001617879357956748,-0.0006699399125776525,0.4795803063698397,0.47941851843404404,-0.0033163696339437937,-0.003107809442695012
mid,MR,UP,599,0.0007272401143593064,0.0030380378482348586,0.48225368530752266,0.482980925421882,0.054524277548631546,0.04544841115812278
top,TM,DOWN,1,0.0018186569213867188,0.0072876814139294505,0.5202956795692444,0.5221143364906311,-0.01712925230452779,-0.02117917127907276
top,TM,RIGHT,2,0.0028658807277679443,0.01148539811734571,0.519744873046875,0.5226107537746429,0.05685558485919514,0.04357287473976612
top,TR,DOWN,302,0.0021868798116974485,0.010232839760524434,0.661523952389395,0.6637108322010924,0.010159162931253348,0.008623090224180199
top,TR,LEFT,199,0.002761328340175763,0.012976304688775421,0.6618394522211659,0.6646007805613418,0.06423594418353028,0.05930136675810694
top,TR,RIGHT,3995,0.0023972310694645583,0.011921044097095757,0.7018527991258456,0.7042500301953102,0.059012141098446366,0.05670098448043995
top,TR,STAY,340,0.002917955640484305,0.01385132604508059,0.671507275630446,0.6744252312709303,0.0685675181062385,0.0640480661764741
top,TR,UP,431,0.00314411928924773,0.014657761332810154,0.6582018078203268,0.6613459271095745,0.07870551345107375,0.09107340919826258
