valence_name,zone3,action_name,n,body_delta_mean,body_u_delta_mean,body_state_mean,body_next_mean,tendency_target_mean,tendency_pred_mean
bottom,BM,DOWN,1038,-0.005270563101894823,-0.022986424559043695,0.3788783336435095,0.37360777054161465,-0.11537367635295376,-0.11238085650094212
bottom,BM,LEFT,27,-0.004436263055713089,-0.02118297524412491,0.31916216374547396,0.31472590068976086,-0.1048610099761092,-0.10172099620103836
bottom,BM,RIGHT,172,-0.004998621465854867,-0.022150321550438747,0.3705429252410351,0.3655443037751802,-0.10964961542495241,-0.10534979164773642
bottom,BM,STAY,61,-0.00461030018622758,-0.02113441717208482,0.3404760685611944,0.3358657683749668,-0.10462063541031116,-0.0949969939032539
bottom,BM,UP,77,-0.004332030458109719,-0.02000315466598561,0.3408504225216903,0.33651839206358053,-0.07055419925984437,-0.058572764496331094
bottom,BR,DOWN,6202,-0.0025715256474434043,-0.017259643404111513,0.17951043271446124,0.17693890706701784,-0.0861359535716753,-0.08648799739535376
bottom,BR,LEFT,382,-0.0014788273292842336,-0.013705247748377076,0.11408437305759073,0.1126055457283065,-0.0678443941091896,-0.06569626715268297
bottom,BR,RIGHT,2785,-0.0015423994758826825,-0.013939810926339906,0.11857083666955975,0.11702843719367707,-0.06900554033444468,-0.06648320292174495
bottom,BR,STAY,823,-0.0016824530476063743,-0.013595377673688302,0.13507818533865823,0.13339573229105187,-0.06730050984056159,-0.06455761805303477
bottom,BR,UP,1518,-0.001452308734670301,-0.012575016030648518,0.12163707609036851,0.12018476735569822,-0.0326272970364862,-0.03187538062287335
mid,MM,DOWN,217,-0.0031453490531938967,-0.012585444098005974,0.4955244306045743,0.49237908155138044,-0.09606098446184246,-0.09692724325483845
mid,MM,LEFT,7,-0.00206311685698373,-0.008257562782723871,0.4936059202466692,0.4915428033896855,-0.040876995009363086,-0.08321801573038101
mid,MM,RIGHT,113,-0.0011287023008397195,-0.004515857780917282,0.4979350158071096,0.49680631350626986,-0.02235462216039707,-0.035600767676941064
mid,MM,STAY,24,-0.001504264771938324,-0.00601827334696799,0.497030774752299,0.4955265099803607,-0.02979195387816887,-0.08873601785550515
mid,MM,UP,44,3.256581046364524e-06,1.2976417147062717e-05,0.4975121204148639,0.4975153769959103,0.04364844920553915,-0.014369916636496782
mid,MR,DOWN,137,-0.0012104206711706453,-0.0053061876317546195,0.2613717209901253,0.2601613003189546,-0.05981403796848263,-0.025497106903225836
mid,MR,LEFT,31,3.0446316926710068e-05,0.0024260936033078506,0.1654750911458846,0.16550553746281133,0.012009768344982592,0.012113214380318118
mid,MR,RIGHT,428,0.00019349446781327792,0.0019147663978070373,0.3230468577087343,0.3232403521765476,0.009478571165212026,0.014936444079764535
mid,MR,STAY,65,0.00012363648185363183,0.002975547122480981,0.20422154957285293,0.20434518605470658,0.014729700285204192,0.012306982250167773
mid,MR,UP,116,0.0009638427853070456,0.008105922186399205,0.23874525070704264,0.23970909349234967,0.08207340770561987,0.057844201070738246
top,TM,DOWN,3,0.0018575588862101238,0.00743646430944126,0.5128637353579203,0.5147212942441305,-0.01639273986891678,-0.05968719472487768
top,TM,RIGHT,1,0.002837061882019043,0.011380003528199234,0.525006115436554,0.527843177318573,0.05633385536007855,0.028189439326524734
top,TM,STAY,1,0.0032016634941101074,0.012808042603914346,0.5036249756813049,0.506826639175415,0.06340300490300538,-0.04270345717668533
top,TR,DOWN,58,0.0029075928032398224,0.016190513256504488,0.48358268637595503,0.48649027917919485,0.04532551543754854,0.041356452933416284
top,TR,LEFT,48,0.0025379608074824014,0.01596735392291942,0.6097575433862706,0.612295504193753,0.07904238378731529,0.0699418440150718
top,TR,RIGHT,1201,0.002470572983891045,0.013616858972639811,0.6976495773456277,0.7001201503295188,0.06740684762728393,0.06187347397146177
top,TR,STAY,66,0.0029307122934948316,0.016470686441210747,0.5982627265832641,0.6011934388767589,0.08153400527171867,0.06544403297205766
top,TR,UP,275,0.002976252707568082,0.016485605083420986,0.6203419471870769,0.623318199894645,0.08380427630892959,0.08885148958726363
