cohort,seed,window,n_steps,max_episode,top_occ,mid_occ,bottom_occ,TR_occ,MR_occ,BR_occ,body_state_mean,body_state_last,body_pe_mean,obs_pe_mean,alpha_mean,g_norm_mean,g_norm_last,body_u_mean,body_u_last,body_u_delta_mean,trend_abs_err,trend_pred_mean,trend_target_logged_mean,conative_loss_mean,metric_eig_entropy_mean,metric_cond_mean,metric_cond_p95,g_top_bottom_dist,g_centroid_spread
full,22,last50,10000,179,0.7357,0.2355,0.0288,0.6595,0.138,0.0247,0.6674716692596674,0.9090011119842529,0.00010003989224986371,0.019660898835350236,0.03577968009486795,3.4773858998060225,3.4646730422973633,0.7929905309289705,2.3014988298058974,0.008873067495877148,0.009404425560971487,0.04173605211257527,0.041626244368295054,0.04966037300080061,2.79234574315435,19.556050061260837,29.32592497273609,0.07545637661346925,0.0748319005923906
full,23,last50,10000,179,0.7462,0.2169,0.0369,0.6685,0.1389,0.0352,0.6679430515661836,0.9137159585952759,9.625850831056404e-05,0.017203855058475166,0.03996192297115922,3.4874350610733034,3.483088731765747,0.8035827828943513,2.3598751150905444,0.009023768062940979,0.00844047468350933,0.042962823114544156,0.042870281177095924,0.045983116275072095,2.7672492219005784,19.485498945298094,33.85603935570703,0.12277299152953446,0.08298586753977856
full,24,last50,10000,179,0.7507,0.2383,0.011,0.6993,0.1531,0.0072,0.6852966284453869,0.7496926784515381,5.165216260679388e-05,0.01637125140739663,0.03256943371370435,3.3436215002536773,3.2842671871185303,0.873096612554752,1.0969738159023046,0.009307403507145501,0.008704620953628978,0.04378070664871484,0.04355941604630957,0.035972430907189844,2.8701261714644732,12.560509167258944,17.8636445055969,0.11912900864659534,0.08140552588474556
full,25,last50,10000,179,0.7642,0.222,0.0138,0.6913,0.1342,0.0123,0.6852827548742294,0.8891230821609497,0.00012074959434500156,0.017594476122537162,0.04475086100697517,3.3561427752494812,3.2734479904174805,0.8810201830743059,2.0818148224780417,0.00939761903417705,0.009777211628410748,0.04448155687088147,0.044297861636169736,0.044117349199950695,2.873352449783502,11.252792284117504,16.372639676588193,0.21137199301530263,0.14252854280049002
full,26,last50,10000,179,0.8252,0.1658,0.009,0.7747,0.0836,0.0032,0.7069617207050324,0.7708817720413208,8.802925611746595e-05,0.01657232863374811,0.03422724705114961,3.4200069301605223,3.3556673526763916,0.9984492698465225,1.21329693842893,0.010432073771391456,0.007882886207759322,0.049462108206516135,0.04931071963857933,0.045569203694164756,2.8530719754565954,12.146896216992063,16.34774829584525,0.08874167038041628,0.06738181896542665
full,27,last50,10000,179,0.7124,0.2465,0.0411,0.6417,0.164,0.0373,0.6645676335178315,0.8739402294158936,9.228381185477363e-05,0.018762597195338456,0.04392700074240565,3.410302549648285,3.385169267654419,0.7765446127229291,1.936255715788593,0.008260852851537421,0.009270224393224643,0.03881700630178675,0.03861355536855662,0.05334545817002654,2.8652883052742455,12.030975781059503,16.89250542276202,0.09418284948153426,0.06853495897704705
full,28,last50,10000,179,0.7423,0.2266,0.0311,0.6288,0.1395,0.0205,0.6757313783273101,0.8494648933410645,0.00014472507713887407,0.021702488101099152,0.03817038009390235,3.316877695608139,3.25288987159729,0.8388486946113317,1.7304102392830591,0.00865903716581887,0.00975307339280653,0.04053693517346401,0.04034988389527506,0.03898752760589123,2.8646799599122046,11.823748989462194,17.48115919177894,0.2137907245529529,0.1435319844056794
full,29,last50,10000,179,0.7342,0.2134,0.0524,0.5967,0.1142,0.0307,0.6572084734924137,0.8962922096252441,9.80281712353992e-05,0.027050967815049808,0.03946254957020283,3.569316546487808,3.5998752117156982,0.7528517047040043,2.156689533515629,0.008478606858617576,0.012913441309665683,0.03998515460770577,0.039664138343830424,0.04057781886011362,2.8455199956080466,13.346773117416486,20.473404923684555,0.17135615169598745,0.13919582456013954
no_conative,0,last50,10000,179,0.1799,0.5713,0.2488,0.1796,0.5471,0.2487,0.4442231694370508,0.48434510827064514,0.00013111375354313043,0.00802912028610881,0.0691971914626658,3.2031320733070374,3.1609466075897217,-0.2800406524572455,-0.06263998393325942,-0.0028394084958402784,0.010568961156655704,-0.013551538724382408,-0.013469235380592847,0.0,2.891200916829198,9.298178842272938,20.71739053996676,0.20652749711631888,0.1393447140846577
no_conative,1,last50,10000,179,0.6831,0.2298,0.0871,0.1609,0.0989,0.0647,0.6506525255840272,0.04711085557937622,0.0002198098958796712,0.07219419095940394,0.034687047327309845,3.5716578983068468,3.566009998321533,0.7328206828373339,-3.006995107473945,0.007001258212390893,0.00970659662066225,0.03367294510118663,0.033545055108410764,0.0,2.7810541806855036,17.201596590557784,33.699791606371974,0.6072966523770023,0.41004388743246833
