cohort,seed,g_mode,valence_name,n,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,body_state,body_u
full,0,shuffled,mid,200,0.1322678419575095,0.13169829193502663,0.2558801230788231,1.5218159580230712,0.0023465677350759506,0.005172688663005829,9.974159179250819e-05,0.5252698493003846,0.1143636176705151
full,0,shuffled,top,200,0.05320496237836778,0.0558358777500689,0.09696010362356901,1.593208379149437,0.002594913626089692,0.004601936638355255,5.4411890030223734e-05,0.7420186537504196,1.1474372763994907
full,0,zero,bottom,200,0.0784927754662931,0.086384168677032,0.169066276922822,1.5707520163059234,0.03846608536317944,0.08525395780801773,0.009633624074049295,0.413052357211709,-0.3817934770894009
full,0,zero,mid,200,0.13146829169243573,0.13169829193502663,0.2718434236943722,1.5135477137565614,0.023030120804905893,0.051990974098443984,0.00658515201532282,0.5252698493003846,0.1143636176705151
full,0,zero,top,200,0.08773914625868201,0.0558358777500689,0.1578800554201007,1.5720984053611755,0.036138878222554925,0.06387155257165432,0.006289820071542635,0.7420186537504196,1.1474372763994907
full,1,actual,bottom,125,0.10509929007291793,0.09630066788196563,0.21918697535991669,1.5468482151031495,0.0,0.0,0.0,0.4537657015323639,-0.18398544025172253
full,1,actual,mid,216,0.13050420713369493,0.13191634226866342,0.25438792493056367,1.5254547242765073,0.0,0.0,0.0,0.5139478122194608,0.06690623702520224
full,1,actual,top,259,0.058690981471975795,0.04927147182718667,0.10438172933447776,1.5904613521568562,0.0,0.0,0.0,0.727025417517511,1.0783081099307887
full,1,mean,bottom,125,0.11046534657478332,0.09630066788196563,0.23086056137084962,1.540482165336609,0.006909638941287995,0.014922722458839417,0.00047211136638725294,0.4537657015323639,-0.18398544025172253
full,1,mean,mid,216,0.13106886521671657,0.13191634226866342,0.25444580649060233,1.5254215702966407,0.0034644684098936894,0.008061210383419637,0.00023335360789907873,0.5139478122194608,0.06690623702520224
full,1,mean,top,259,0.059468584127983073,0.04927147182718667,0.10562687557061207,1.590084018854561,0.005894449974579241,0.010330618031927058,0.00025055511153185966,0.727025417517511,1.0783081099307887
full,1,random,bottom,125,0.10969905841350555,0.09630066788196563,0.22924490070343018,1.541279806137085,0.007970710694789886,0.01714248263835907,0.0006145226583612384,0.4537657015323639,-0.18398544025172253
full,1,random,mid,216,0.13051178896178803,0.13191634226866342,0.2534913967742964,1.5259400826913339,0.004059552284026587,0.009408716595283261,0.00031930550755987497,0.5139478122194608,0.06690623702520224
full,1,random,top,259,0.05979912174311844,0.04927147182718667,0.1062344012055618,1.5897791855123513,0.006873485635836612,0.012051420638690124,0.0003455468909615357,0.727025417517511,1.0783081099307887
full,1,shuffled,bottom,125,0.10968124437332154,0.09630066788196563,0.22889035511016845,1.5414064512252807,0.008787934839725495,0.01872274434566498,0.0007841132070607273,0.4537657015323639,-0.18398544025172253
full,1,shuffled,mid,216,0.13061987184402016,0.13191634226866342,0.2547715987182326,1.5251423286067114,0.004893747089361703,0.011313527753507649,0.0004882656790170114,0.5139478122194608,0.06690623702520224
full,1,shuffled,top,259,0.060938504671958424,0.04927147182718667,0.10822673933041142,1.5891287718040141,0.008152386698598567,0.014316394953884213,0.00048538382430411437,0.727025417517511,1.0783081099307887
full,1,zero,bottom,125,0.07008737760782242,0.09630066788196563,0.14353183329105376,1.5821524925231933,0.03501191246509552,0.07565514206886291,0.007702902127057314,0.4537657015323639,-0.18398544025172253
full,1,zero,mid,216,0.12118956253484443,0.13191634226866342,0.2493900074451058,1.5285970552100077,0.020450973469350073,0.043177094172548364,0.004446609561758426,0.5139478122194608,0.06690623702520224
full,1,zero,top,259,0.09631426290080354,0.04927147182718667,0.17513546344741432,1.5659872426949872,0.037623281428827746,0.07075373411293656,0.0075725385223418245,0.727025417517511,1.0783081099307887
full,2,actual,bottom,184,0.09099306757359402,0.09855285756613898,0.18840360382328863,1.56393466177194,0.0,0.0,0.0,0.43105546547018964,-0.277437441649251
full,2,actual,mid,205,0.12054030749855972,0.13134951718696733,0.2329675292096487,1.538238252663031,0.0,0.0,0.0,0.5509944543605898,0.24262768813412047
full,2,actual,top,211,0.05862928676237992,0.0539384207630892,0.10583207766874142,1.5896843248069004,0.0,0.0,0.0,0.7287189399744097,1.0843412565288755
full,2,mean,bottom,184,0.09219242215318524,0.09855285756613898,0.1908164451951566,1.5628446774638218,0.0032203230277999587,0.006665381238512371,9.236346156171749e-05,0.43105546547018964,-0.277437441649251
full,2,mean,mid,205,0.1207632138598256,0.13134951718696733,0.23310914061418395,1.5380330614927338,0.0020517431744715062,0.004301736485667345,6.226003636295833e-05,0.5509944543605898,0.24262768813412047
full,2,mean,top,211,0.05881921390857177,0.0539384207630892,0.10613891651845091,1.5895781307988823,0.002359542960380491,0.004219736603763996,4.652383159775722e-05,0.7287189399744097,1.0843412565288755
full,2,random,bottom,184,0.09234729502350092,0.09855285756613898,0.19110562895303188,1.5626428567844888,0.004539604217785856,0.009529030517391537,0.0001861412356447545,0.43105546547018964,-0.277437441649251
full,2,random,mid,205,0.12045183861401022,0.13134951718696733,0.2324373186361499,1.5384049723788005,0.0024855458518353904,0.005185695028886562,9.654992645387321e-05,0.5509944543605898,0.24262768813412047
