cohort,seed,window,n_steps,max_episode,top_occ,mid_occ,bottom_occ,TR_occ,MR_occ,BR_occ,body_state_mean,body_state_last,body_u_mean,body_u_last,body_delta_mean,body_delta_last,body_u_delta_mean,body_u_delta_last,obs_pe_mean,obs_pe_last,body_pe_mean,body_pe_last,body_loss_mean,body_loss_last,body_loss_action_mean,body_loss_action_last,body_loss_tendency_mean,body_loss_tendency_last,body_loss_state_aux_mean,body_loss_state_aux_last,alpha_mean,alpha_last,g_norm_mean,g_norm_last,tendency_pred_mean,tendency_pred_last,tendency_target_mean,tendency_target_last,conative_loss_mean,conative_loss_last,conative_target_entropy_mean,conative_target_entropy_last,trend_abs_err,q_UP_mean,q_DOWN_mean,q_LEFT_mean,q_RIGHT_mean,q_STAY_mean,q_UP_minus_DOWN,q_RIGHT_minus_LEFT,metric_eig_entropy_mean,metric_cond_mean,metric_cond_p95,g_top_bottom_dist,g_centroid_spread
full,0,last50,10000,179,0.6824,0.2774,0.0402,0.6067,0.1902,0.0325,0.6528993631049991,0.8336019515991211,0.7188096830981312,1.6113731394271575,0.0014825256071498046,0.0015277266502380371,0.0076867409470436875,0.010973436803444203,0.018311055462135118,0.008838639594614506,0.00010432882664670569,3.2279972401738632e-06,0.0002050872070889593,6.657644917140715e-06,0.00010432882664670569,3.2279972401738632e-06,0.00018936655659751228,1.3579775668404181e-06,6.075101999436834e-05,2.750658677541651e-05,0.07334928109049797,0.06290367245674133,3.380532348275185,3.3570775985717773,0.0359352948570624,0.05783456936478615,0.03574661347275418,0.05899989181691101,0.047638424003124236,0.04895889759063721,1.5741475179672242,1.5949573516845703,0.010038200038313815,0.2652144235417247,0.12380863892287015,0.20058621509820224,0.20011538557857275,0.21027533698379994,0.14140578461885453,-0.00047082951962947847,2.930740836652877,7.647557999073674,9.620410018941426,0.22931128685936383,0.1563676541224608
full,1,last50,10000,179,0.7614,0.2262,0.0124,0.6994,0.1383,0.0078,0.6778006731450558,0.8510140776634216,0.844956238892683,1.742576665024907,0.0017875571466570523,0.0014494061470031738,0.009417241597629508,0.011385758706168758,0.017529846193731647,0.027348246425390244,9.273178947199119e-05,8.891461789062305e-09,0.0001701698614306416,6.831453447375679e-07,9.273178947199119e-05,8.891461789062305e-09,0.00013732659218754057,2.6644173090062395e-07,8.774775723674253e-05,5.4103302318253554e-06,0.030529533303529022,0.030218124389648438,3.338343214464188,3.2582359313964844,0.04457063502958045,0.05556435510516167,0.04447911916078464,0.05608053320159745,0.04879711372852325,0.029595762491226196,1.5795262093782425,1.5985029935836792,0.008473212246128684,0.25506881467998027,0.12668693250715732,0.2023395172342658,0.20270598119795322,0.2131987537458539,0.12838188217282295,0.0003664639636874199,2.5185667042219775,40.77881655129114,75.81754747142013,0.09267706384195701,0.0694780326658239
full,2,last50,10000,179,0.7826,0.199,0.0184,0.712,0.1213,0.0095,0.6891443081945181,0.9072000980377197,0.8990008784998532,2.2799177736088656,0.0018245334122049149,0.0005075931549072266,0.009594142217174525,0.006014834232044297,0.018122702434219536,0.005774996243417263,7.391710385968366e-05,6.710012030453072e-07,0.00015443994727845175,1.608150159881916e-05,7.391710385968366e-05,6.710012030453072e-07,0.0001542620812632824,2.9407556212390773e-05,3.3918027911962146e-05,7.067232672852697e-06,0.031197127939760684,0.030227214097976685,3.4289262105464937,3.3489763736724854,0.044969285214296544,0.03504892811179161,0.0448280555581013,0.029626054754656295,0.03945353386104107,0.03958320617675781,1.5817101521968842,1.5991551876068115,0.008910375008483774,0.25190134140104053,0.12734724070057274,0.20358399514704942,0.20334657510966062,0.21382084785252808,0.12455410070046782,-0.00023742003738880157,2.8696401877682183,12.162993852394736,16.357127409286868,0.0844298027312429,0.06015165633420547
full,3,last50,10000,179,0.7092,0.2113,0.0795,0.6617,0.11,0.0277,0.6208110513053835,0.8473750352859497,0.5894603240857985,1.7141594822543997,0.0015359357703271224,-0.0020921826362609863,0.008133380900965093,-0.016268950473792065,0.02068933016123483,0.01517749298363924,0.0001084126050521294,8.489031642966438e-06,0.0001925300927106004,3.0305032851174474e-05,0.0001084126050521294,8.489031642966438e-06,0.00016088189018753152,4.2565738112898543e-05,3.676542782222665e-05,5.331318334356183e-06,0.051094485664367674,0.03790406882762909,3.5346817818641663,3.5039455890655518,0.03937924248743802,-0.07855869084596634,0.039164272904684584,-0.08508293449096316,0.06555719961747528,0.06272068619728088,1.5815295358777046,1.5094773769378662,0.009086387814151022,0.25560586073994634,0.13203074600175024,0.20078475052267314,0.20094713752418755,0.21063150499612093,0.12357511473819613,0.00016238700151443482,2.878933927649233,10.77137941953433,16.10022963188741,0.10454110444157584,0.07877822640063455
full,4,last50,10000,179,0.7208,0.2271,0.0521,0.6579,0.1462,0.0353,0.6565296601690352,0.8592678904533386,0.739870690657054,1.809222634231231,0.0015763734033958396,0.0013416409492492676,0.008273728083434292,0.011050854338297667,0.018867754824267467,0.00670256931334734,0.0001035397980580937,1.9666642856464023e-06,0.0001861573132226667,5.067856181995012e-05,0.0001035397980580937,1.9666642856464023e-06,0.00015519267621854764,9.697955829324201e-05,5.021176686828654e-05,2.221156591986073e-06,0.033430301935225726,0.031490445137023926,3.2969677093744276,3.218179702758789,0.03917458468231489,0.06427878141403198,0.038990907173210756,0.05443096236433953,0.06596374023705721,0.050875499844551086,1.577637775325775,1.5946708917617798,0.008901119338288258,0.25890205731987953,0.1260405514664948,0.2012123942181468,0.20182677301317453,0.21201822386234997,0.13286150585338474,0.0006143787950277328,2.9032715061415417,9.728625334100476,14.099343442556803,0.12967801722120356,0.09397958895829765
full,5,last50,10000,179,0.7824,0.2116,0.006,0.7173,0.1008,0.0043,0.69054646435678,0.8857215642929077,0.9051699595074426,2.0477645900659476,0.0018665438560984242,0.0010010600090026855,0.009915598773936853,0.009852151042645918,0.02023251525828382,0.006253726314753294,0.00013016685229406865,4.2310691839020365e-08,0.000209058769276424,8.420687436228036e-07,0.00013016685229406865,4.2310691839020365e-08,0.0001476990863553136,1.3559119906858541e-06,5.04237371793212e-05,1.2180203157186043e-06,0.03357548180967569,0.030344903469085693,3.4245887534618378,3.3634331226348877,0.04695086569879204,0.0473623163998127,0.04681024658125407,0.04852675152468455,0.03992244308143854,0.05400601029396057,1.5815027177214622,1.6044682264328003,0.008727444644848323,0.25063274224698545,0.1280023089878261,0.20440023052841425,0.20297462986111642,0.21399008857160806,0.12263043325915933,-0.0014256006672978402,2.844478356913398,14.013476477717628,19.078003666131814,0.09381039332915518,0.06443125229974374
full,6,last50,10000,179,0.7675,0.2002,0.0323,0.7077,0.1157,0.0236,0.6768248385444283,0.9024489521980286,0.8515770848146065,2.224736474792929,0.0017715272112707398,0.0008810162544250488,0.009365670401682298,0.009967870214872221,0.016676576010073767,0.005767667666077614,0.00011462395980559635,2.4764474915173196e-07,0.00019562090233934485,4.7033990995259956e-06,0.00011462395980559635,2.4764474915173196e-07,0.00015032811642676282,8.176481060218066e-06,5.832884229252713e-05,3.6751350762642687e-06,0.03768686020448804,0.03166145086288452,3.4576458916664126,3.423491954803467,0.044346637711767105,0.04700593277812004,0.04417417425244555,0.04414647671532057,0.04547446448504925,0.10905563831329346,1.5810754283308983,1.6022851467132568,0.008745973451253185,0.25155454926341775,0.12841823041513561,0.20346049344986677,0.20321027446389198,0.213356452421844,0.12313631884828209,-0.00025021898597478865,2.892463395262202,10.560111796738969,13.542389775037197,0.1461366132620892,0.10052872762646108
full,7,last50,10000,179,0.7336,0.2348,0.0316,0.6645,0.1461,0.0219,0.6693544867753982,0.9149982333183289,0.8109687038141681,2.3762504518489806,0.0016605346795901582,0.0006400346755981445,0.00877410449727253,0.008201468320118366,0.017411377415957396,0.004370101727545261,0.00013558893247496925,7.31481748061924e-07,0.0002225727698907404,7.765118425595574e-06,0.00013558893247496925,7.31481748061924e-07,0.0001605994729027469,1.4021320566826034e-05,6.68410102562703e-05,2.297673660223154e-07,0.0378084862343967,0.03316853940486908,3.2038119421958924,3.1910223960876465,0.0413229756549932,0.03665181249380112,0.04112265038127107,0.040396316863719584,0.04614968577623367,0.03681004047393799,1.5785707161903382,1.6021380424499512,0.009197123449558281,0.25648150986880064,0.12675086566880345,0.20305393640100955,0.20206666984409094,0.2116470175638795,0.1297306441999972,-0.0009872665569186211,2.928289676346862,7.784387056175852,10.426351632372022,0.10176259659865455,0.07432059743147236
full,8,last50,10000,179,0.7007,0.2653,0.034,0.6348,0.1662,0.021,0.657571377876401,0.8989988565444946,0.7408935300460232,2.1861497427962604,0.0015577619249497227,0.000736534595489502,0.008013320045645488,0.008085112163398023,0.019582621571750496,0.00277341459877789,0.0001042685069416918,1.4145520310648863e-09,0.00019700172335243593,4.383050509204622e-06,0.0001042685069416918,1.4145520310648863e-09,0.00016961827007711615,6.844993095000973e-06,7.92408136212388e-05,9.591394700692035e-06,0.03923859860226512,0.03763997554779053,3.1388854635715484,3.065333366394043,0.03731614956143312,0.03720691055059433,0.03726769048767977,0.03982320483152657,0.04750541043132544,0.0321296751499176,1.5746688529610633,1.598426342010498,0.00966689803821599,0.2635291431084275,0.12242895239070058,0.2019778807595372,0.20112450834065676,0.21093951581418513,0.14110019071772695,-0.0008533724188804627,2.8859873050249587,10.325765359891664,19.55790004037643,0.24860851160339856,0.17600900503245429
full,9,last50,10000,179,0.7982,0.1885,0.0133,0.7501,0.1192,0.0068,0.6896933378100395,0.8823443055152893,0.9051142584065174,2.014819903207346,0.0018888627524351954,0.0010439753532409668,0.010065813112489212,0.010017702232890002,0.014141323413357896,0.007628452964127064,0.00010664316733827875,5.050464437772462e-07,0.00017920867329488318,7.470679702237248e-05,0.00010664316733827875,5.050464437772462e-07,0.00013589385827691367,0.00014767312677577138,4.618576865970665e-05,3.651861788966926e-06,0.037530354645103216,0.0341915488243103,3.4401788315534594,3.3980295658111572,0.04768443352063186,0.037190090864896774,0.047491746561497884,0.049342173602444195,0.053507400645315645,0.04628971219062805,1.5824142517328261,1.6048935651779175,0.008387367463041986,0.2492509025529027,0.1308048594415188,0.2026130406141281,0.2035358585074544,0.2137953392535448,0.11844604311138392,0.0009228178933262825,2.8135841190933326,12.735808102253442,16.022175091316594,0.24128991816939618,0.17861933041756628
full,10,last50,10000,179,0.7844,0.2054,0.0102,0.7223,0.123,0.0046,0.691848542663455,0.8748000264167786,0.9108593892586508,1.9440829280639427,0.0018831785959215021,0.0010223388671875,0.010013263642297123,0.009301528317832153,0.017520858246600254,0.010900810360908508,0.00013834617433788443,1.611040403304287e-07,0.00023552398049566322,3.419188033149112e-06,0.00013834617433788443,1.611040403304287e-07,0.0001837478756931424,5.246844011708163e-06,5.303868272352847e-05,6.346620011754567e-06,0.03955690959766507,0.03087630867958069,3.567324121880531,3.5062267780303955,0.04744987036457751,0.05338359996676445,0.04714573521055191,0.051093001937629445,0.04962428112924099,0.0384136438369751,1.5857242635130882,1.5999929904937744,0.009910162245522994,0.24890322613865137,0.1288054545238614,0.2042261280119419,0.20439471631497144,0.2136704750970006,0.12009777161478996,0.0001685883030295372,2.889742669194076,11.034727574367222,19.333526420670307,0.2874064786926811,0.1950701341073834
full,11,last50,10000,179,0.7306,0.2461,0.0233,0.6852,0.169,0.0179,0.6741298887252808,0.3360165059566498,0.8208796177698303,-0.6810969805981187,0.0016566746109095052,0.004999816417694092,0.008708501335573148,0.02249338715532989,0.015535379000783724,0.006977100856602192,0.0001383332841530724,9.83549834927544e-05,0.00023008743640282416,0.00011148882185807452,0.0001383332841530724,9.83549834927544e-05,0.00017364473841686894,2.490274164301809e-05,4.931782878332402e-05,6.824696356488857e-06,0.04755035110190511,0.08819789439439774,3.359650891518593,3.307051658630371,0.0409178294179379,0.06579569727182388,0.04062660792573957,0.07078596191203035,0.04622590685635805,0.031344056129455566,1.5786716074943543,1.591464877128601,0.009650127855476363,0.25840881826728584,0.12451382343396544,0.20245875660926105,0.20232346134334803,0.2122951397538185,0.13389499483332037,-0.00013529526591300964,2.9220842767898567,7.49256838265152,10.329746933930496,0.33154044312452235,0.22324388658740033
full,12,last50,10000,179,0.6883,0.2669,0.0448,0.6488,0.1892,0.0326,0.647507310217619,0.8770290613174438,0.6972516558067797,1.9645918639076942,0.0015833040847251165,0.0009955167770385742,0.008158373100672833,0.009198468338717847,0.014645955206648796,0.0029388575349003077,0.00010586941699179544,8.970823728304822e-08,0.00021058007994895363,8.916678780224174e-06,0.00010586941699179544,8.970823728304822e-08,0.00019461848397165924,1.702367080724798e-05,7.401421292742931e-05,3.151353212160757e-06,0.05137369236573577,0.030634313821792603,3.4356109934329986,3.408506393432617,0.038395663450378925,0.049433015286922455,0.038353476010917764,0.04530703858969165,0.05952591387629509,0.03858494758605957,1.578342479622364,1.6029798984527588,0.010340920877033897,0.26084173432141544,0.12556993004679678,0.20127756047546863,0.20111028806716202,0.21120048759132623,0.13527180427461863,-0.00016727240830659868,2.8949516398712007,8.824245384620735,13.214411355356951,0.08200104756447997,0.05581971055587637
