cohort,seed,valence_name,zone3,n,body_state,body_u,pred_UP_minus_DOWN,true_UP_minus_DOWN,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
full,1,mid,ML,53.0,0.5189222749674095,0.0782964165687995,0.0070747598162237,0.0025514181291123,0.1285806195634716,0.1315376880593425,0.0054368516430258,0.0096103558141105
full,1,mid,MM,200.0,0.4957233262062073,-0.0156599976979663,0.0065034226328134,0.0025884053138982,0.1317350390180945,0.1322022787896598,0.0109747513383626,0.0123477239627391
full,1,mid,MR,200.0,0.5049994142353534,0.0334073852567379,0.0063091878592967,0.0024527029658331,0.1266112105175852,0.1314626437664164,0.0135693871695548,0.0168782678060233
full,1,top,TL,77.0,0.7106523598943438,0.9114246475579562,0.0044567190207444,0.0006833025392706,0.0515355790009746,0.0555379050859481,0.004658335892411,0.0140274955661265
full,1,top,TM,200.0,0.6350858049094676,0.6029540268618871,0.0027187943458557,0.0007436467426625,0.0692440843395888,0.055142353835465,0.0030370069295167,0.01841628946946
full,1,top,TR,200.0,0.7505518390238285,1.2060100045899824,0.0006554646790027,0.0005231057685677,0.0595188005454838,0.0498755192253702,0.0042952795326709,0.0159668308781692
full,2,bottom,BM,173.0,0.4171660079087825,-0.3391563320184222,0.0071886085361414,0.0014049437739373,0.0853807286203252,0.0875631358964185,0.0261862786228343,0.0281216363944759
full,2,bottom,BR,200.0,0.3932636556029319,-0.446353827418924,0.0057445652782917,0.0014300849748092,0.0866100583970546,0.0939501536894557,0.0217448817409604,0.0260475522466003
full,2,mid,ML,24.0,0.5355809529622396,0.1434623663714802,0.0187633770207564,0.0024715160724634,0.1213457748914758,0.1288473714154209,0.0037676509624967,0.0087097946864863
full,2,mid,MM,200.0,0.5207740043103695,0.0963024040093522,0.0179319406300783,0.0025315777586893,0.1225537572801113,0.1323745235380835,0.0111292718746699,0.011819581920281
full,2,mid,MR,200.0,0.5380423103272914,0.1796247372152614,0.0155840133875608,0.0022745575627492,0.1180310021340847,0.1299539421570179,0.0111171781551092,0.0160822237189859
full,2,top,TL,113.0,0.6474499169704133,0.6387333512756397,0.0061619687924342,0.0006387794460441,0.0627287497364841,0.04979750389909,0.0077829603270619,0.024163270511343
full,2,top,TM,200.0,0.6605820503830909,0.7412855006018326,0.0076831410825252,0.000848354217976,0.0682433859445154,0.0631546367989989,0.007333553340286,0.0182807483151555
