valence_name,zone3,n,body_state_mean,body_u_mean,body_delta_mean,body_u_delta_mean,body_drive_mean,body_pe_mean,body_loss_mean,body_loss_tendency_mean,tendency_target_mean,tendency_pred_mean,obs_pe_mean,alpha_mean,g_norm_mean
bottom,BL,83,0.34353935179940187,-0.6773509722809797,-0.0037943277373371355,-0.017148611348469775,0.6564606482005981,9.400210694428273e-05,0.00031024399564798895,0.00042165361360697754,-0.07916341900581378,-0.06979456173637545,0.11763670382998793,0.06661884818809578,3.3264542171754035
bottom,BM,53,0.3919530063867569,-0.46939977991834336,-0.003785253695721896,-0.01616032250424458,0.6080469936132431,0.00015230097174181529,0.0004208144458593693,0.0004927305088212617,-0.06533445330427318,-0.05474340662641345,0.06496413827891338,0.07938465813420853,3.3114099142686375
bottom,BR,556,0.4101182863973885,-0.4044781775788981,-0.0038979280766823308,-0.017538000627920502,0.5898817136026114,0.000105781625360513,0.00026426048608544066,0.0003080317182423944,-0.07545403925554352,-0.06987886668665322,0.010162127536316169,0.07111836829149037,3.306200709703157
mid,ML,147,0.4569262322925386,-0.1754251132453232,-0.0006104234327264384,-0.0025498565512227294,0.5430737677074614,0.0002749465099210876,0.00040911519094110265,0.00024124620258900902,-0.010913422545985619,-0.010676282876152165,0.13949908194493274,0.06722355492058255,3.326522857964444
mid,MM,1154,0.4989456491644916,-0.005260087548245008,-7.767006884001364e-05,-0.0003348412988343689,0.5010543508355084,0.0005253681818923103,0.0007623624378850116,0.0004312789376589024,0.0010597550322811265,0.00730989441159383,0.058798136383672754,0.10155882890395937,3.30582410623957
mid,MR,3108,0.5332265794468969,0.1488632790242472,-0.00021490942749124084,-0.0011555915241097958,0.46677342055310306,0.00011546231199229519,0.0002614699751633268,0.000279365516651288,-0.004242453414251873,-0.0035857271853752884,0.010870635302299411,0.06892006851473831,3.3140204090869565
top,TL,133,0.5715936003322888,0.29648284407197,0.003650377791627009,0.015315355010199509,0.4284063996677112,0.0002563385505919138,0.0003739250097353768,0.00020724104864980726,0.06995134968865321,0.06956888151292066,0.14294266544590542,0.07503331771918706,3.340610789177113
top,TM,857,0.6169815057912535,0.5077005958521577,0.003228751197022624,0.014106306179934067,0.3830184942087465,0.00012613410120992883,0.00022311324568248872,0.00017758291878184867,0.06485810376780501,0.06350727980280493,0.05491342477863405,0.07436801046306918,3.322425003508008
top,TR,9829,0.7300777971071415,1.0932262183842525,0.002388656713953095,0.012572451239506639,0.26992220289285845,4.7393415465851655e-05,0.00011300300668284941,0.0001228718894346117,0.05791742658611675,0.05701005735660766,0.008638132900911233,0.059100704340201475,3.3201696939659526
