episode,t,x,y,zone3,valence_name,body_state,body_u,logged_action,pred_UP,pred_DOWN,pred_STAY,pred_UP_minus_DOWN,true_UP,true_DOWN,true_STAY,true_UP_minus_DOWN,pred_trend_UP,pred_trend_DOWN,pred_trend_STAY,pred_trend_UP_minus_DOWN,true_trend_UP,true_trend_DOWN,true_trend_STAY,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
179,159,0,10,BL,bottom,0.07780863344669342,-2.4725003967571464,LEFT,0.08551479130983353,0.07996989041566849,0.08174725621938705,0.005544900894165039,0.07771315684334251,0.07718543988214917,0.07748505918529343,0.0005277169611933447,0.04167871177196503,-0.04848388582468033,-0.018377410247921944,0.09016259759664536,0.04661474475819327,-0.05917852299737447,-0.022365434408536444,0.10579326775556774,0.004936031997203827,0.010694637894630432
148,197,1,13,BL,bottom,0.04581718146800995,-3.0361961430892586,DOWN,0.07387018948793411,0.06918216496706009,0.07077588886022568,0.0046880245208740234,0.045459879336941296,0.045344706769126226,0.04543423705070559,0.00011517256781506946,0.03829503059387207,-0.045717790722846985,-0.018180113285779953,0.08401282131671906,-0.008479818343038126,-0.05376333438742531,-0.04353474339813834,0.045283516044387184,0.04677484929561615,0.008045542985200882
179,154,1,14,BL,bottom,0.08143925666809082,-2.422950642176596,UP,0.08039246499538422,0.07670953124761581,0.07746909558773041,0.003682933747768402,0.0804823506709546,0.08040347612517015,0.0804774459136243,7.887454578445197e-05,0.02354842983186245,-0.054123491048812866,-0.030725961551070213,0.07767192274332047,-0.03989820926795984,-0.06894192517741393,-0.06399167580178977,0.029043715909454093,0.06344664096832275,0.014818437397480011
148,176,1,14,BL,bottom,0.05728411674499512,-2.8007415549720966,LEFT,0.07635540515184402,0.07166747748851776,0.07317814230918884,0.004687927663326263,0.05669448446156981,0.05663748663140379,0.0566909400079122,5.6997830166015395e-05,0.037257954478263855,-0.047415025532245636,-0.019815271720290184,0.08467298001050949,-0.03054741311704534,-0.05959112902650032,-0.054640879650875274,0.02904371590945498,0.06780536472797394,0.01217610388994217
148,188,0,14,BL,bottom,0.05019647255539894,-2.9403103993261963,LEFT,0.07427338510751724,0.06980767101049423,0.07126345485448837,0.00446571409702301,0.04970890399379664,0.04965855941020208,0.04970577325550622,5.034458359456234e-05,0.03607659786939621,-0.04678409546613693,-0.019925007596611977,0.08286069333553314,-0.027092910193942554,-0.05613662610339709,-0.051186376727773375,0.029043715909454537,0.06316950917243958,0.009352531284093857
148,174,1,14,BL,bottom,0.05860825628042221,-2.7764837625946424,RIGHT,0.07591506093740463,0.07130373269319534,0.07277902960777283,0.0046113282442092896,0.05799920695981691,0.05794097799540313,0.057995585951856644,5.822896441377845e-05,0.03671444207429886,-0.04749564826488495,-0.02013072557747364,0.08421009033918381,-0.031147823724898327,-0.060191539634352864,-0.05524129025872826,0.029043715909454537,0.06786226481199265,0.012695889919996262
148,153,4,14,BL,bottom,0.07532735913991928,-2.5075963649705777,RIGHT,0.07991289347410202,0.07536481320858002,0.07672937959432602,0.004548080265522003,0.07446561434760783,0.07439215929070295,0.07446104656985528,7.345505690488363e-05,0.03559070825576782,-0.04904380440711975,-0.021652420982718468,0.08463451266288757,-0.03780312208590786,-0.06684683799536284,-0.06189658861973779,0.02904371590945498,0.07339382916688919,0.01780303567647934
148,192,0,14,BL,bottom,0.04813874140381813,-2.9843319720520918,RIGHT,0.07364973425865173,0.06916327029466629,0.07064033299684525,0.004486463963985443,0.047680151771809245,0.04763175889599185,0.047677142396704765,4.83928758173921e-05,0.03634820878505707,-0.046431392431259155,-0.019583087414503098,0.08277960121631622,-0.026003321379441058,-0.05504703728889604,-0.05009678791327099,0.02904371590945498,0.0623515322804451,0.0086156465113163
179,162,0,11,BL,bottom,0.07640885561704636,-2.492170918937858,LEFT,0.08089374750852585,0.07623632252216339,0.07754050940275192,0.004657424986362457,0.07602726003979791,0.07564153466376405,0.07587292854705899,0.00038572537603386026,0.033997416496276855,-0.050184860825538635,-0.023323435336351395,0.08418227732181549,0.021770247738785997,-0.06357365912810131,-0.03771455561328496,0.08534390686688731,0.012227168306708336,0.013388797640800476
148,168,4,14,BL,bottom,0.06284166127443314,-2.702234053677427,DOWN,0.0781136006116867,0.07347700744867325,0.07490339130163193,0.004636593163013458,0.062169872248290306,0.062107732165391956,0.06216600804086158,6.21400828983501e-05,0.03654038906097412,-0.04801309108734131,-0.020630257204174995,0.08455348014831543,-0.03298559660093758,-0.062029312510391676,-0.05707906313476796,0.029043715909454093,0.06952598690986633,0.014016222208738327
148,187,0,14,BL,bottom,0.05074264481663704,-2.928913252350185,LEFT,0.0744880959391594,0.07001402229070663,0.07147234678268433,0.004474073648452759,0.05024733337521277,0.05019647228151164,0.05024417051882422,5.0861093701129456e-05,0.03609013557434082,-0.046859994530677795,-0.01996828429400921,0.08295013010501862,-0.02737500379245228,-0.056418719701906817,-0.051468470326282656,0.029043715909454537,0.06346514075994492,0.009558726102113724
179,153,1,14,BL,bottom,0.08249247819185257,-2.4089536974259635,DOWN,0.08166386187076569,0.07790286839008331,0.07868478447198868,0.003760993480682373,0.08151905483553579,0.08143925427983487,0.08151409250008182,7.98005557009207e-05,0.02396591566503048,-0.054381124675273895,-0.030705394223332405,0.07834704220294952,-0.04024465110302167,-0.0692883670124762,-0.06433811763685204,0.029043715909454537,0.06421056389808655,0.014907240867614746
148,190,0,14,BL,bottom,0.049128759652376175,-2.9629340210022534,LEFT,0.07386701554059982,0.06940702348947525,0.0708649754524231,0.004459992051124573,0.0486562686824092,0.048606935664947074,0.04865320084634387,4.933301746212759e-05,0.036123812198638916,-0.04660649597644806,-0.019787902012467384,0.08273030817508698,-0.026532947348561375,-0.05557666325801591,-0.05062641388239175,0.029043715909454537,0.06265676021575928,0.008970167487859726
148,162,4,14,BL,bottom,0.06743796914815903,-2.6267274222445187,RIGHT,0.07818344235420227,0.07363104820251465,0.07501386851072311,0.004552394151687622,0.06669704432832162,0.06663070073376066,0.06669291874240414,6.634359456095251e-05,0.03597460687160492,-0.04827433079481125,-0.02102455496788025,0.08424893766641617,-0.0348544798764685,-0.06389819578592304,-0.05894794641029888,0.029043715909454537,0.07082908600568771,0.015623867511749268
