episode,t,x,y,zone3,valence_name,body_state,body_u,logged_action,pred_UP,pred_DOWN,pred_STAY,pred_UP_minus_DOWN,true_UP,true_DOWN,true_STAY,true_UP_minus_DOWN,pred_trend_UP,pred_trend_DOWN,pred_trend_STAY,pred_trend_UP_minus_DOWN,true_trend_UP,true_trend_DOWN,true_trend_STAY,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
188,46,0,11,BL,bottom,0.487216979265213,-0.051143192964546155,RIGHT,0.3991888761520386,0.3837204575538635,0.3923704922199249,0.015468418598175049,0.48281476670185197,0.4814405743532471,0.4822656798755222,0.0013741923486048635,-0.0003511384129524231,-0.09401701390743256,-0.0563712902367115,0.09366587549448013,-0.038648232143126904,-0.12399213901001423,-0.09813303549519749,0.08534390686688732,0.03829709440469742,0.029975123703479767
142,52,2,13,BL,bottom,0.3231803774833679,-0.7391941731795909,LEFT,0.20796385407447815,0.19989356398582458,0.2050022929906845,0.008070290088653564,0.3188889255811395,0.31831202728664176,0.3187605560856117,0.0005768982944977519,-0.017988860607147217,-0.07283726334571838,-0.04896475747227669,0.05484840273857117,-0.0653334811798113,-0.1106169972241996,-0.1003884062349123,0.045283516044388294,0.047344617545604706,0.037779733538627625
142,92,2,10,BL,bottom,0.21603156626224518,-1.2889442373607827,STAY,0.14087407290935516,0.1313597559928894,0.1372414082288742,0.00951431691646576,0.21480636959409138,0.21356327836276584,0.21426937031199786,0.0012430912313255438,0.022400613874197006,-0.06065438687801361,-0.02963569387793541,0.08305500447750092,0.017320254062849205,-0.08847301369271876,-0.05165992510388273,0.10579326775556797,0.005080359056591988,0.027818627655506134
146,37,3,10,BL,bottom,0.4247194528579712,-0.30342895650393764,LEFT,0.31117191910743713,0.2982299327850342,0.3058570623397827,0.012941986322402954,0.42174706119624167,0.41994689798387375,0.4209700881897102,0.0018001632123679223,-0.003468703478574753,-0.08246999979019165,-0.05047281086444855,0.0790012925863266,-0.007072477955803735,-0.11286574571137165,-0.0760526571225345,0.10579326775556791,0.0036037745885550976,0.0303957462310791
142,62,3,12,BL,bottom,0.28312599658966064,-0.92900810047677,RIGHT,0.17864984273910522,0.17034056782722473,0.17552916705608368,0.008309274911880493,0.27980226824297977,0.27901787537449363,0.279539414525337,0.000784392868486139,-0.008841000497341156,-0.06865708529949188,-0.04401068016886711,0.059816084802150726,-0.040411645375612815,-0.10487375407676869,-0.08781400046252108,0.06446210870115587,0.031570643186569214,0.03621666878461838
142,97,4,10,BL,bottom,0.20708540081977844,-1.342584237339665,STAY,0.13994859158992767,0.1302838921546936,0.13622969388961792,0.00966469943523407,0.20594147608449598,0.20473630961794237,0.20542084048827763,0.0012051664665536088,0.025828350335359573,-0.06038111075758934,-0.02818584069609642,0.08620946109294891,0.018647910944869173,-0.08714535681069879,-0.05033226822186254,0.10579326775556797,0.007180439308285713,0.026764247566461563
142,20,4,10,BL,bottom,0.4268469512462616,-0.29472721473179864,UP,0.3184737265110016,0.30449849367141724,0.31311121582984924,0.01397523283958435,0.4238600189747693,0.4220574196273602,0.4230820013990286,0.0018025993474091173,0.0029915887862443924,-0.08112472295761108,-0.04735386371612549,0.08411630988121033,-0.0072878569146755945,-0.11308112467024356,-0.07626803608140648,0.10579326775556797,0.01027944590896368,0.03195640444755554
142,44,3,12,BL,bottom,0.35802921652793884,-0.5839281373185936,DOWN,0.23704636096954346,0.22749477624893188,0.23332934081554413,0.009551584720611572,0.3538661217911372,0.35297586072971443,0.35356784833836935,0.0008902610614227591,-0.014588617719709873,-0.07650992274284363,-0.05036633461713791,0.06192130595445633,-0.04895280473643504,-0.11341491343759136,-0.09635515982334364,0.06446210870115632,0.034364186227321625,0.036904990673065186
142,74,3,11,BL,bottom,0.24632491171360016,-1.118309924213269,LEFT,0.15533554553985596,0.14644797146320343,0.1518816500902176,0.008887574076652527,0.24405058954688544,0.243036624048457,0.24364511929223817,0.001013965498428443,0.004161892458796501,-0.06495533883571625,-0.03820608928799629,0.0691172331571579,-0.012234524917867473,-0.097578431784755,-0.07171932826993799,0.08534390686688753,0.0163964182138443,0.03262308984994888
142,42,4,12,BL,bottom,0.3673285245895386,-0.5436947159974562,STAY,0.24773575365543365,0.23789554834365845,0.2438567578792572,0.009840205311775208,0.3630719172859897,0.3621714778590951,0.3627702408599029,0.0009004394268946059,-0.014964727684855461,-0.07783138006925583,-0.05130479484796524,0.06286665052175522,-0.04994863208030609,-0.1144107407814624,-0.09735098716721458,0.06446210870115632,0.03498390316963196,0.03657936304807663
