cohort,seed,same_state_metric_spectrum_distance
full,0,0.3841804061356926
full,1,2.4268322307580417
full,2,0.3231281792459355
full,3,20.027226451519617
full,4,0.5550788883551768
full,5,0.7460283186876226
full,6,0.06013370625288558
full,7,0.14130779767759882
full,8,0.6475636063071262
full,9,0.17363358579786456
full,10,4.097628930457519
full,11,6.744625415233459
full,12,0.24934756190426843
full,13,0.08810706564713308
full,14,0.2872574254440213
full,15,1.0823243712496815
full,16,0.07508298459150123
full,17,0.9737107203642199
full,18,0.5958703893903573
full,19,0.6096361547739362
full,20,1.454784428062556
full,21,0.050642102074333735
full,22,0.9038422685914151
full,23,0.044510275834310546
full,24,1.9748493231106476
full,25,0.11698893991928706
full,26,0.39151943831564223
full,27,0.3093601506906134
full,28,0.3134246605228364
full,29,0.07092987223227605
no_body_in_g,0,0.016189504489627474
no_body_in_g,1,0.06788149426548695
no_body_in_g,2,0.1282508404306852
no_body_in_g,3,0.05410569884768043
no_body_in_g,4,0.028226982159374362
no_body_in_g,5,0.0673809443452364
no_body_in_g,6,0.07920286612942282
no_body_in_g,7,0.01637425091447854
no_body_in_g,8,0.017996629227275778
no_body_in_g,9,0.04619877537771012
no_body_in_g,10,0.026122080990862336
no_body_in_g,11,0.021121228513217224
no_body_in_g,12,0.040865518840646896
no_body_in_g,13,0.048923760129165
no_body_in_g,14,0.010081690418658522
no_body_in_g,15,0.0088230446234767
no_body_in_g,16,0.5177172377808295
no_body_in_g,17,0.02022629368711629
no_body_in_g,18,0.04139447915185254
no_body_in_g,19,0.03131245745945596
no_body_in_g,20,0.12587776761178146
no_body_in_g,21,0.0041851952582011255
no_body_in_g,22,0.02918000762401491
no_body_in_g,23,0.04070007360797546
no_body_in_g,24,0.05972961100060828
no_body_in_g,25,0.03023031659508919
no_body_in_g,26,0.014195739411421703
no_body_in_g,27,0.004939945410941378
no_body_in_g,28,0.025303862338375515
no_body_in_g,29,0.02711092136136753
no_conative,0,0.11409438891449179
no_conative,1,0.3694164419591973
no_conative,2,0.0933545545618193
no_conative,3,0.05354108886260036
no_conative,4,1.4779966017513024
no_conative,5,0.28873339270896703
no_conative,6,0.08506483896775904
no_conative,7,0.2855859306093579
no_conative,8,0.09763816583083816
no_conative,9,0.43239834894129026
no_conative,10,1.5296438471173832
no_conative,11,0.12878930874098865
no_conative,12,0.023384010616472592
no_conative,13,2.842005965374068
no_conative,14,0.025866170427443238
no_conative,15,0.28604813178682575
no_conative,16,0.5940246065227422
no_conative,17,4.870758164703955
no_conative,18,4.105296093507556
no_conative,19,2.4493227692078694
no_conative,20,0.591610707387163
no_conative,21,0.5645202275237284
no_conative,22,0.6223743580320893
no_conative,23,0.33079256368111676
no_conative,24,0.143016055090419
no_conative,25,1.79499087870669
no_conative,26,2.401896436534537
no_conative,27,0.24232920922275283
no_conative,28,0.25960490687876275
no_conative,29,0.15134170459116106
