cohort,seed,t,PC1_ctrl,PC2_ctrl,PC3_ctrl,PC1_shock,PC2_shock,PC3_shock,pc3_shock_control_dist,t_rel
full,0,80,0.3011812259064967,2.5569123549181065,-0.7002418807769835,0.0823713793205045,2.518526471994494,-0.1604833400661898,0.5836869942366852,0
full,0,81,0.2966527227426375,2.558034791005626,-0.699539406343012,0.0483498908717562,2.516518578847245,-0.1413064469785416,0.612374010803768,1
full,0,82,0.2911827717757916,2.56104637959104,-0.6912830455915027,0.0088351068656536,2.5164067908285968,-0.1206979798598246,0.6381850938412077,2
full,0,83,0.2855518822245761,2.562589162967005,-0.6891920186379235,-0.0262706891632778,2.518850183103334,-0.1276119149518505,0.6438312102115805,3
full,0,84,0.2822485387974231,2.564874854295203,-0.6721327043790183,-0.0540351833782499,2.5154969131452507,-0.1041493875434559,0.6619138698320652,4
full,0,85,0.2782023707387984,2.567404185587548,-0.6686473597181453,-0.0789439111432188,2.5172623871990627,-0.1046273459929746,0.6694671332412985,5
full,0,86,0.2741338842526382,2.569138253001425,-0.6639733442148635,-0.1053738121780392,2.5206817864690385,-0.1215559197727125,0.6637701282352046,6
full,0,87,0.2691819163519837,2.571216746399488,-0.6611330323937018,-0.127844195758004,2.526364217476414,-0.1334845561032765,0.6618567802625998,7
full,0,88,0.2646993195205782,2.572970775694636,-0.660016688644569,-0.1477348994358789,2.531403176594585,-0.1470723977935607,0.6595010961156995,8
full,0,89,0.2562656161499764,2.57519653419537,-0.6460920155906296,-0.1780120143584522,2.529526157543127,-0.1286883368702718,0.6770446147905854,9
full,0,90,0.2522776981040021,2.5773996561600736,-0.6435300451841742,-0.1932210262517144,2.5345074434247565,-0.1335221489763276,0.6785402784730291,10
full,0,91,0.246815076918641,2.5796431546319347,-0.6416437998491479,-0.2109018531348024,2.5407316334545627,-0.1465958826956713,0.6753453448539356,11
full,0,92,0.2407349538180281,2.5814516327332733,-0.6304974394630393,-0.2313895691494053,2.5397880277357467,-0.1324000940792984,0.6875597331482888,12
full,0,93,0.2349321435120918,2.584057327015685,-0.625719443872629,-0.2466983724099011,2.546420857916616,-0.1472921178936324,0.6799096733514999,13
full,0,94,0.2322095767212491,2.584983032209415,-0.6246298505207811,-0.2559080412728484,2.5487683185482424,-0.1501597497674479,0.6816833509707205,14
full,0,95,0.2275847451125732,2.586372707815502,-0.6219315767520941,-0.2663133060717332,2.5535394703561765,-0.1681664472585981,0.6715028661070371,15
full,0,96,0.2227369400232213,2.587777159419137,-0.6237400291556038,-0.2772586999679442,2.5583165687228844,-0.1743044351666242,0.6729457032767013,16
full,0,97,0.2200718769022858,2.5890069043991626,-0.6257382324970776,-0.2817587062727075,2.562601086766892,-0.1787591807890186,0.6725484919917807,17
full,0,98,0.2146958682080206,2.5909162046638645,-0.6148492880229852,-0.2949317280591017,2.564109207546292,-0.1765736481812779,0.6726993670653515,18
full,0,99,0.2120426269046122,2.592199279843783,-0.6131203542467704,-0.2985949810124499,2.568253174342487,-0.1904851872200958,0.6632832479383176,19
full,0,100,0.2075571698728095,2.593168754218584,-0.6164780716513252,-0.3035344517200767,2.573642721400345,-0.218597596642764,0.6480006049480997,20
full,0,101,0.2043115446236436,2.59502068302765,-0.6113515693926911,-0.3092591509573801,2.573859320933976,-0.1882921797599747,0.6657190922315828,21
full,0,102,0.2018523175506245,2.596414973270874,-0.6056398539847823,-0.3119766142783434,2.577455631866968,-0.2034641532463817,0.6527824462065379,22
full,0,103,0.2001177823677762,2.5984494115782777,-0.6000273010738939,-0.3126074774258892,2.581390368283224,-0.2104074284053192,0.6441908476273941,23
full,0,104,0.1951892915872153,2.6007160127887747,-0.5951263536583248,-0.3199780611577536,2.58608136419418,-0.2234450967246224,0.6354199642988592,24
full,0,105,0.1940005803094009,2.602852050767672,-0.5871822080313448,-0.3178382341804136,2.5903466033023133,-0.2345077577901002,0.6217030047278296,25
full,0,106,0.1927440241167625,2.604716496650417,-0.5802569301047418,-0.3149198704525056,2.5943447466753056,-0.2576015231718002,0.6016117640720179,26
full,0,107,0.1872335337740593,2.6067691663625143,-0.5791768906471884,-0.3204444642557513,2.5991508251245,-0.264627786607457,0.5972739134258024,27
full,0,108,0.1834817406128325,2.608181445892275,-0.5801517283426367,-0.3237301356294839,2.6016260123514523,-0.250660284766024,0.604873104461059,28
full,0,109,0.1788651334054219,2.609599669625151,-0.5773832785995661,-0.3323849972881766,2.59993448013447,-0.2238674406344827,0.6216458475002204,29
full,0,110,0.1732648254153874,2.610889468215949,-0.5786277358341514,-0.3405512095206545,2.601706563731937,-0.215789161870507,0.6290811348690479,30
full,0,111,0.167289850946654,2.611913950312556,-0.5831550434718653,-0.3498664907821781,2.602513784154737,-0.2019302173084496,0.6425507085028151,31
full,0,112,0.1644107202314918,2.6111633212840597,-0.596721153645271,-0.3522559227004524,2.60225598464804,-0.1869961575495201,0.6594682198485198,32
full,0,113,0.1599985617224029,2.6121888225596024,-0.5919480422047962,-0.3625853641459513,2.5979190198410147,-0.1604768461098422,0.6778384615121948,33
full,0,114,0.1536993352520751,2.6132632181228885,-0.591853205214371,-0.373637194007739,2.598943482556461,-0.1618431162743143,0.6805861786054097,34
full,0,115,0.1521435852614256,2.6138538286955417,-0.5924971344814667,-0.3767073942540834,2.597981551154025,-0.1459473305386234,0.6923453005042065,35
full,0,116,0.1493528098456862,2.6146711285429967,-0.595976464710415,-0.3802651023595851,2.5996624712421714,-0.1505018325029184,0.6922196477008209,36
full,0,117,0.1436812666470453,2.6158229107894053,-0.5916437065130707,-0.3901101513518313,2.598188785242874,-0.13682459107544,0.7015017235050183,37
full,0,118,0.1409223564555993,2.6169890693901694,-0.5911131182033175,-0.3936282533981811,2.5992276439502997,-0.1322702263987797,0.704696120386834,38
full,0,119,0.1398545653880389,2.6177260655789616,-0.5883411546181418,-0.3947893270110198,2.599499070707453,-0.1328289309730533,0.7026149022841428,39
full,0,120,0.138582143228265,2.6184834865614333,-0.5861817051339744,-0.3955669530799339,2.6010039065940926,-0.1455914631324682,0.6926330588050544,40
full,0,121,0.1334402014003433,2.620551957534866,-0.5814787514366754,-0.4033524094880814,2.6043502214181715,-0.1594224073546054,0.6830375984801491,41
full,0,122,0.1308435658906301,2.621890996227361,-0.5813282198506525,-0.4053926389825767,2.6068820780502096,-0.1612762803260501,0.6813355758655557,42
full,0,123,0.1295765628867744,2.62236322746233,-0.5776890098864815,-0.404685449960819,2.607299139017784,-0.1624229868747917,0.6768372736489713,43
full,0,124,0.124786777122234,2.6235947641925272,-0.5738801632651657,-0.4115393157224223,2.6084241089549707,-0.1660390525296803,0.6739511838792971,44
full,0,125,0.1224860236490738,2.6240992930589586,-0.576288925354253,-0.4134982988878545,2.609928285777938,-0.172223736747598,0.6713782004924351,45
full,0,126,0.1211391066388044,2.625150676724183,-0.5790056416515805,-0.4107882054423874,2.613674039883912,-0.1939400908674324,0.6567753473843125,46
full,0,127,0.1156951529883634,2.6266704907480203,-0.5706679491137234,-0.4172360526906355,2.614966295122809,-0.194713060251054,0.6522995758403088,47
full,0,128,0.1149900333741901,2.627201952305725,-0.5677935563751378,-0.4150710197698121,2.6149381444865205,-0.1852149069074693,0.653820727777011,48
full,0,129,0.1095100177305741,2.6284886144993185,-0.5598172852135386,-0.420797673501404,2.6163907746679214,-0.1916261532382344,0.6457068334574391,49
full,0,130,0.1048297679351652,2.6295307637536376,-0.5537899291358439,-0.4275448464875814,2.6148176068672546,-0.175596335797676,0.6531995109530985,50
full,0,131,0.0998096582201014,2.630874980022541,-0.5452244832435721,-0.4337713667247737,2.613931332979272,-0.1606268207134326,0.6579598463280243,51
full,0,132,0.0962649975701171,2.63214831687517,-0.5420819459155325,-0.4345501698224747,2.6163232532149374,-0.1659720447505783,0.6507486706311334,52
full,0,133,0.0943458998437791,2.6327028371311294,-0.5416937115475051,-0.4339913674487524,2.617466755989962,-0.1754202745820384,0.643061922994338,53
full,0,134,0.0890995123101677,2.6338971305017664,-0.5363421836932353,-0.4395701427088608,2.6191062636512266,-0.1839034796765231,0.6355496943348401,54
full,0,135,0.088527197303303,2.634665008212788,-0.530305957221244,-0.4357669016183142,2.620573401808947,-0.1875803041420296,0.6265331186885855,55
full,0,136,0.0830752128856934,2.6360476971938325,-0.524308195732973,-0.4382728409473503,2.623631264152213,-0.230989458177857,0.5983258667698617,56
full,0,137,0.0766940775237728,2.636703652446799,-0.5238232910884677,-0.4418964176898472,2.625120975736656,-0.2305691516697647,0.5958760361114411,57
full,0,138,0.0754351133623533,2.6364866137110203,-0.5243049241973752,-0.4384864066872204,2.6253342552099244,-0.228037210708725,0.5933078980815899,58
full,0,139,0.0698183829169901,2.637486358267354,-0.5236253445124146,-0.4402236372902723,2.628339066290778,-0.2378377244724522,0.5847230960854173,59
full,0,140,0.0688139666590942,2.637742658102771,-0.5198286510572292,-0.4365742132420376,2.628613762782265,-0.2310086452831971,0.5821662518979123,60
full,0,141,0.0672885675048268,2.6382489979271058,-0.5218194906733026,-0.4332350974370288,2.6303232012141664,-0.2541175541930187,0.5676716341474671,61
full,0,142,0.066060704219883,2.638354167537846,-0.5265710316636837,-0.4275906672762787,2.631721591753033,-0.2918077644912699,0.546671253364441,62
full,0,143,0.0648653427161735,2.6387511598633537,-0.5270167077064015,-0.4214631231540364,2.633725175371246,-0.3154013479261267,0.5303976788511824,63
full,0,144,0.0611100580287436,2.6394611248241837,-0.5187232115674558,-0.4235364788645658,2.634500558318638,-0.3060650321901691,0.5292734399143755,64
full,0,145,0.0595858213091094,2.639799912696829,-0.5171965764492279,-0.4183225248018499,2.6358916224224167,-0.327341121747269,0.5142535908435342,65
full,0,146,0.0547386121355179,2.641095609118961,-0.5114237835955754,-0.4185011157828892,2.638995286596617,-0.3327345685525746,0.5058557966532257,66
full,0,147,0.0503334218377931,2.6419696305165803,-0.5064075630757136,-0.4195338295399916,2.6403628926617126,-0.3245670671005224,0.5038291193453909,67
full,0,148,0.0449846139624127,2.6435029177864817,-0.4946369979363844,-0.4190863790585443,2.6429989095485293,-0.3365654113726646,0.4902537782276977,68
full,0,149,0.0436895070918334,2.643504011983282,-0.4895912487079291,-0.414152357808825,2.6433826087702816,-0.3330424460244219,0.48386642331958984,69
full,0,150,0.0422175674220982,2.643562111943604,-0.4953696837362543,-0.4088920097482122,2.64443149054608,-0.3494517871681988,0.47412302092682274,70
full,0,151,0.0406311278590972,2.644233533185856,-0.4921917223229442,-0.4041900218152841,2.645886611823382,-0.3647738952881647,0.462713616087624,71
full,0,152,0.0364930070838727,2.6451371077380905,-0.4832606041823397,-0.402822070799777,2.6471262979366466,-0.3826473423545334,0.45069360211699694,72
