cohort,seed,n_probe_rows,spearman_rho,pearson_r
full,0,9,0.9666666666666667,0.8982748971110164
full,1,9,0.9500000000000001,0.9826620491677815
full,2,8,0.9523809523809524,0.9935817076091819
full,3,9,0.8166666666666667,0.9750284234279967
full,4,9,0.8666666666666667,0.8495370321325416
full,5,9,0.9333333333333332,0.9711857087473678
full,6,9,0.9833333333333333,0.9315757809049301
full,7,9,0.9833333333333333,0.8743741585019695
full,8,9,0.9666666666666667,0.9791924065320683
full,9,9,0.8333333333333333,0.9696100283752426
full,10,9,0.7,0.6226985168906602
full,11,8,0.8333333333333335,0.768453482428612
full,12,8,0.9523809523809524,0.9177135690865132
full,13,9,0.9166666666666666,0.8836993425773569
full,14,9,0.9666666666666667,0.9447254779599608
full,15,9,0.9666666666666667,0.9707050187836573
full,16,8,0.9523809523809524,0.915940807937194
full,17,9,0.6,0.7946136981626484
full,18,9,0.9333333333333332,0.9336327405013258
full,19,9,0.9,0.9067125127370689
full,20,9,0.9333333333333332,0.9566309544752891
full,21,9,0.7666666666666667,0.8728430516080221
full,22,9,0.8666666666666667,0.834294270217603
full,23,8,0.9761904761904763,0.9531963059271055
full,24,9,0.6333333333333333,0.6853388776498233
full,25,9,0.9166666666666666,0.9041457790855041
full,26,9,0.9833333333333333,0.9892695187412436
full,27,9,0.9500000000000001,0.9726254359543404
full,28,9,0.9333333333333332,0.9077215525844298
full,29,9,0.9833333333333333,0.8688248142664914
no_body_in_g,0,9,0.8499999999999999,0.8078970481674
no_body_in_g,1,8,0.8571428571428572,0.8546099868658967
no_body_in_g,2,8,0.6428571428571429,0.7117208344088964
no_body_in_g,3,8,0.880952380952381,0.9290976087656404
no_body_in_g,4,9,0.7333333333333334,0.7644490343167891
no_body_in_g,5,9,0.9,0.8525216376363578
no_body_in_g,6,8,0.7857142857142858,0.7529856311870211
no_body_in_g,7,8,1.0,0.9490965436223422
no_body_in_g,8,9,0.9833333333333333,0.926269580342806
no_body_in_g,9,9,0.8333333333333333,0.9007926163227344
no_body_in_g,10,9,0.08333333333333334,0.3452301085897344
no_body_in_g,11,8,0.9047619047619048,0.8416798933589738
no_body_in_g,12,9,0.9,0.9233528799395295
no_body_in_g,13,9,0.9,0.9008975381525931
no_body_in_g,14,9,0.9166666666666666,0.9728511680597814
no_body_in_g,15,9,0.4666666666666666,0.624636404331962
no_body_in_g,16,9,0.8333333333333333,0.9208845455974446
no_body_in_g,17,9,1.0,0.9821941974598203
no_body_in_g,18,9,0.8333333333333333,0.8693171249578153
no_body_in_g,19,9,0.9500000000000001,0.9154505511540304
no_body_in_g,20,9,0.75,0.7999117799520185
no_body_in_g,21,9,0.8499999999999999,0.8550887286938726
no_body_in_g,22,8,0.8571428571428572,0.8412397947946658
no_body_in_g,23,8,0.9523809523809524,0.9523394355801245
no_body_in_g,24,9,0.9166666666666666,0.9482431208250595
no_body_in_g,25,8,0.8333333333333335,0.8985470389085746
no_body_in_g,26,9,0.9666666666666667,0.9811125996832484
no_body_in_g,27,9,0.8666666666666667,0.8969264673506617
no_body_in_g,28,9,0.7833333333333333,0.7015215767056723
no_body_in_g,29,9,0.8666666666666667,0.7600518233798714
no_conative,0,6,0.48571428571428577,0.5350478917218164
no_conative,1,9,0.6333333333333333,0.6274266889858973
no_conative,2,8,0.880952380952381,0.9852091685513693
no_conative,3,9,0.8333333333333333,0.8372279362254564
no_conative,4,9,0.8166666666666667,0.7710139339704583
no_conative,5,7,0.8648999641877367,0.9381698915390801
no_conative,6,8,0.7380952380952381,0.6963774311532804
no_conative,7,7,0.9642857142857145,0.8432499008289002
no_conative,8,8,0.6904761904761906,0.6249136718818176
no_conative,9,5,0.6,0.6362484708379141
no_conative,10,7,0.9285714285714288,0.9093390120425672
no_conative,11,9,0.9666666666666667,0.9165773524464542
no_conative,12,7,0.642857142857143,0.6708539565331189
no_conative,13,7,-0.4642857142857144,-0.02157906331610049
no_conative,14,7,0.9642857142857145,0.9659912548296358
no_conative,15,8,0.8333333333333335,0.8366599713877465
no_conative,16,8,0.880952380952381,0.9560826140813428
no_conative,17,6,0.8857142857142858,0.9289879044731283
no_conative,18,8,0.7857142857142858,0.9457222725235397
no_conative,19,6,0.942857142857143,0.8487449949008242
no_conative,20,9,0.41666666666666663,0.5372092622297264
no_conative,21,8,0.7619047619047621,0.9656673940527052
no_conative,22,9,0.6833333333333333,0.6726196799031106
no_conative,23,9,0.43333333333333335,0.42601505615199864
no_conative,24,8,0.880952380952381,0.7678179424445157
no_conative,25,9,0.8499999999999999,0.9348552525898363
no_conative,26,6,0.028571428571428574,0.31627235856809427
no_conative,27,9,0.6166666666666666,0.9366558025674655
no_conative,28,9,0.4666666666666666,0.8541441804426967
no_conative,29,9,0.5666666666666667,0.6360696107951624
