cohort,seed,dPC1,dPC2,pc2_vector_norm
full,0,-0.47752027391293306,-0.016715506677187353,0.47781274591764267
full,1,-0.5109635029478452,0.0002519506630950241,0.5109635650649361
full,2,-0.004943077378311234,0.03070930462186916,0.031104588155555554
full,3,0.7662511527826481,-0.5474051183719695,0.9416969750193356
full,4,-0.07408338718645834,0.007788699812649069,0.07449169149502688
full,5,-0.22227027832092805,0.4281071310850827,0.4823689379621816
full,6,0.01994788190236356,-0.01411529720847804,0.024436849381094763
full,7,-0.04101374230743238,0.22048718227460207,0.22426931266995506
full,8,-0.4752179554237641,-0.40515437169730095,0.6244855243018667
full,9,0.06676270506566784,-0.32990515742736437,0.3365927386098212
full,10,1.09882161972133,1.6126484151114,1.9514209855201203
full,11,-1.2415238464002976,0.47712608846197924,1.3300491590432355
full,12,-0.061511748361485985,-0.08849018396595298,0.10776923422208667
full,13,-0.0032897884017111245,-0.07136129644463063,0.07143708657263736
full,14,-0.09524912039714141,-0.005536042832118726,0.0954098669251152
full,15,0.2691423555302408,0.04086528359233266,0.27222707239260446
full,16,0.08171039990295914,0.058313208025635666,0.10038435975062333
full,17,-0.13745386922818703,0.11388225914306915,0.17850135885569246
full,18,-0.3683430429680988,-0.024742450344137107,0.36917311136109404
full,19,0.20868827538006696,-0.31690029452970875,0.37944247647584584
full,20,1.229517443559019,0.4512924032607008,1.3097243898075368
full,21,-0.02659276454449111,-0.0026221275977246217,0.026721726726719824
full,22,0.1941538330415099,-0.05556830227764337,0.20194936767103294
full,23,0.031248822632018947,-0.046169964179427855,0.05575082517969605
full,24,0.2975573447948946,-0.11973606016426608,0.3207445986217828
full,25,-0.054127712091454505,-0.05530887739128132,0.0773878616744201
full,26,-0.3217062285115929,-0.27762487719405304,0.4249358420987412
full,27,0.11418536069117236,-0.3844313280419227,0.4010308499059013
full,28,-0.09211427817783369,0.0907493218781461,0.12930769376014212
full,29,-0.011630161039841713,-0.09712516951140654,0.0978190124588881
no_body_in_g,0,-0.013995079899276952,-0.014449383020088913,0.020115837816217837
no_body_in_g,1,0.07280901329796308,0.060216711671685186,0.09448388636150522
no_body_in_g,2,-0.03437112617884419,-0.0755060781882066,0.08296108821710088
no_body_in_g,3,0.020743421577952753,0.018857155136808634,0.028033584120021902
no_body_in_g,4,-0.04844397215754846,-0.08376010362622754,0.09676039167902178
no_body_in_g,5,0.08776046391236048,0.005940716851594141,0.08796130480400766
no_body_in_g,6,0.13100254334193728,-0.11870574150834981,0.1767843868363474
no_body_in_g,7,0.00024250216861321228,-0.01810253488485203,0.01810415909560747
no_body_in_g,8,-0.01902700154037218,-0.006177549725309775,0.020004722148182916
no_body_in_g,9,0.042198460395939885,-0.04668473084938929,0.06292991462148687
no_body_in_g,10,0.008111017908897733,0.09964493900929206,0.09997450915950522
no_body_in_g,11,0.00606294290822218,0.02085906513616506,0.021722335856512724
no_body_in_g,12,-0.00363985931089017,0.02265291966783134,0.022943481542265852
no_body_in_g,13,-0.021964462809621388,0.01894037057947573,0.029003021639186336
no_body_in_g,14,0.0029174900600015263,0.010031364777364438,0.010447010459780137
no_body_in_g,15,0.004946384750932953,-0.021124902126474332,0.021696271844659897
no_body_in_g,16,-0.033197192802563835,-0.01139570738626905,0.03509865747865669
no_body_in_g,17,-0.04445368776427125,0.055183460875898094,0.07086144727625238
no_body_in_g,18,-0.024488171078320242,-0.01701132943134054,0.029817039621375437
no_body_in_g,19,0.014110517699534642,0.029399849870059835,0.03261070195704069
no_body_in_g,20,-0.03815001104881466,-0.02984529688191362,0.04843722833724328
no_body_in_g,21,0.003043705152292464,-0.010756804062540204,0.011179131213738085
no_body_in_g,22,0.041686857107237185,-0.06318653713528014,0.07569895990452806
no_body_in_g,23,0.1292104107614424,-0.02090268158491404,0.13089023014182907
no_body_in_g,24,-0.021281073647905324,-0.06153464838043443,0.06511065233056164
no_body_in_g,25,0.02029012631908972,-0.09034849925451471,0.09259881502258904
no_body_in_g,26,0.00036665579074107724,-0.010845882210188673,0.010852078021566704
no_body_in_g,27,0.009687670729311648,0.009805790835439698,0.013784211913198188
no_body_in_g,28,0.051628846487259406,0.18506021629724576,0.1921270971143539
no_body_in_g,29,0.08107392408112091,-0.005758976701647989,0.08127820727945148
no_conative,0,-0.058483080097889106,-0.09076867484386941,0.10797788195111166
no_conative,1,0.040378274953987825,-0.1763041132276848,0.18086886251994883
no_conative,2,-0.01955914092028327,0.06656661909992456,0.06938065127925754
no_conative,3,0.1447694620450452,0.18505948883524004,0.23495789313996693
no_conative,4,0.16537194257954813,-0.017212363968564404,0.16626528460842238
no_conative,5,-0.07692532577901545,-0.551000410238295,0.5563442799463091
no_conative,6,-0.09909866907481421,-0.09485268751312192,0.1371771793734712
no_conative,7,0.1272256823863276,-0.1463290366290967,0.19390348428913345
no_conative,8,0.010070314735784569,-0.01690930470379226,0.01968084917993761
no_conative,9,-0.09732739281345637,0.04725712746569283,0.10819361112456492
no_conative,10,-0.16465345998538194,-0.169459208036443,0.2362777710100894
no_conative,11,0.019901089471813904,0.07956746798428371,0.082018505982462
no_conative,12,-0.07510973223540823,-0.012862502323167047,0.07620312226207139
no_conative,13,-0.3056184307981809,0.34823832802469445,0.4633277008219746
no_conative,14,0.011102766059181368,0.019443573755024257,0.02239026517332874
no_conative,15,-0.012097361653448102,-0.09890179037100744,0.09963889952004194
no_conative,16,0.1121039641448842,0.31381150504881444,0.33323409111013774
no_conative,17,-0.32825016341072555,-0.011262080202019353,0.32844330443722664
no_conative,18,-0.5791975011963394,0.4465976297562573,0.7313816980865673
no_conative,19,0.38301685173789773,-0.23601594273963358,0.4498949143327681
no_conative,20,-0.05415250844638342,-0.1448184062671749,0.1546119819574154
no_conative,21,-0.20244250669729058,-0.030598881028325052,0.20474193522106832
no_conative,22,-0.2076046552505706,0.2023999527039451,0.2899403968685072
no_conative,23,-0.0028500867328422608,0.0007411021696970832,0.0029448644808637964
no_conative,24,0.1429552107121317,-0.27682586877100834,0.31155858821507953
no_conative,25,-0.08229590488099986,-0.04142468122903864,0.09213370813719615
no_conative,26,-0.2565110499916021,-0.238820180856393,0.3504753879405435
no_conative,27,0.17261666174152068,-1.1090393876266167,1.122392478243688
no_conative,28,0.06308878276294871,-0.06900934941720105,0.09350125570010213
no_conative,29,0.07726228612180153,-0.22485261665099476,0.23775651425684707
