cohort,n_seeds,spearman_median,spearman_q25,spearman_q75,pearson_median,pearson_q25,pearson_q75,wilcoxon_p_spearman_vs_zero_raw,wilcoxon_p_spearman_vs_zero_bh
full,30,0.9333333333333332,0.8666666666666667,0.9666666666666667,0.9168271885118536,0.873225828331509,0.9704312711815537,1.6944110497108883e-06,2.5803891997705147e-06
no_conative,30,0.773809523809524,0.6041666666666666,0.880952380952381,0.8369439538066015,0.6361143258058504,0.9333884155606593,2.5954176354861426e-06,2.5954176354861426e-06
no_body_in_g,30,0.861904761904762,0.8333333333333333,0.9136904761904762,0.8831217961542386,0.8019080970058639,0.9255404052419869,1.7202594665136766e-06,2.5803891997705147e-06
