cohort,seed,pc2_vector_norm,same_state_metric_spectrum_distance
full,0,0.47781274591764267,0.3841804061356926
full,1,0.5109635650649361,2.4268322307580417
full,2,0.031104588155555554,0.3231281792459355
full,3,0.9416969750193356,20.027226451519617
full,4,0.07449169149502688,0.5550788883551768
full,5,0.4823689379621816,0.7460283186876226
full,6,0.024436849381094763,0.06013370625288558
full,7,0.22426931266995506,0.14130779767759882
full,8,0.6244855243018667,0.6475636063071262
full,9,0.3365927386098212,0.17363358579786456
full,10,1.9514209855201203,4.097628930457519
full,11,1.3300491590432355,6.744625415233459
full,12,0.10776923422208667,0.24934756190426843
full,13,0.07143708657263736,0.08810706564713308
full,14,0.0954098669251152,0.2872574254440213
full,15,0.27222707239260446,1.0823243712496815
full,16,0.10038435975062333,0.07508298459150123
full,17,0.17850135885569246,0.9737107203642199
full,18,0.36917311136109404,0.5958703893903573
full,19,0.37944247647584584,0.6096361547739362
full,20,1.3097243898075368,1.454784428062556
full,21,0.026721726726719824,0.050642102074333735
full,22,0.20194936767103294,0.9038422685914151
full,23,0.05575082517969605,0.044510275834310546
full,24,0.3207445986217828,1.9748493231106476
full,25,0.0773878616744201,0.11698893991928706
full,26,0.4249358420987412,0.39151943831564223
full,27,0.4010308499059013,0.3093601506906134
full,28,0.12930769376014212,0.3134246605228364
full,29,0.0978190124588881,0.07092987223227605
no_body_in_g,0,0.020115837816217837,0.016189504489627474
no_body_in_g,1,0.09448388636150522,0.06788149426548695
no_body_in_g,2,0.08296108821710088,0.1282508404306852
no_body_in_g,3,0.028033584120021902,0.05410569884768043
no_body_in_g,4,0.09676039167902178,0.028226982159374362
no_body_in_g,5,0.08796130480400766,0.0673809443452364
no_body_in_g,6,0.1767843868363474,0.07920286612942282
no_body_in_g,7,0.01810415909560747,0.01637425091447854
no_body_in_g,8,0.020004722148182916,0.017996629227275778
no_body_in_g,9,0.06292991462148687,0.04619877537771012
no_body_in_g,10,0.09997450915950522,0.026122080990862336
no_body_in_g,11,0.021722335856512724,0.021121228513217224
no_body_in_g,12,0.022943481542265852,0.040865518840646896
no_body_in_g,13,0.029003021639186336,0.048923760129165
no_body_in_g,14,0.010447010459780137,0.010081690418658522
no_body_in_g,15,0.021696271844659897,0.0088230446234767
no_body_in_g,16,0.03509865747865669,0.5177172377808295
no_body_in_g,17,0.07086144727625238,0.02022629368711629
no_body_in_g,18,0.029817039621375437,0.04139447915185254
no_body_in_g,19,0.03261070195704069,0.03131245745945596
no_body_in_g,20,0.04843722833724328,0.12587776761178146
no_body_in_g,21,0.011179131213738085,0.0041851952582011255
no_body_in_g,22,0.07569895990452806,0.02918000762401491
no_body_in_g,23,0.13089023014182907,0.04070007360797546
no_body_in_g,24,0.06511065233056164,0.05972961100060828
no_body_in_g,25,0.09259881502258904,0.03023031659508919
no_body_in_g,26,0.010852078021566704,0.014195739411421703
no_body_in_g,27,0.013784211913198188,0.004939945410941378
no_body_in_g,28,0.1921270971143539,0.025303862338375515
no_body_in_g,29,0.08127820727945148,0.02711092136136753
no_conative,0,0.10797788195111166,0.11409438891449179
no_conative,1,0.18086886251994883,0.3694164419591973
no_conative,2,0.06938065127925754,0.0933545545618193
no_conative,3,0.23495789313996693,0.05354108886260036
no_conative,4,0.16626528460842238,1.4779966017513024
no_conative,5,0.5563442799463091,0.28873339270896703
no_conative,6,0.1371771793734712,0.08506483896775904
no_conative,7,0.19390348428913345,0.2855859306093579
no_conative,8,0.01968084917993761,0.09763816583083816
no_conative,9,0.10819361112456492,0.43239834894129026
no_conative,10,0.2362777710100894,1.5296438471173832
no_conative,11,0.082018505982462,0.12878930874098865
no_conative,12,0.07620312226207139,0.023384010616472592
no_conative,13,0.4633277008219746,2.842005965374068
no_conative,14,0.02239026517332874,0.025866170427443238
no_conative,15,0.09963889952004194,0.28604813178682575
no_conative,16,0.33323409111013774,0.5940246065227422
no_conative,17,0.32844330443722664,4.870758164703955
no_conative,18,0.7313816980865673,4.105296093507556
no_conative,19,0.4498949143327681,2.4493227692078694
no_conative,20,0.1546119819574154,0.591610707387163
no_conative,21,0.20474193522106832,0.5645202275237284
no_conative,22,0.2899403968685072,0.6223743580320893
no_conative,23,0.0029448644808637964,0.33079256368111676
no_conative,24,0.31155858821507953,0.143016055090419
no_conative,25,0.09213370813719615,1.79499087870669
no_conative,26,0.3504753879405435,2.401896436534537
no_conative,27,1.122392478243688,0.24232920922275283
no_conative,28,0.09350125570010213,0.25960490687876275
no_conative,29,0.23775651425684707,0.15134170459116106
