valence_name,zone3,n,body_state_mean,body_u_mean,body_delta_mean,body_u_delta_mean,body_drive_mean,body_pe_mean,body_loss_mean,body_loss_tendency_mean,tendency_target_mean,tendency_pred_mean,obs_pe_mean,alpha_mean,g_norm_mean
bottom,BL,11,0.4344255301085385,-0.2642127552838109,-0.0045885687524622135,-0.01874266727623972,0.5655744698914614,0.0002329404138353394,0.0005363286853191147,0.0005917733249754582,-0.09172162621468938,-0.07475059750405225,0.11467355692928488,0.05143233795057644,3.2839505022222344
bottom,BM,107,0.40390302449743326,-0.3959848520046784,-0.004173772078808223,-0.017642682171746044,0.5960969755025668,0.00027371389141108354,0.0005261416121968884,0.00048421267710091215,-0.0768104204167788,-0.07067113326183547,0.056247843951683175,0.03427223185791033,3.2385644511641742
bottom,BR,479,0.42133310406093555,-0.35523101811027896,-0.004050831736254045,-0.018288708966166228,0.5786668959390644,0.00010983155882224983,0.00030258266161165145,0.0003716794038444712,-0.08079919091208236,-0.07805381333047139,0.011943417976052346,0.03540117187826021,3.205971742223847
mid,ML,49,0.49553330394686484,-0.017798696814058025,-0.0008138223570220325,-0.003257474118243492,0.5044666960531351,0.0005672166572176881,0.001362676647454928,0.0014390620010869628,-0.016482855801490646,0.0038020258047142806,0.10257294971723946,0.047140048322628955,3.217991522380284
mid,MM,1258,0.4946684957924632,-0.021720609102957863,-0.00012105371690516632,-0.00048827121046241543,0.5053315042075368,0.0008083665491169803,0.0011040954792655472,0.0005184441479396958,0.0011108305295522525,0.007387324002392247,0.055780283735090766,0.039825099551478706,3.217673460137105
mid,MR,2568,0.5394132227819657,0.18785414722791857,-0.00027524083388557317,-0.0015389403057844623,0.4605867772180343,0.00018681534423098856,0.0003469418926207847,0.0002955124244537438,-0.006396331138451004,-0.005100197213878884,0.01169274920387599,0.03717346832655208,3.225430949826107
top,TL,54,0.6098325981034173,0.45885720171386074,0.0031531844977979308,0.013500147248524833,0.3901674018965827,0.0002825607609235316,0.00040944043998765494,0.0002150759757472595,0.058574536894936365,0.059069976003633604,0.11097302391297287,0.04908147964764525,3.262454726077892
top,TM,1248,0.6453705713964808,0.6654007721161743,0.003066131463035559,0.014013915473239673,0.35462942860351926,0.00016975321108826124,0.0002783824310574491,0.00018634700704911293,0.06490844088611714,0.06239886802042094,0.05045899979319447,0.04227326604991387,3.23928310855841
top,TR,10146,0.7334300244192905,1.1103815088574922,0.0024157369510440837,0.012752917924309794,0.2665699755807095,8.22312300069476e-05,0.00015178930434598005,0.0001240794582775866,0.05898296046575772,0.05833882111971568,0.010058704658138752,0.03768019912488687,3.2434532012597312
