valence_name,zone3,n,body_state,body_u,pred_UP_minus_DOWN,true_UP_minus_DOWN,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
bottom,BM,22,0.47906041551720013,-0.07033585664769638,0.010023271495645697,0.0014579296981237222,0.10542162033644589,0.09188742112035952,0.028772307009520857,0.010828547518361698
bottom,BR,200,0.35464974749833345,-0.6758092690116158,0.007354421056807042,0.0011153718892848454,0.10336510453373193,0.07839560585188918,0.031029248007107525,0.005211346372961998
mid,ML,37,0.48314538436966975,-0.06761867586641189,0.014288157224655151,0.0025892248561658194,0.12555880542542483,0.13186128766081637,0.00798799782185941,0.013160216596883696
mid,MM,200,0.5150986374914646,0.07353327200784165,0.014033537432551384,0.0025844197315023766,0.12348860662430525,0.1338704762195403,0.018381730914115907,0.015350090591236949
mid,MR,200,0.4900048866868019,-0.041133116939305436,0.012472958602011204,0.0023932332485239512,0.12116574853658676,0.13077888596882561,0.020192560721188784,0.016517439540475607
top,TL,22,0.5402998003092679,0.16203001448395257,0.001085739244114269,0.000892283513148906,0.06449643810364333,0.05937711543849959,0.003576376898722215,0.011614698197015307
top,TM,200,0.6265934296697379,0.5585320821460096,0.0025613738596439364,0.0008288860228520638,0.06949367981404066,0.06056189656692082,0.01162290908396244,0.025520682223141192
top,TR,200,0.7345009592920542,1.129230201695748,0.0018504072725772857,0.0004996591445104861,0.06141469599679113,0.04869279776580366,0.016479732748121024,0.03267189533566125
